team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
Evansville,1.64,Midwest,Ohio,12.84,South Dakota,2.47,Western Mich.,16.24,UNI,0.249,Ohio,13.74,Ball St.,0.727,Bowling Green,0.179,Wright St.,37.04,Omaha,192
UIC,1.63,Midwest,North Dakota St.,12.72,Central Mich.,2.47,Xavier,16.22,Michigan,0.249,Loyola Chicago,13.73,Minnesota,0.71,Maryland,0.18,DePaul,36.95,South Dakota,192
Youngstown St.,1.62,Midwest,Northwestern,12.71,Green Bay,2.38,Cleveland St.,16.18,Southern Ill.,0.248,Ball St.,13.69,Bowling Green,0.688,Minnesota,0.182,Omaha,36.9,IUPUI,191
Buffalo,1.62,Midwest,Ball St.,12.66,Drake,2.36,South Dakota,16.15,Loyola Chicago,0.248,St. John's (NY),13.65,Ohio St.,0.688,Ohio St.,0.183,Akron,36.61,Illinois,191
Missouri St.,1.61,Midwest,Loyola Chicago,12.62,Butler,2.36,Green Bay,16.07,Green Bay,0.244,NIU,13.62,UIC,0.688,Penn St.,0.183,Ohio,36.61,Youngstown St.,191
Bowling Green,1.61,Midwest,Bowling Green,12.59,Omaha,2.34,South Dakota St.,16.02,Nebraska,0.244,Buffalo,13.59,Green Bay,0.676,Marquette,0.185,Bowling Green,36.51,Bowling Green,190
Denver,1.6,Midwest,Wright St.,12.59,Bowling Green,2.33,Kent St.,16,Xavier,0.242,Northwestern,13.58,Valparaiso,0.667,Loyola Chicago,0.185,Drake,36.51,Providence,189
Illinois St.,1.59,Midwest,Michigan,12.51,Illinois,2.32,Providence,15.99,NIU,0.235,Michigan,13.49,Purdue,0.656,UNI,0.185,Buffalo,36.5,Creighton,188
Creighton,1.58,Midwest,Green Bay,12.5,NIU,2.29,Butler,15.92,Western Mich.,0.235,Bowling Green,13.44,Omaha,0.645,Central Mich.,0.185,Southern Ill.,36.45,UIC,188
Maryland,1.55,Midwest,Buffalo,12.45,St. John's (NY),2.26,Oral Roberts,15.88,Northwestern,0.235,Wright St.,13.41,North Dakota St.,0.636,Valparaiso,0.187,Illinois St.,36.39,Denver,187
Seton Hall,1.55,Midwest,South Dakota,12.38,Indiana St.,2.25,Nebraska,15.79,St. John's (NY),0.233,Nebraska,13.4,Xavier,0.636,Purdue,0.194,Creighton,36.32,Maryland,184
