team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
Houston Christian,1.29,South,Belmont,10.97,UIW,1.75,Troy,13.51,Eastern Ill.,0.182,UTSA,11.78,Lamar University,0.31,Murray St.,0.223,Texas St.,33.38,Louisiana,147
Abilene Christian,1.28,South,Grambling,10.93,UTSA,1.75,Texas,13.43,Abilene Christian,0.179,Belmont,11.78,UTSA,0.308,Southern Miss.,0.223,Baylor,33.09,Prairie View,144
Tennessee St.,1.28,South,Georgia St.,10.89,Troy,1.69,Coastal Carolina,13.42,ULM,0.176,Georgia St.,11.76,Ark.-Pine Bluff,0.29,Arkansas St.,0.225,Coastal Carolina,33.03,West Virginia,143
Alabama A&M,1.27,South,UTSA,10.89,Southern Miss.,1.68,Belmont,13.36,UIW,0.176,UIW,11.74,Arkansas St.,0.29,UIW,0.225,Kansas,33.02,Alabama A&M,141
Texas Tech,1.26,South,Sam Houston,10.71,Ark.-Pine Bluff,1.65,Oklahoma,13.36,FIU,0.173,Alabama St.,11.59,Sam Houston,0.286,Middle Tenn.,0.228,Prairie View,33.02,FIU,140
Kansas,1.25,South,Alabama St.,10.69,Murray St.,1.65,Baylor,13.09,New Orleans,0.173,Sam Houston,11.53,FIU,0.276,Austin Peay,0.228,North Texas,32.67,Little Rock,140
TCU,1.24,South,New Orleans,10.53,FIU,1.65,Old Dominion,13.05,Northwestern St.,0.169,New Orleans,11.31,Abilene Christian,0.269,A&M-Corpus Christi,0.229,Oklahoma,32.64,Kansas,139
Prairie View,1.24,South,ULM,10.45,Central Ark.,1.63,West Virginia,12.92,Grambling,0.166,ULM,11.25,Belmont,0.258,Abilene Christian,0.229,Jacksonville St.,32.4,Texas Tech,139
UTSA,1.23,South,West Virginia,10.2,Arkansas St.,1.63,Alabama St.,12.87,Sam Houston,0.165,Northwestern St.,11.19,Prairie View,0.25,Nicholls,0.231,Old Dominion,32.3,TCU,138
ULM,1.21,South,Louisiana Tech,10.17,Eastern Ill.,1.58,North Texas,12.83,Louisiana Tech,0.164,Louisiana Tech,11.17,Georgia St.,0.241,Sam Houston,0.234,Charlotte,32.26,Charlotte,134
Little Rock,1.2,South,Northwestern St.,10.11,Abilene Christian,1.56,Charlotte,12.68,Ark.-Pine Bluff,0.151,West Virginia,11.09,West Virginia,0.241,UTSA,0.238,UTEP,31.53,Abilene Christian,132
UIW,1.2,South,Little Rock,10.08,Jackson St.,1.51,TCU,12.65,Little Rock,0.139,Ark.-Pine Bluff,10.78,Nicholls,0.233,ULM,0.24,Texas,31.34,UIW,128
McNeese,1.19,South,Prairie View,9.81,A&M-Corpus Christi,1.46,Middle Tenn.,12.62,Prairie View,0.134,Little Rock,10.77,Little Rock,0.226,Marshall,0.242,Southern U.,31.23,UTSA,123
Mississippi Val.,1.12,South,Ark.-Pine Bluff,9.79,Texas Southern,1.42,UTEP,12.59,West Virginia,0.127,Prairie View,10.67,ULM,0.219,FIU,0.246,Western Ky.,31.05,Eastern Ky.,122
Sam Houston,1.12,South,Alabama A&M,8.59,Alabama A&M,1.41,Western Ky.,12.48,Alabama A&M,0.123,Alabama A&M,9.36,Alabama A&M,0.212,Alabama A&M,0.247,Alabama St.,30.6,Sam Houston,120
Southern U.,1.12,South,Texas Southern,8.28,ULM,1.39,Southern U.,12.23,Texas Southern,0.109,Texas Southern,9.24,UIW,0.207,Alcorn,0.251,Middle Tenn.,30.54,Morehead St.,119
Morehead St.,1.11,South,Alcorn,8.01,Prairie View,1.36,Alabama A&M,11.76,Southern U.,0.098,Southern U.,8.96,Alcorn,0.172,Charlotte,0.253,Alcorn,30.05,Marshall,115
Eastern Ky.,1.08,South,Southern U.,7.96,Alcorn,1.16,Alcorn,11.28,Alcorn,0.096,Alcorn,8.77,Southern U.,0.107,Belmont,0.253,Alabama A&M,29.78,Southern U.,113
Marshall,1.01,South,Mississippi Val.,4.95,Mississippi Val.,0.6,Mississippi Val.,10.3,NA,NA,Mississippi Val.,5.55,Mississippi Val.,0.04,Mississippi Val.,0.283,Mississippi Val.,26.85,Mississippi Val.,90
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
