team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
UCLA,1.52,West,Utah Valley,11.98,Idaho St.,2.24,UNLV,14.3,Portland St.,0.227,Utah Valley,12.93,New Mexico,0.586,LMU (CA),0.202,Seattle U,34.31,UTRGV,174
New Mexico St.,1.5,West,Cal Poly,11.97,Seattle U,2.21,Hawaii,14.29,Arizona,0.226,New Mexico St.,12.91,Weber St.,0.586,Utah Valley,0.202,Utah,34.28,Grand Canyon,173
Weber St.,1.5,West,San Diego St.,11.87,Long Beach St.,2.2,Northern Colo.,14.22,Utah Valley,0.225,Colorado,12.89,Portland St.,0.581,Stanford,0.202,UNLV,34.26,UC Santa Barbara,172
UC Davis,1.49,West,LMU (CA),11.86,Oregon,2.19,Seattle U,14.1,UC Irvine,0.224,Colorado St.,12.71,New Mexico St.,0.571,Oregon,0.203,Saint Mary's (CA),34.08,LMU (CA),171
Montana St.,1.48,West,Pacific,11.85,New Mexico St.,2.19,UC Davis,14.05,Long Beach St.,0.223,Montana,12.71,Cal Poly,0.567,Utah St.,0.203,Hawaii,34.07,Stanford,171
CSU Bakersfield,1.47,West,Boise St.,11.75,Utah,2.18,CSUN,14.05,Arizona St.,0.221,San Diego St.,12.7,Pacific,0.562,Colorado,0.203,Northern Colo.,34,Air Force,170
Pepperdine,1.47,West,Montana,11.71,UNLV,2.18,UC Santa Barbara,14.03,Wyoming,0.219,LMU (CA),12.68,UCLA,0.552,San Francisco,0.204,Arizona St.,33.98,New Mexico,170
San Francisco,1.46,West,Colorado St.,11.64,UTRGV,2.16,Oregon,13.98,Air Force,0.211,Boise St.,12.64,Boise St.,0.517,UCLA,0.204,Boise St.,33.98,Montana,169
Stanford,1.46,West,Oregon St.,11.53,Northern Colo.,2.16,Oregon St.,13.88,New Mexico St.,0.211,Arizona,12.45,Arizona,0.516,Arizona,0.205,Stanford,33.91,Idaho St.,167
Arizona,1.45,West,Santa Clara,11.52,North Ala.,2.16,Pacific,13.85,Boise St.,0.208,Santa Clara,12.3,Air Force,0.5,Chicago St.,0.206,Utah St.,33.88,Weber St.,166
New Mexico,1.45,West,Chicago St.,11.33,UC Davis,2.16,Arizona,13.81,Weber St.,0.205,Weber St.,12.27,Sacramento St.,0.5,UC Davis,0.207,Oregon St.,33.86,San Francisco,164
Northern Colo.,1.45,West,Weber St.,11.32,Chicago St.,2.15,Sacramento St.,13.72,Sacramento St.,0.205,New Mexico,12.23,UC Davis,0.5,Washington St.,0.21,Oregon,33.79,UCLA,164
Oregon,1.45,West,New Mexico,11.26,Colorado St.,2.15,Arizona St.,13.7,Montana,0.204,Oregon St.,12.21,Utah,0.484,San Jose St.,0.21,San Jose St.,33.79,Pepperdine,163
