team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
N.C. Central,1.71,Southeast,Samford,12.26,Wichita St.,2.35,Tulane,15.65,SMU,0.243,Tennessee,13.39,High Point,0.697,Howard,0.179,Campbell,35.97,Chattanooga,189
Norfolk St.,1.7,Southeast,Kennesaw St.,12.22,Western Caro.,2.33,Wofford,15.65,Liberty,0.243,High Point,13.32,SMU,0.688,Wofford,0.182,Tulane,35.87,Mercer,187
Presbyterian,1.69,Southeast,Campbell,12.18,Tennessee,2.3,Furman,15.6,Texas A&M,0.239,Florida,13.27,Coppin St.,0.676,SMU,0.182,Western Caro.,35.69,Liberty,185
Kentucky,1.67,Southeast,Texas A&M,12.17,Ole Miss,2.28,Samford,15.39,High Point,0.238,Mississippi St.,13.15,Howard,0.667,High Point,0.184,Wofford,35.67,Auburn,184
Western Caro.,1.63,Southeast,Tennessee,12.14,Bethune-Cookman,2.28,LSU,15.38,Lipscomb,0.238,Howard,13.01,Kennesaw St.,0.643,Radford,0.185,Mississippi St.,35.67,Charleston So.,179
Florida,1.58,Southeast,Georgia,11.98,SMU,2.26,UNC Greensboro,15.31,Georgia,0.236,Wofford,13.01,Campbell,0.633,ETSU,0.187,Lipscomb,35.55,Florida,179
Jacksonville,1.57,Southeast,Wofford,11.92,Winthrop,2.25,Wichita St.,15.3,Auburn,0.235,Campbell,13,Florida A&M,0.618,Georgia,0.187,Arkansas,35.54,Presbyterian,179
Houston,1.55,Southeast,Howard,11.91,Memphis,2.24,Western Caro.,15.29,Samford,0.227,Texas A&M,12.93,Western Caro.,0.606,UMES,0.191,UNC Asheville,35.52,Kentucky,177
ETSU,1.52,Southeast,ETSU,11.89,USC Upstate,2.24,Houston,15.17,Wichita St.,0.226,Georgia,12.88,Samford,0.594,Memphis,0.193,Presbyterian,35.39,Kennesaw St.,176
The Citadel,1.52,Southeast,Florida A&M,11.86,Wofford,2.23,UNC Asheville,15.11,Wofford,0.226,Florida A&M,12.85,Wichita St.,0.581,Western Caro.,0.193,Temple,35.31,SMU,176
