Team,turnovers_per_game,,,
North Carolina (ACC),10.86,,,
Maryland (Big Ten),11.00,,,
Stony Brook (America East),11.32,,,
Boston College (ACC),11.48,,,
Florida (AAC),11.50,,,
Penn St. (Big Ten),11.53,,,
Army West Point (Patriot),11.72,,,
East Carolina (AAC),11.89,,,
Massachusetts (Atlantic 10),12.00,,,
Princeton (Ivy League),12.00,,,
Hofstra (CAA),12.12,,,
Bryant (NEC),12.24,,,
Iona (MAAC),12.25,,,
Notre Dame (ACC),12.32,,,
Virginia Tech (ACC),12.67,,,
Stanford (Pac-12),12.68,,,
Mercer (Big South),12.89,,,
Loyola Maryland (Patriot),12.95,,,
Jacksonville (ASUN),13.00,,,
Southern California (Pac-12),13.06,,,
Johns Hopkins (Big Ten),13.11,,,
Siena (MAAC),13.28,,,
Virginia (ACC),13.30,,,
Yale (Ivy League),13.35,,,
Georgetown (Big East),13.44,,,
Brown (Ivy League),13.47,,,
Denver (Big East),13.48,,,
Central Mich. (MAC),13.50,,,
Coastal Carolina (ASUN),13.59,,,
Syracuse (ACC),13.62,,,
Richmond (Atlantic 10),13.67,,,
Colorado (Pac-12),13.76,,,
New Hampshire (America East),13.87,,,
Elon (CAA),13.88,,,
Temple (AAC),13.88,,,
Louisville (ACC),13.94,,,
Fairfield (MAAC),13.95,,,
James Madison (CAA),14.00,,,
Navy (Patriot),14.05,,,
Michigan (Big Ten),14.06,,,
Towson (CAA),14.18,,,
Duke (ACC),14.20,,,
San Diego St. (MPSF),14.27,,,
LIU (NEC),14.28,,,
Lehigh (Patriot),14.28,,,
Cornell (Ivy League),14.31,,,
Saint Joseph's (Atlantic 10),14.33,,,
Binghamton (America East),14.44,,,
UMBC (America East),14.53,,,
Quinnipiac (MAAC),14.56,,,
Wagner (NEC),14.61,,,
Drexel (CAA),14.65,,,
Northwestern (Big Ten),14.76,,,
UMass Lowell (America East),14.76,,,
Lafayette (Patriot),14.87,,,
Bucknell (Patriot),14.88,,,
American (Patriot),15.00,,,
Marist (MAAC),15.00,,,
Monmouth (MAAC),15.16,,,
Cincinnati (AAC),15.18,,,
George Mason (Atlantic 10),15.18,,,
Sacred Heart (NEC),15.19,,,
Mount St. Mary's (NEC),15.20,,,
California (Pac-12),15.22,,,
Oregon (Pac-12),15.39,,,
Vanderbilt (AAC),15.39,,,
UC Davis (Independent),15.54,,,
Holy Cross (Patriot),15.56,,,
Campbell (Big South),15.59,,,
St. Bonaventure (Atlantic 10),15.60,,,
Stetson (ASUN),15.60,,,
Davidson (Atlantic 10),15.78,,,
UConn (Big East),15.78,,,
High Point (Big South),15.79,,,
Manhattan (MAAC),15.79,,,
Columbia (Ivy League),15.80,,,
La Salle (Atlantic 10),15.82,,,
UAlbany (America East),15.88,,,
Furman (Big South),16.06,,,
Harvard (Ivy League),16.07,,,
Villanova (Big East),16.19,,,
Pittsburgh (ACC),16.26,,,
Vermont (America East),16.26,,,
Rutgers (Big Ten),16.29,,,
Ohio St. (Big Ten),16.31,,,
Canisius (MAAC),16.38,,,
Kennesaw St. (ASUN),16.39,,,
Marquette (Big East),16.44,,,
Liberty (ASUN),16.68,,,
VCU (Atlantic 10),16.71,,,
Colgate (Patriot),16.72,,,
Niagara (MAAC),16.78,,,
Penn (Ivy League),16.80,,,
George Washington (Atlantic 10),16.83,,,
Robert Morris (MAC),16.83,,,
Delaware (CAA),17.00,,,
Gardner-Webb (Big South),17.00,,,
Detroit Mercy (MAC),17.07,,,
Wofford (Big South),17.12,,,
Butler (Big East),17.13,,,
Presbyterian (Big South),17.24,,,
Saint Francis (PA) (NEC),17.25,,,
Dartmouth (Ivy League),17.40,,,
Youngstown St. (MAC),17.44,,,
Longwood (Big South),17.71,,,
Kent St. (MAC),17.72,,,
Duquesne (Atlantic 10),17.94,,,
Boston U. (Patriot),18.12,,,
Old Dominion (AAC),18.12,,,
Howard (NEC),18.18,,,
Winthrop (Big South),18.56,,,
Central Conn. St. (NEC),18.57,,,
Arizona St. (Pac-12),18.84,,,
Delaware St. (ASUN),18.93,,,
William & Mary (CAA),19.25,,,
Radford (Big South),19.88,,,
Akron (MAC),20.12,,,
