Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1e,Terunofuji,Isegahama,Mongolia,29.11.1991,191 cm 173 kg,5-5-5
O1e,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175 cm 183 kg,10-5
O1w,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184 cm 170 kg,4-11
O2w,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179 cm 172 kg,4-11
S1e,Wakatakakage,Arashio,Fukushima,06.12.1994,180 cm 129 kg,11-4 JG
S1w,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186 cm 131 kg,8-7
S2e,Daieisho,Oitekaze,Saitama,10.11.1993,182 cm 161 kg,7-8
K1e,Abi,Shikoroyama,Saitama,04.05.1994,188 cm 149 kg,0-0-15
K1w,Ichinojo,Minato,Mongolia,07.04.1993,192 cm 198 kg,6-9
K2w,Kiribayama,Michinoku,Mongolia,24.04.1996,187 cm 138 kg,9-6
M1e,Tobizaru,Oitekaze,Tokyo,24.04.1992,175 cm 131 kg,10-5 S
M1w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171 cm 114 kg,7-8
M2e,Kotonowaka,Sadogatake,Chiba,19.11.1997,188 cm 166 kg,8-7
M2w,Meisei,Tatsunami,Kagoshima,24.07.1995,180 cm 151 kg,8-7
M3e,Tamawashi,Kataonami,Mongolia,16.11.1984,189 cm 168 kg,13-2 YS
M3w,Ura,Kise,Osaka,22.06.1992,175 cm 136 kg,8-7
M4e,Nishikigi,Isenoumi,Iwate,25.08.1990,184 cm 169 kg,6-9
M4w,Takayasu,Tagonoura,Ibaraki,28.02.1990,187 cm 175 kg,11-4 JK
M5e,Takarafuji,Isegahama,Aomori,18.02.1987,185 cm 166 kg,5-10
M5w,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182 cm 139 kg,9-6
M6e,Wakamotoharu,Arashio,Fukushima,05.10.1993,187 cm 143 kg,10-5
M6w,Endo,Oitekaze,Ishikawa,19.10.1990,184 cm 148 kg,7-8
M7e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191 cm 188 kg,6-9
M7w,Onosho,Onomatsu,Aomori,04.07.1996,177 cm 157 kg,5-10
M8e,Tochinoshin,Kasugano,Georgia,13.10.1987,192 cm 176 kg,7-8
M8w,Hokutofuji,Hakkaku,Saitama,15.07.1992,185 cm 162 kg,10-5
M9e,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187 cm 155 kg,8-7
