Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1e,Terunofuji,Isegahama,Mongolia,29.11.1991,191 cm 173 kg,14-1 Y
O1w,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175 cm 183 kg,8-7
S1e,Kiribayama,Michinoku,Mongolia,24.04.1996,187 cm 138 kg,11-4 G
S1w,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186 cm 131 kg,11-4
S2e,Daieisho,Oitekaze,Saitama,10.11.1993,182 cm 161 kg,10-5
S2w,Wakamotoharu,Arashio,Fukushima,05.10.1993,187 cm 143 kg,10-5 G
K1e,Kotonowaka,Sadogatake,Chiba,19.11.1997,188 cm 166 kg,8-7
K1w,Wakatakakage,Arashio,Fukushima,06.12.1994,180 cm 129 kg,0-0-15
K2e,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184 cm 170 kg,6-9
M1e,Abi,Shikoroyama,Saitama,04.05.1994,188 cm 149 kg,8-7
M1w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171 cm 114 kg,6-9
M2e,Takayasu,Tagonoura,Ibaraki,28.02.1990,187 cm 175 kg,3-3-9
M2w,Endo,Oitekaze,Ishikawa,19.10.1990,184 cm 148 kg,0-7-8
M3e,Tobizaru,Oitekaze,Tokyo,24.04.1992,175 cm 131 kg,8-7
M3w,Nishikifuji,Isegahama,Aomori,22.07.1996,183 cm 143 kg,3-12
M4e,Ura,Kise,Osaka,22.06.1992,175 cm 136 kg,7-8
M4w,Nishikigi,Isenoumi,Iwate,25.08.1990,184 cm 169 kg,9-6
M5e,Kinbozan,Kise,Kazakhstan,24.06.1997,191 cm 165 kg,4-11
M5w,Kotoshoho,Sadogatake,Chiba,26.08.1999,191 cm 156 kg,2-10-3
M6e,Meisei,Tatsunami,Kagoshima,24.07.1995,180 cm 151 kg,8-7 S
M6w,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179 cm 172 kg,9-6
M7e,Hokutofuji,Hakkaku,Saitama,15.07.1992,185 cm 162 kg,6-9
M7w,Tamawashi,Kataonami,Mongolia,16.11.1984,189 cm 168 kg,7-8
M8e,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182 cm 139 kg,7-8
M8w,Takanosho,Tokiwayama,Chiba,14.11.1994,184 cm 163 kg,7-8
M9e,Onosho,Onomatsu,Aomori,04.07.1996,177 cm 157 kg,8-7
M9w,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,177 cm 129 kg,9-6
M10e,Ryuden,Takadagawa,Yamanashi,10.11.1990,190 cm 148 kg,5-10
M10w,Takarafuji,Isegahama,Aomori,18.02.1987,185 cm 166 kg,5-10
M11e,Hokuseiho,Miyagino,Hokkaido,12.11.2001,200 cm 164 kg,8-7
M11w,Daishoho,Oitekaze,Mongolia,28.08.1994,184 cm 171 kg,6-9
M12e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191 cm 188 kg,5-10
M12w,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177 cm 131 kg,8-7
M13e,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184 cm 137 kg,8-7
M13w,Ichinojo,Minato,Mongolia,07.04.1993,192 cm 198 kg,0-0
M14e,Asanoyama,Takasago,Toyama,01.03.1994,187 cm 174 kg,12-3 J
M14w,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187 cm 155 kg,9-6
M15e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187 cm 133 kg,4-11
M15w,Tsurugisho,Oitekaze,Tokyo,27.07.1991,182 cm 191 kg,9-6
M16e,Mitoryu,Nishikido,Mongolia,25.04.1994,187 cm 183 kg,5-10
M16w,Oho,Otake,Tokyo,14.02.2000,191 cm 170 kg,11-4
M17e,Kagayaki,Takadagawa,Ishikawa,01.06.1994,193 cm 160 kg,7-8
NA,NA,-,Edo,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,Aichi,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,Ikazuchi,Tokushima,"January 20, 1852",NA,NA
NA,NA,Tamagaki,Hyogo,1854,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,Tamanoi,Tottori,1862,NA,NA
NA,NA,Oguruma,Tottori,April 1860,NA,NA
M1w,NA,Umegatani,Kyoto,1856,NA,NA
M5e,NA,Ikazuchi,Osaka,1849,NA,NA
J3w,NA,Kabutoyama,Saitama,"October 20, 1843",NA,NA
J5w,NA,-,-,,NA,NA
J7e,NA,Sakaigawa,Mie,,NA,NA
J7w,NA,-,-,,NA,NA
J10w,NA,-,-,,NA,NA
NA,NA,Chiganoura,Tottori,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
M4w,NA,Tamagaki,Kochi,"July 8, 1854",NA,NA
M8w,NA,Tateyama,Fukushima,"November 2, 1861",NA,NA
M10OB,NA,-,-,,NA,NA
M10OB,NA,-,-,,NA,NA
M10OB,NA,-,-,,NA,NA
M10OB,NA,-,-,,NA,NA
M10OB,NA,-,-,,NA,NA
M10OB,NA,-,-,,NA,NA
M10OB,NA,-,-,,NA,NA
J1w,NA,Ikazuchi,Yamagata,"February 3, 1854",NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,Hatachiyama,Yamagata,"July 18, 1887",NA,NA
M11e,NA,Tomozuna,Osaka,"April 16, 1872",NA,NA
M14wHD,NA,Takasago,Aomori,"November 23, 1862",NA,NA
J1eHD,NA,Tatekawa,Tochigi,"March 13, 1864",NA,NA
J6w,NA,-,-,,NA,NA
J9e,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,Tomozuna,Toyama,"March 20, 1885",NA,NA
NA,NA,Ikazuchi,Fukui,"June 10, 1887",NA,NA
NA,NA,Hatachiyama,Aomori,"December 27, 1885",NA,NA
M5w,NA,Takasago,Aomori,"February 24, 1864",NA,NA
M12e,NA,Ikazuchi,Fukuoka,"November 6, 1874",NA,NA
M13e,NA,Hakkaku,Ishikawa,"December 14, 1867",NA,NA
J3e,NA,-,-,,NA,NA
J7e,NA,-,-,,NA,NA
J8e,NA,-,-,,NA,NA
J10w,NA,-,-,,NA,NA
J10eHD,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,-,-,,NA,NA
NA,NA,Takasago,Tochigi,"March 14, 1888",NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
K1w,NA,Izutsu,Kagoshima,"May 10, 1871",NA,NA
J1eHD,NA,Ikazuchi,Ishikawa,1879,NA,NA
J6w,NA,-,-,,NA,NA
J7w,NA,-,-,,NA,NA
J8e,NA,-,-,,NA,NA
J9w,NA,-,-,,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
J1e,Shiunryu,Onomatsu,Chiba,07.01.1882,172 cm 86 kg,3-2-1d-1a
J1w,Wakafuji,Wakafuji,Ibaraki,05.03.1881,171 cm 80 kg,4-4
J2e,Umekawa,Dewanoumi,Yamagata,27.04.1888,176 cm 94 kg,3-3-1d
J2w,Kantamago,Tomozuna,Toyama,27.02.1888,166 cm 90 kg,5-2-1d
J3e,Boshuyama,-,-,,,1-4
J3w,Tamanogawa,Sadogatake,Tokyo,02.04.1885,164 cm 79 kg,1-4-1a
J4e,Kanzaki,Takasago,Hyogo,13.09.1882,166 cm 75 kg,3-2
J4w,Onogasaki,Kumagatani,Aomori,01.01.1884,170 cm 86 kg,4-1
J5e,Makinoshima,Hatachiyama,Chiba,25.07.1889,167 cm 109 kg,1-4-1d
J5w,Shingari,-,-,,,4-2
J6e,Omidori,Takasago,Fukui,03.01.1880,179 cm 94 kg,0-0
J6w,Katsudatake#,-,-,,,2-3
J7e,Nihonkai,Dewanoumi,Akita,25.03.1882,178 cm 83 kg,3-2
J7w,Uranohama,Urakaze,Niigata,20.02.1889,171 cm 101 kg,5-0-1a Y
J8e,Asamidori,Dewanoumi,Yamagata,04.02.1889,173 cm 86 kg,2-3
J8w,Futatsubiki#,-,-,,,3-2
J9e,Hibikiya,Irumagawa,Aomori,25.11.1883,175 cm 101 kg,3-2
J9w,Osaki,Oguruma,Miyagi,1874,164 cm 75 kg,3-1-1d
