Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1eYO,Terunofuji,Isegahama,Mongolia,29.11.1991,191 cm 173 kg,0-0-15
O1w,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175 cm 183 kg,3-4-8
S1e,Wakatakakage,Arashio,Fukushima,06.12.1994,180 cm 129 kg,7-7-1
S1w,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186 cm 131 kg,10-5
S2e,Kiribayama,Michinoku,Mongolia,24.04.1996,187 cm 138 kg,12-3 YG
K1e,Wakamotoharu,Arashio,Fukushima,05.10.1993,187 cm 143 kg,11-4
K1w,Kotonowaka,Sadogatake,Chiba,19.11.1997,188 cm 166 kg,9-6
K2e,Daieisho,Oitekaze,Saitama,10.11.1993,182 cm 161 kg,12-3 DG
K2w,Tobizaru,Oitekaze,Tokyo,24.04.1992,175 cm 131 kg,6-9
M1e,Tamawashi,Kataonami,Mongolia,16.11.1984,189 cm 168 kg,3-12
M1w,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184 cm 170 kg,10-5
M2e,Abi,Shikoroyama,Saitama,04.05.1994,188 cm 149 kg,9-6
M2w,Ryuden,Takadagawa,Yamanashi,10.11.1990,190 cm 148 kg,2-13
M3e,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179 cm 172 kg,4-11
M3w,Nishikigi,Isenoumi,Iwate,25.08.1990,184 cm 169 kg,6-9
M4e,Onosho,Onomatsu,Aomori,04.07.1996,177 cm 157 kg,4-5-6
M4w,Meisei,Tatsunami,Kagoshima,24.07.1995,180 cm 151 kg,5-10
M5e,Kotoshoho,Sadogatake,Chiba,26.08.1999,191 cm 156 kg,6-9
M5w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171 cm 114 kg,10-5
M6e,Endo,Oitekaze,Ishikawa,19.10.1990,184 cm 148 kg,9-6
M6w,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182 cm 139 kg,6-9
M7e,Hokutofuji,Hakkaku,Saitama,15.07.1992,185 cm 162 kg,7-8
M7w,Takayasu,Tagonoura,Ibaraki,28.02.1990,187 cm 175 kg,10-5
M8e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187 cm 133 kg,4-11
M8w,Ura,Kise,Osaka,22.06.1992,175 cm 136 kg,9-6
M9e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191 cm 188 kg,6-9
M9w,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,177 cm 129 kg,7-8
M10e,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187 cm 155 kg,5-10
M10w,Nishikifuji,Isegahama,Aomori,22.07.1996,183 cm 143 kg,10-5
M11e,Azumaryu,Tamanoi,Mongolia,12.05.1987,191 cm 156 kg,4-11
M11w,Takanosho,Tokiwayama,Chiba,14.11.1994,184 cm 163 kg,8-7
M12e,Kagayaki,Takadagawa,Ishikawa,01.06.1994,193 cm 160 kg,5-10
M12w,Takarafuji,Isegahama,Aomori,18.02.1987,185 cm 166 kg,8-7
M13e,Daishoho,Oitekaze,Mongolia,28.08.1994,184 cm 171 kg,8-7
M13w,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177 cm 131 kg,8-7
M14e,Kinbozan,Kise,Kazakhstan,24.06.1997,191 cm 165 kg,11-4 K
M14w,Bushozan,Fujishima,Ibaraki,06.12.1995,172 cm 170 kg,5-10
M15e,Hokuseiho,Miyagino,Hokkaido,12.11.2001,200 cm 164 kg,9-6
M15w,Oho,Otake,Tokyo,14.02.2000,191 cm 170 kg,7-8
M16e,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184 cm 137 kg,9-6
M16w,Tsurugisho,Oitekaze,Tokyo,27.07.1991,182 cm 191 kg,8-7
M17e,Mitoryu,Nishikido,Mongolia,25.04.1994,187 cm 183 kg,8-7
O1e,NA,Akitsushima,Kumamoto,NA,NA,NA
O1w,NA,-,Oshu,NA,NA,NA
M2e,NA,-,-,NA,NA,NA
M4e,NA,-,Osaka (old),NA,NA,NA
M5e,NA,-,Kyushu,NA,NA,NA
M7w,NA,-,Edo,NA,NA,NA
J1e,NA,-,-,NA,NA,NA
J2e,NA,-,-,NA,NA,NA
J3w,NA,-,-,NA,NA,NA
J5e,NA,-,-,NA,NA,NA
J5w,NA,-,-,NA,NA,NA
J6e,NA,-,-,NA,NA,NA
J7e,NA,-,-,NA,NA,NA
J7w,NA,-,-,NA,NA,NA
J8e,NA,-,-,NA,NA,NA
J9w,NA,-,-,NA,NA,NA
J40,NA,-,Edo,NA,NA,NA
O1e,NA,-,Kyushu,NA,NA,NA
O1w,NA,-,Oshu,NA,NA,NA
K1w,NA,Naruto,Akita,NA,NA,NA
M1w,NA,-,-,NA,NA,NA
M2e,NA,-,Kyushu,NA,NA,NA
M3e,NA,-,Esshu,NA,NA,NA
M4w,NA,-,Oshu,NA,NA,NA
J1e,NA,Takeshima,Fukuoka,NA,NA,NA
J2e,NA,-,-,NA,NA,NA
J2w,NA,-,-,NA,NA,NA
J5e,NA,-,-,NA,NA,NA
J6e,NA,-,-,NA,NA,NA
J7e,NA,-,-,NA,NA,NA
J8e,NA,-,-,NA,NA,NA
J9e,NA,-,-,NA,NA,NA
J9w,NA,-,-,NA,NA,NA
J10e,NA,-,-,NA,NA,NA
J10w,NA,-,-,NA,NA,NA
J40,NA,-,Kyushu,NA,NA,NA
O1w,NA,-,Akita,NA,NA,NA
K1e,NA,Takeshima,Fukuoka,NA,NA,NA
M3e,NA,Takeshima,Kumamoto,NA,NA,NA
J1e,NA,Gofuku,Fukuoka,NA,NA,NA
J2e,NA,-,-,NA,NA,NA
J3e,NA,Izutsu,Oshu,NA,NA,NA
J5e,NA,-,-,NA,NA,NA
J5w,NA,Sanoyama,Miyagi,NA,NA,NA
J30,NA,-,-,NA,NA,NA
J30,NA,-,-,NA,NA,NA
J30,NA,-,-,NA,NA,NA
M6e,NA,-,Osaka (old),NA,NA,NA
J1e,NA,-,Oshu,NA,NA,NA
J5e,NA,-,-,NA,NA,NA
J6e,NA,-,-,NA,NA,NA
O1e,NA,-,Kyushu,NA,NA,NA
M5e,NA,-,Kyushu,NA,NA,NA
J1e,NA,-,-,NA,NA,NA
J3e,NA,-,Kyushu,NA,NA,NA
J6e,NA,-,-,NA,NA,NA
J30,NA,-,-,NA,NA,NA
J30,NA,-,-,NA,NA,NA
J30,NA,-,-,NA,NA,NA
NA,NA,-,Kyushu,NA,NA,NA
NA,NA,-,Kyushu,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
O1e,NA,-,Nanbu,NA,NA,NA
O1w,NA,-,Oshu,NA,NA,NA
S1w,NA,-,Oshu,NA,NA,NA
J4w,NA,-,-,NA,NA,NA
J5e,NA,-,-,NA,NA,NA
J30,NA,-,-,NA,NA,NA
NA,NA,-,Kyushu,NA,NA,NA
NA,NA,-,Kyushu,NA,NA,NA
NA,NA,-,Mie,NA,NA,NA
NA,NA,-,Dewa,NA,NA,NA
NA,NA,-,Dewa,NA,NA,NA
NA,NA,-,Fukuoka,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,Oshu,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
M2e,NA,Oyama,Kagoshima,NA,NA,NA
J11e,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,Isenoumi,Nanbu,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,Kagawa,NA,NA,NA
NA,NA,-,Kanagawa,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,Isenoumi,Kyushu,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,Hyogo,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,Iwate,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,Kyushu,NA,NA,NA
NA,NA,-,Edo,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,Kyushu,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
NA,NA,-,-,NA,NA,NA
J1e,Ikedagawa,Tatsunami,Toyama,11.08.1900,168 cm 101 kg,5-4
J1w,Takaragawa,Tomozuna,Kochi,08.02.1899,173 cm 98 kg,5-6
J2e,Tsurugidake,Tatsunami,Toyama,01.01.1896,174 cm 94 kg,5-6
J2w,Shinkai,Dewanoumi,Akita,09.02.1904,174 cm 98 kg,8-3
J3e,Onikaze,Dewanoumi,Hyogo,21.06.1899,165 cm 105 kg,5-6
J3w,Hatasegawa,Isegahama,Akita,01.06.1905,173 cm 86 kg,7-4
J4e,Shiogahama,Takasago,Aomori,08.12.1897,170 cm 90 kg,6-5
J4w,Kenrokuzan,Tatsunami,Ishikawa,20.02.1899,183 cm 98 kg,2-7
J5e,Kashimazaki,Onogawa,Ishikawa,18.02.1897,,0-0-11
J5w,Kaigetsu,Hanakago,Fukuoka,02.02.1899,169 cm 90 kg,8-3
J6e,Inenomori,Dewanoumi,Kumamoto,17.05.1899,173 cm 94 kg,5-6
J6w,Taroyama,Takasago,Nagano,25.03.1901,180 cm 105 kg,6-5
J7e,Koganoura,Miyagino,Fukuoka,03.10.1904,177 cm 101 kg,0-6
J7w,Harenoumi,Tomozuna,Kochi,06.12.1898,176 cm 86 kg,6-5
