Rank,Name,Country,Time,Time_sec,Time_min,Year
1,Iivo Niskanen,FIN,37M 54.8S,2274.8,37.913333333333334,2022
2,Aleksandr Bolshunov,ROC,38M 18S,2298,38.3,2022
3,Johannes Høsflot Klæbo,NOR,38M 32.3S,2312.3,38.538333333333334,2022
4,Hans Christer Holund,NOR,38M 44.6S,2324.6,38.74333333333333,2022
5,Alexey Chervotkin,ROC,38M 51.7S,2331.7,38.861666666666665,2022
6,Perttu Hyvarinen,FIN,39M 0.2S,2340.2,39.00333333333333,2022
7,Hugo Lapalus,FRA,39M 9.6S,2349.6,39.16,2022
8,Jens Burman,SWE,39M 26.8S,2366.8,39.44666666666667,2022
9,Ilia Semikov,ROC,39M 34.7S,2374.7,39.57833333333333,2022
10,William Poromaa,SWE,39M 42.5S,2382.5,39.708333333333336,2022
11,Paal Golberg,NOR,39M 47.4S,2387.4,39.79,2022
12,Maurice Manificat,FRA,39M 49.7S,2389.7,39.82833333333333,2022
13,Ivan Yakimushkin,ROC,39M 52.6S,2392.6,39.876666666666665,2022
14,Thomas Maloney Westgaard,IRL,40M 1.5S,2401.5,40.025,2022
15,Erik Valnes,NOR,40M 6.8S,2406.8,40.11333333333334,2022
16,Jonas Baumann,SUI,40M 9.7S,2409.7,40.16166666666666,2022
17,Lucas Bögl,GER,40M 13.9S,2413.9,40.23166666666667,2022
18,Francesco De Fabiani,ITA,40M 16.4S,2416.4,40.27333333333333,2022
19,Jonas Dobler,GER,40M 21S,2421,40.35,2022
20,Janosch Brugger,GER,40M 24.5S,2424.5,40.40833333333333,2022
21,Johan Häggström,SWE,40M 30.9S,2430.9,40.515,2022
22,Giandomenico Salvadori,ITA,40M 33.2S,2433.2,40.55333333333333,2022
23,Mika Vermeulen,AUT,40M 37.8S,2437.8,40.63,2022
24,Irineu Esteve Altimiras,AND,40M 39.4S,2439.4,40.656666666666666,2022
25,Vitaliy Pukhkalo,KAZ,40M 39.6S,2439.6,40.66,2022
26,Calle Halfvarsson,SWE,40M 46.8S,2446.8,40.78,2022
27,Dominik Bury,POL,40M 48.4S,2448.4,40.806666666666665,2022
28,Ristomatti Hakola,FIN,40M 49.6S,2449.6,40.82666666666667,2022
29,Olivier Leveille,CAN,40M 52S,2452,40.86666666666667,2022
30,Paul Constantin Pepene,ROU,40M 52.7S,2452.7,40.87833333333333,2022
31,Adam Fellner,CZE,41M 1S,2461,41.016666666666666,2022
32,Albert Kuchler,GER,41M 7.1S,2467.1,41.11833333333333,2022
33,Remi Drolet,CAN,41M 7.7S,2467.7,41.12833333333333,2022
34,Paolo Ventura,ITA,41M 12.2S,2472.2,41.20333333333333,2022
35,Alvar Johannes Alev,EST,41M 12.5S,2472.5,41.208333333333336,2022
36,Snorri Eythor Einarsson,ISL,41M 17.6S,2477.6,41.29333333333333,2022
37,Antoine Cyr,CAN,41M 17.7S,2477.7,41.294999999999995,2022
38,Scott Patterson,USA,41M 23.1S,2483.1,41.385,2022
39,Imanol Rojo,ESP,41M 24.2S,2484.2,41.40333333333333,2022
40,Yevgeniy Velichko,KAZ,41M 27.3S,2487.3,41.455000000000005,2022
41,Shang Jincai,CHN,41M 29.6S,2489.6,41.49333333333333,2022
42,Ben Ogden,USA,41M 29.8S,2489.8,41.49666666666667,2022
43,Ryo Hirose,JPN,41M 30.5S,2490.5,41.50833333333333,2022
44,Dario Cologna,SUI,41M 39.9S,2499.9,41.665,2022
45,Remi Lindholm,FIN,41M 40S,2500,41.666666666666664,2022
46,Andrew Musgrave,GBR,41M 44.7S,2504.7,41.745,2022
47,Liu Rongsheng,CHN,41M 51.7S,2511.7,41.861666666666665,2022
48,Gus Schumacher,USA,41M 53.4S,2513.4,41.89,2022
49,Richard Jouve,FRA,41M 56.6S,2516.6,41.943333333333335,2022
50,Michal Novak,CZE,42M 6.6S,2526.6,42.11,2022
51,Andrew Young,GBR,42M 24S,2544,42.4,2022
52,Maicol Rastelli,ITA,42M 25.4S,2545.4,42.42333333333333,2022
53,Jason Rüesch,SUI,42M 29.8S,2549.8,42.49666666666667,2022
54,Petr Knop,CZE,42M 34.4S,2554.4,42.57333333333334,2022
55,Miha Licef,SLO,42M 43.4S,2563.4,42.723333333333336,2022
56,Martin Himma,EST,42M 44.4S,2564.4,42.74,2022
57,Badelihan Hadesi,CHN,42M 48.1S,2568.1,42.80166666666666,2022
58,Peter Mlynar,SVK,42M 49.9S,2569.9,42.83166666666667,2022
59,Thibaut De Marre,BEL,42M 56.7S,2576.7,42.945,2022
60,Mateusz Haratyk,POL,43M 0.3S,2580.3,43.005,2022
61,Mikayel Mikayelyan,ARM,43M 9.1S,2589.1,43.151666666666664,2022
62,Raimo Vigants,LAT,43M 10.9S,2590.9,43.181666666666665,2022
63,Cirenzhandui ,CHN,43M 22.2S,2602.2,43.37,2022
64,Raul Popa,ROU,43M 25.3S,2605.3,43.42166666666667,2022
65,Achbadrakh Batmunkh,MGL,43M 29.9S,2609.9,43.498333333333335,2022
66,James Clinton Schoonmaker,USA,43M 31.6S,2611.6,43.526666666666664,2022
67,Hiroyuki Miyazawa,JPN,43M 47.5S,2627.5,43.791666666666664,2022
68,Yahor Shpuntau,BLR,44M 5.2S,2645.2,44.086666666666666,2022
69,Vili Crv,SLO,44M 12.9S,2652.9,44.215,2022
70,Henri Roos,EST,44M 17.8S,2657.8,44.29666666666667,2022
71,Miha Simenc,SLO,44M 20.8S,2660.8,44.34666666666667,2022
72,Seve De Campo,AUS,44M 21.2S,2661.2,44.35333333333333,2022
73,Mark Chanloung,THA,44M 27S,2667,44.45,2022
74,Roberts Slotins,LAT,44M 44.8S,2684.8,44.74666666666667,2022
75,Phil Bellingham,AUS,44M 46.8S,2686.8,44.78,2022
76,Lars Young Vik,AUS,44M 50.6S,2690.6,44.843333333333334,2022
77,Oleksii Krasovskyi,UKR,44M 59.8S,2699.8,44.99666666666667,2022
78,Ruslan Perekhoda,UKR,45M 5.6S,2705.6,45.093333333333334,2022
79,Kim Minwoo,KOR,45M 21.6S,2721.6,45.36,2022
80,Adam Konya,HUN,45M 48.9S,2748.9,45.815000000000005,2022
81,Hugo Hinckfuss,AUS,46M 5.9S,2765.9,46.098333333333336,2022
82,Jeong Jongwon,KOR,46M 34.6S,2794.6,46.57666666666667,2022
83,Tautvydas Strolia,LTU,46M 53.1S,2813.1,46.885,2022
84,Danial Saveh Shemshaki,IRI,47M 26S,2846,47.43333333333333,2022
85,Marko Skender,CRO,48M 30.8S,2910.8,48.513333333333335,2022
86,Franco Dal Farra,ARG,48M 35.5S,2915.5,48.59166666666667,2022
87,Strahinja Eric,BIH,48M 38.3S,2918.3,48.638333333333335,2022
88,José Cabeca,POR,49M 12S,2952,49.2,2022
89,Timo Juhani Gronlund,BOL,49M 27S,2967,49.45,2022
90,Manex Silva,BRA,50M 35.1S,3035.1,50.585,2022
91,Yonathan Fernandez,CHI,50M 36.6S,3036.6,50.61,2022
92,Elie Tawk,LIB,51M 46.5S,3106.5,51.775,2022
93,Aleksandar Grbovic,MNE,52M 44.9S,3164.9,52.748333333333335,2022
94,Jonathan Soto Moreno,MEX,53M 30S,3210,53.5,2022
95,Carlos Andrés Quintana,COL,55M 41.9S,3341.9,55.69833333333334,2022
1,Andrus Veerpalu,EST,7.4,2227.4,37.123333333333335,2002
2,Frode Estil,NOR,43.4,2263.4,37.723333333333336,2002
3,Jaak Mae,EST,50.8,2270.8,37.84666666666667,2002
4,Anders Aukland,NOR,8.3,2288.3,38.138333333333335,2002
5,Per Elofsson,SWE,10.8,2290.8,38.18,2002
6,Erling Jevne,NOR,13.6,2293.6,38.22666666666667,2002
7,Vitaly Denisov,RUS,17.9,2297.9,38.29833333333333,2002
8,Magnus Ingesson,SWE,38.5,2318.5,38.641666666666666,2002
9,Reto Burgermeister,SUI,49.2,2329.2,38.82,2002
10,Sergey Novikov,RUS,49.3,2329.3,38.82166666666667,2002
11,Mikhail Ivanov,RUS,51.3,2331.3,38.855000000000004,2002
12,John Bauer,USA,55.7,2335.7,38.92833333333333,2002
13,Roman Virolainen,BLR,2.4,2342.4,39.04,2002
14,Axel Teichmann,GER,5.3,2345.3,39.08833333333334,2002
15,Andreas Schlütter,GER,19.2,2359.2,39.32,2002
