Team,blocks_per_set,,,,
Iona (MAAC),2.07,,,,
Syracuse (ACC),2.07,,,,
Hofstra (CAA),2.06,,,,
Notre Dame (ACC),2.06,,,,
Hawaii (Big West),2.06,,,,
Lamar University (Southland),2.06,,,,
Louisiana Tech (C-USA),2.06,,,,
FGCU (ASUN),2.06,,,,
UNI (MVC),2.05,,,,
San Francisco (WCC),2.05,,,,
Wake Forest (ACC),2.05,,,,
Bryant (America East),2.04,,,,
Kennesaw St. (ASUN),2.04,,,,
Montana (Big Sky),2.04,,,,
Colgate (Patriot),2.04,,,,
UT Martin (OVC),2.03,,,,
Tennessee Tech (OVC),2.03,,,,
Creighton (Big East),2.03,,,,
Northeastern (CAA),2.03,,,,
Indiana (Big Ten),2.03,,,,
Ga. Southern (Sun Belt),2.03,,,,
Kent St. (MAC),2.03,,,,
American (Patriot),2.03,,,,
App State (Sun Belt),2.03,,,,
Wyoming (Mountain West),2.02,,,,
Alabama St. (SWAC),2.02,,,,
Southern U. (SWAC),2.02,,,,
N.C. A&T (CAA),2.02,,,,
Oregon St. (Pac-12),2.02,,,,
Southeastern La. (Southland),2.01,,,,
Middle Tenn. (C-USA),2.00,,,,
Georgetown (Big East),2.00,,,,
Sacred Heart (NEC),1.99,,,,
Milwaukee (Horizon),1.99,,,,
Austin Peay (ASUN),1.99,,,,
Texas St. (Sun Belt),1.98,,,,
Marquette (Big East),1.98,,,,
Southern California (Pac-12),1.98,,,,
Arizona St. (Pac-12),1.98,,,,
Sam Houston (WAC),1.98,,,,
UNCW (CAA),1.97,,,,
St. Francis Brooklyn (NEC),1.96,,,,
Missouri St. (MVC),1.95,,,,
Niagara (MAAC),1.95,,,,
Princeton (Ivy League),1.95,,,,
Fla. Atlantic (C-USA),1.95,,,,
UAB (C-USA),1.95,,,,
Oral Roberts (Summit League),1.95,,,,
Eastern Wash. (Big Sky),1.95,,,,
FDU (NEC),1.94,,,,
CSU Bakersfield (Big West),1.94,,,,
SIUE (OVC),1.94,,,,
Harvard (Ivy League),1.94,,,,
Cincinnati (AAC),1.94,,,,
Portland (WCC),1.94,,,,
New Orleans (Southland),1.93,,,,
Saint Mary's (CA) (WCC),1.93,,,,
South Fla. (AAC),1.92,,,,
Bradley (MVC),1.92,,,,
Morehead St. (OVC),1.92,,,,
San Diego St. (Mountain West),1.92,,,,
Bucknell (Patriot),1.90,,,,
DePaul (Big East),1.90,,,,
North Dakota St. (Summit League),1.89,,,,
Stetson (ASUN),1.87,,,,
Seton Hall (Big East),1.87,,,,
Rice (C-USA),1.86,,,,
Grand Canyon (WAC),1.86,,,,
North Dakota (Summit League),1.86,,,,
Temple (AAC),1.86,,,,
Lipscomb (ASUN),1.85,,,,
Jacksonville St. (ASUN),1.85,,,,
UNC Greensboro (SoCon),1.84,,,,
George Mason (Atlantic 10),1.83,,,,
Marist (MAAC),1.83,,,,
Grambling (SWAC),1.83,,,,
Saint Louis (Atlantic 10),1.83,,,,
Iowa (Big Ten),1.82,,,,
Yale (Ivy League),1.82,,,,
Eastern Ky. (ASUN),1.81,,,,
Coppin St. (MEAC),1.81,,,,
Illinois St. (MVC),1.81,,,,
High Point (Big South),1.81,,,,
Belmont (MVC),1.81,,,,
Northern Ariz. (Big Sky),1.80,,,,
Norfolk St. (MEAC),1.80,,,,
Delaware (CAA),1.80,,,,
Southern Utah (WAC),1.80,,,,
Gonzaga (WCC),1.79,,,,
Washington (Pac-12),1.79,,,,
Xavier (Big East),1.79,,,,
Ball St. (MAC),1.79,,,,
Cornell (Ivy League),1.78,,,,
Purdue Fort Wayne (Horizon),1.78,,,,
Mississippi St. (SEC),1.77,,,,
UIW (Southland),1.75,,,,
UTSA (C-USA),1.75,,,,
IUPUI (Horizon),1.75,,,,
Florida A&M (SWAC),1.74,,,,
Stony Brook (CAA),1.74,,,,
Kansas City (Summit League),1.73,,,,
Samford (SoCon),1.73,,,,
Howard (MEAC),1.73,,,,
Evansville (MVC),1.72,,,,
Santa Clara (WCC),1.71,,,,
Youngstown St. (Horizon),1.71,,,,
Cal St. Fullerton (Big West),1.71,,,,
Villanova (Big East),1.71,,,,
UNC Asheville (Big South),1.71,,,,
Clemson (ACC),1.70,,,,
Portland St. (Big Sky),1.70,,,,
Canisius (MAAC),1.70,,,,
Siena (MAAC),1.70,,,,
Providence (Big East),1.69,,,,
Troy (Sun Belt),1.69,,,,
UMES (MEAC),1.69,,,,
Southern Miss. (Sun Belt),1.68,,,,
Radford (Big South),1.68,,,,
Rhode Island (Atlantic 10),1.67,,,,
UAlbany (America East),1.67,,,,
Ark.-Pine Bluff (SWAC),1.65,,,,
Murray St. (MVC),1.65,,,,
FIU (C-USA),1.65,,,,
Mercer (SoCon),1.64,,,,
Gardner-Webb (Big South),1.64,,,,
Central Ark. (ASUN),1.63,,,,
Arkansas St. (Sun Belt),1.63,,,,
Hampton (CAA),1.62,,,,
Quinnipiac (MAAC),1.61,,,,
The Citadel (SoCon),1.61,,,,
Charleston So. (Big South),1.60,,,,
Eastern Ill. (OVC),1.58,,,,
Akron (MAC),1.57,,,,
Abilene Christian (WAC),1.56,,,,
Morgan St. (MEAC),1.55,,,,
Oakland (Horizon),1.54,,,,
Ohio (MAC),1.54,,,,
Holy Cross (Patriot),1.53,,,,
Jackson St. (SWAC),1.51,,,,
Saint Peter's (MAAC),1.50,,,,
Rider (MAAC),1.50,,,,
Loyola Maryland (Patriot),1.49,,,,
Presbyterian (Big South),1.47,,,,
A&M-Corpus Christi (Southland),1.46,,,,
Miami (OH) (MAC),1.43,,,,
Texas Southern (SWAC),1.42,,,,
Alabama A&M (SWAC),1.41,,,,
Western Mich. (MAC),1.40,,,,
Tulane (AAC),1.39,,,,
ULM (Sun Belt),1.39,,,,
Southern Ill. (MVC),1.36,,,,
Prairie View (SWAC),1.36,,,,
UC Riverside (Big West),1.35,,,,
Saint Francis (PA) (NEC),1.35,,,,
Western Ill. (Summit League),1.35,,,,
Tulsa (AAC),1.34,,,,
N.C. Central (MEAC),1.34,,,,
Lafayette (Patriot),1.31,,,,
Penn (Ivy League),1.29,,,,
Robert Morris (Horizon),1.28,,,,
Alcorn (SWAC),1.16,,,,
Pacific (WCC),1.14,,,,
Hartford (),1.12,,,,
South Carolina St. (MEAC),1.11,,,,
Manhattan (MAAC),0.79,,,,
Mississippi Val. (SWAC),0.60,,,,
