Rank,Prev,Name,PDGA #,Country,WRPR,RR,Worlds,USDGC,Euro,NET,DGPT,Points
82,-,Bo Tillman,46480,US,1014,21.5,·,·,·,·,·,29.5
82,-,Aaron Doyle,32750,US,1014,21.5,·,·,·,·,·,29.5
82,-,Miles Seaborn,29264,US,1014,21.5,·,·,·,·,·,29.5
82,-,Øyvind Jarnes,41884,NO,1003,27,·,·,18,·,·,29.5
86,80,A.J. Risley,25890,US,1014,21.5,72,112,·,23,18,29.6
87,-,Samuel Stenman,74978,FI,1004,26.5,·,·,22,·,·,29.8
88,-,Lauri Lehtinen,82297,FI,1015,21,·,·,52,·,·,30.2
88,-,Silver Lätt,61186,EE,1010,23.5,66,58,50,2.7,·,30.2
90,-,Kristian Kuoksa,107078,FI,1002,27.5,·,·,21,·,·,30.4
91,-,Christian Dietrich,27984,US,1012,22.5,·,·,·,·,·,30.5
91,-,Joey Lutz,45887,US,1012,22.5,·,·,·,·,·,30.5
91,89,Jeff Faes,33661,US,1012,22.5,·,·,·,·,·,30.5
91,-,Kenny Clark,39829,US,1012,22.5,·,·,·,·,·,30.5
91,-,Chris Nelson,78697,US,1012,22.5,·,·,·,·,·,30.5
96,49,Noah Meintsma,56555,US,1013,22,57,87,·,36.5,24.5,30.7
97,-,Nolan Grider,13219,US,1016,20.5,·,58,·,·,·,30.8
97,-,Thomas Gilbert,85850,CA,1012,22.5,94,73,·,22,22.3,30.8
99,-,Paul Oman,34344,US,1013,22,66,·,·,·,31.5,30.9
100,-,Kyle Eckmann,47892,US,1011,23,·,·,·,·,·,31
100,-,Mike Moser,5557,US,1011,23,·,·,·,·,·,31
100,-,Randon Latta,51685,US,1011,23,·,·,·,·,·,31
100,-,Justin Bilodeau,45478,US,1007,25,·,·,·,·,37,31
104,-,Martin Hendel,39469,CA,1018,19.5,42,64,·,·,22,31.1
105,-,Mikael Häme,64889,FI,1014,21.5,72,·,30,·,·,31.3
105,-,Håkon Kveseth,74569,NO,1005,26,·,·,34,·,·,31.3
107,-,Nicholas Rowton,34180,US,1010,23.5,·,·,·,·,·,31.5
107,-,Nathan Ryan,61945,US,1010,23.5,·,·,·,·,·,31.5
107,-,Coda Hatfield,23651,US,1010,23.5,·,·,·,·,·,31.5
107,-,Colten Montgomery,35876,US,1009,24,89,63,33,24,20.8,31.5
111,-,Matt Dollar,26045,US,1005,26,70,42,·,34.5,34.8,31.6
112,56,Grady Shue,68285,US,1008,24.5,110,70,·,27.8,19,31.7
113,-,Emile Barbe,57366,CH,1008,24.5,·,·,45,·,·,31.9
113,-,Brad Schick,7992,US,1010,23.5,·,50,·,·,·,31.9
115,-,Kris Orrick,20020,US,1009,24,·,·,·,·,·,32
115,-,Brandon Brown,87673,US,1004,26.5,·,·,·,·,35.3,32
117,-,Sylvain Gouge,8431,FR,1005,26,·,·,39,·,·,32.2
118,-,Max Nichols,21870,US,1007,25,·,·,·,·,44.8,32.3
119,-,Cody Bradshaw,58007,US,1008,24.5,·,·,·,·,·,32.5
119,-,Thomas Earhart,54106,US,1009,24,51,·,·,·,·,32.5
121,-,Samuel Hänninen,87964,FI,1004,26.5,·,·,39,·,·,32.6
122,-,Teemu Nissinen,39696,FI,1005,26,·,·,42,·,·,32.7
123,-,Trevor Harbolt,26860,US,1004,26.5,73,·,·,·,17.5,32.8
123,-,Edward Ward,62387,US,1006,25.5,47,·,·,·,47.8,32.8
125,-,Jake Lauber,44782,US,1008,24.5,51,·,·,·,·,32.9
125,-,Sias Elmore,57425,US,1014,21.5,57,95,·,39,36.8,32.9
127,-,Ron Convers,9648,US,1007,25,·,·,·,·,·,33
127,-,Alex Geisinger,52063,US,1007,25,·,·,·,·,·,33
127,-,Kevin Gleason,19195,US,1007,25,·,·,·,·,·,33
127,-,Jeremy Novak,68696,US,1007,25,·,·,·,·,·,33
127,-,Austin Hoop,72423,US,1007,25,·,·,·,·,·,33
127,-,Dustin Keegan,35187,US,1021,18,75,38,·,·,31,33
133,-,Mason Ford,72844,US,1016,20.5,72,·,·,·,·,33.1
134,-,Joona Heinänen,58926,FI,1001,28,·,·,35,·,·,33.2
135,-,Peter McBride,34463,US,1006,25.5,50,53,·,26.5,46.5,33.3
136,-,Chris Smith,19983,US,1006,25.5,·,·,·,·,·,33.5
136,-,Mike Carman,48559,US,1006,25.5,·,·,·,·,·,33.5
136,-,Chandler Fry,25541,US,1013,22,89,·,·,·,24,33.5
139,-,Carl Ulvinen,59092,SE,1002,27.5,·,·,40,·,·,33.6
140,-,Dallin Blanchard,72707,US,1014,21.5,·,71,·,·,·,33.8
140,-,Jooa Saari,79887,FI,1001,28,·,·,39,·,·,33.8
142,-,Craig Cutler,20671,US,1005,26,·,·,·,·,·,34
142,-,Robert Nichols,34319,US,1005,26,·,·,·,·,·,34
142,-,Marshall Blanks,56886,US,1005,26,·,·,·,·,·,34
142,-,Gary Costa,10298,US,1005,26,·,·,·,·,·,34
142,-,Devin Frederick,16287,US,1005,26,·,·,·,·,·,34
142,-,Andrew Brown,89148,US,1005,26,·,·,·,·,·,34
142,-,Dion Arlyn,24781,US,1005,26,·,·,·,·,·,34
149,-,Tuomas Autio,71845,FI,1003,27,·,·,47,·,·,34.3
150,-,Joshua Patin,56037,US,1004,26.5,·,·,·,·,·,34.5
150,-,Jamie Kiep,68815,US,1004,26.5,·,·,·,·,·,34.5
150,-,Brett Stetson,79063,US,1004,26.5,·,·,·,·,·,34.5
150,-,Ryan Sheldon,87836,US,1004,26.5,·,·,·,·,·,34.5
150,-,Bryson James,56345,US,1004,26.5,·,·,·,·,·,34.5
155,-,Keith Warren,13610,US,1003,27,·,·,·,·,·,35
155,-,Andrew Schultz,32001,US,1003,27,·,·,·,·,·,35
155,-,Chris Eads,34491,US,1003,27,·,·,·,·,·,35
155,-,Gavin Rathbun,60436,US,1003,27,·,·,·,·,·,35
155,-,Luis Nava,50383,US,1003,27,·,·,·,·,·,35
155,-,Jeremy Herr,56486,US,1003,27,·,·,·,·,·,35
