X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
,,,,,,,,,,,,,,
Event,Layout,Hole #,Length,CiRDS,Avg,Hole Par,Avg to Par,uP %,Par %,oP %,Times Played,# uPar,# Pars,# oPar
Dynamic Discs Open,Supreme 18 - 2022 MPO,2,1087,351.3,5.40,5,0.40,9.78,53.78,36.44,225,22,121,82
Dynamic Discs Open,ECC - 2022 MPO,7,678,322.5,4.40,4,0.40,14.19,47.10,38.71,155,22,73,60
Discraft Ledgestone Open,Northwood Black,9,732,349.5,4.40,4,0.40,8.93,51.55,39.52,291,26,150,115
Discraft Ledgestone Open,Eureka Temp,14,850,408.5,4.38,4,0.38,16.75,46.41,36.84,209,35,97,77
Discraft Ledgestone Open,Northwood Black,18,703,335.0,4.38,4,0.38,8.93,55.33,35.74,291,26,161,104
Dynamic Discs Open,Supreme 18 - 2022 MPO,17,710,338.5,4.38,4,0.38,19.64,35.27,45.09,224,44,79,101
Jonesboro Open,MPO,5,495,462.0,3.37,3,0.37,8.31,55.87,35.82,349,29,195,125
Jonesboro Open,MPO,14,520,487.0,3.37,3,0.37,6.59,57.88,35.53,349,23,202,124
Dynamic Discs Open,Supreme 18 - 2022 MPO,11,493,460.0,3.37,3,0.37,8.04,57.59,34.38,224,18,129,77
LWS Open at Idlewild,LWS Open 2022 MPO,18,650,308.5,4.37,4,0.37,12.98,47.37,39.65,285,37,135,113
Discraft Ledgestone Open,Northwood Black,13,653,310.0,4.36,4,0.36,15.46,47.42,37.11,291,45,138,108
Green Mountain Championship,DGPT Playoffs - Fox Run MPO,5,445,412.0,3.36,3,0.36,16.79,41.98,41.22,131,22,55,54
PDGA Professional Disc Golf World Championships,Jones MPO,17,710,338.5,4.36,4,0.36,13.46,48.32,38.22,416,56,201,159
Dynamic Discs Open,ECC - 2022 MPO,3,466,433.0,3.35,3,0.35,4.52,64.52,30.97,155,7,100,48
Dynamic Discs Open,ECC - 2022 MPO,8,994,320.3,5.35,5,0.35,23.23,38.06,38.71,155,36,59,60
United States Disc Golf Championship,USDGC-Rd1&4,3,841,404.0,4.35,4,0.35,2.60,67.71,29.69,192,5,130,57
