Bib,Name,Country,Gender,Division,Division.Rank,Overall.Time,Overall.Rank,Swim.Time,Swim.Rank,Bike.Time,Bike.Rank,Run.Time,Run.Rank,Finish.Status,Location,Year
332,Rebecca Keenan,United States,Female,F45-49,9,730.2666667,359,56.3,44,395.65,832,268.8166667,384,Finisher,LakePlacid,2019
1438,Ruth Brediger,United States,Female,F55-59,32,976.9666667,1892,93.51666667,1914,500.3,2033,365.1333333,1773,Finisher,LakePlacid,2018
687,Ruth Brediger,United States,Female,F55-59,34,992.2,1960,100.8166667,2146,479.8833333,1929,395.2,1922,Finisher,LakePlacid,2019
948,Sarah Thompson,United States,Female,F25-29,25,902.9333333,1519,65.81666667,219,467.9166667,1704,356.0833333,1675,Finisher,LakePlacid,2018
832,Sarah Thompson,United States,Female,F25-29,32,910.7166667,1540,65.76666667,259,440.7833333,1517,392.6666667,1901,Finisher,LakePlacid,2019
381,Sayer Gunn,United States,Female,F40-44,34,822.9166667,971,80.28333333,1198,433.45,1255,295.6,862,Finisher,LakePlacid,2018
320,Sayer Gunn,United States,Female,F40-44,19,774.25,612,81.13333333,1274,399.8,903,280.75,520,Finisher,LakePlacid,2019
1320,Sharon Perl-olshvang,United States,Female,F45-49,27,822.9833333,972,63.83333333,147,441.8833333,1380,301.95,955,Finisher,LakePlacid,2018
518,Sharon Perl-Olshvang,United States Minor Outlying Islands,Female,F45-49,27,846.5833333,1127,64.9,222,438.5166667,1485,334,1252,Finisher,LakePlacid,2019
1306,Susan Miller,United States,Female,F45-49,60,894.6833333,1469,98.95,2066,446.6166667,1445,333.65,1411,Finisher,LakePlacid,2018
335,Susan Miller,United States,Female,F45-49,39,868.3666667,1266,98.18333333,2087,410.75,1107,344.4,1386,Finisher,LakePlacid,2019
1343,Suzanne Yerina,United States,Female,F45-49,82,957.5,1796,82.58333333,1355,496.5333333,2004,361.5833333,1727,Finisher,LakePlacid,2018
1294,Suzanne Yerina,United States,Female,F50-54,47,932.6166667,1654,83.85,1465,490.8666667,2003,339.2666667,1328,Finisher,LakePlacid,2019
389,Tina Kader,Canada,Female,F55-59,3,755.75,487,74.16666667,704,421.7166667,1063,244.5666667,228,Finisher,LakePlacid,2018
234,Tina Kader,Canada,Female,F55-59,1,698.8,221,74.98333333,805,372.8666667,475,239.95,152,Finisher,LakePlacid,2019
1001,Vanessa Snyder,United States,Female,F30-34,50,902.7166667,1517,83.33333333,1401,488.2166667,1935,310.6333333,1086,Finisher,LakePlacid,2018
890,Vanessa Snyder,United States,Female,F30-34,46,835.8166667,1067,82.93333333,1407,436.5,1458,302.1166667,810,Finisher,LakePlacid,2019
1040,Vicki Findley,Canada,Female,F35-39,21,784.65,695,89.88333333,1751,410.6166667,886,271.0833333,502,Finisher,LakePlacid,2018
929,Vicki Findley,Canada,Female,F35-39,19,798.05,786,96.4,2046,401.0833333,935,289.9333333,657,Finisher,LakePlacid,2019
641,Wendie Bishop,United States,Female,F45-49,42,863.1,1272,83.61666667,1419,436.45,1294,327.4166667,1333,Finisher,LakePlacid,2018
519,Wendie Bishop,United States,Female,F50-54,30,846.8333333,1129,84.3,1490,421.7666667,1263,323.3833333,1098,Finisher,LakePlacid,2019
