Team,kills_per_set,,,
Tennessee St. (OVC),12.38,,,
Binghamton (America East),12.36,,,
Tulane (AAC),12.36,,,
Iona (MAAC),12.34,,,
Auburn (SEC),12.34,,,
Eastern Ky. (ASUN),12.32,,,
Alabama (SEC),12.32,,,
Kansas City (Summit League),12.31,,,
Santa Clara (WCC),12.30,,,
McNeese (Southland),12.28,,,
UT Arlington (WAC),12.28,,,
Iowa (Big Ten),12.27,,,
Abilene Christian (WAC),12.27,,,
Weber St. (Big Sky),12.27,,,
SIUE (OVC),12.26,,,
South Carolina (SEC),12.26,,,
Louisiana (Sun Belt),12.25,,,
UTEP (C-USA),12.24,,,
Syracuse (ACC),12.23,,,
New Mexico (Mountain West),12.23,,,
Middle Tenn. (C-USA),12.22,,,
Oregon St. (Pac-12),12.21,,,
North Florida (ASUN),12.21,,,
Indiana (Big Ten),12.19,,,
Canisius (MAAC),12.18,,,
Nicholls (Southland),12.18,,,
Butler (Big East),12.18,,,
Marshall (Sun Belt),12.18,,,
Northeastern (CAA),12.16,,,
Memphis (AAC),12.15,,,
Michigan St. (Big Ten),12.15,,,
Lamar University (Southland),12.14,,,
Tennessee Tech (OVC),12.14,,,
Cincinnati (AAC),12.13,,,
Siena (MAAC),12.13,,,
Ga. Southern (Sun Belt),12.13,,,
Delaware St. (MEAC),12.12,,,
UAlbany (America East),12.11,,,
Wyoming (Mountain West),12.10,,,
Southern Utah (WAC),12.10,,,
App State (Sun Belt),12.09,,,
Chicago St. (DI Independent),12.07,,,
Chattanooga (SoCon),12.07,,,
Arizona St. (Pac-12),12.06,,,
Cornell (Ivy League),12.06,,,
Old Dominion (Sun Belt),12.03,,,
Missouri St. (MVC),12.02,,,
Montana St. (Big Sky),12.02,,,
Air Force (Mountain West),12.01,,,
Central Conn. St. (NEC),12.00,,,
Virginia (ACC),12.00,,,
FIU (C-USA),11.99,,,
Grambling (SWAC),11.98,,,
VCU (Atlantic 10),11.98,,,
Bradley (MVC),11.98,,,
Seton Hall (Big East),11.96,,,
Bucknell (Patriot),11.96,,,
Mercer (SoCon),11.95,,,
Arkansas St. (Sun Belt),11.95,,,
Elon (CAA),11.94,,,
American (Patriot),11.93,,,
Lafayette (Patriot),11.93,,,
George Washington (Atlantic 10),11.92,,,
Cal St. Fullerton (Big West),11.92,,,
Eastern Wash. (Big Sky),11.89,,,
Sacramento St. (Big Sky),11.88,,,
San Francisco (WCC),11.86,,,
Virginia Tech (ACC),11.83,,,
Akron (MAC),11.82,,,
Furman (SoCon),11.82,,,
Oakland (Horizon),11.81,,,
Oral Roberts (Summit League),11.79,,,
UTSA (C-USA),11.78,,,
Belmont (MVC),11.78,,,
Villanova (Big East),11.78,,,
UC Davis (Big West),11.76,,,
Georgia St. (Sun Belt),11.76,,,
Rider (MAAC),11.75,,,
Gardner-Webb (Big South),11.75,,,
UIW (Southland),11.74,,,
Providence (Big East),11.74,,,
IUPUI (Horizon),11.73,,,
North Dakota (Summit League),11.72,,,
Fresno St. (Mountain West),11.71,,,
Temple (AAC),11.70,,,
St. Francis Brooklyn (NEC),11.69,,,
LIU (NEC),11.65,,,
Radford (Big South),11.64,,,
FDU (NEC),11.63,,,
New Hampshire (America East),11.62,,,
East Carolina (AAC),11.61,,,
George Mason (Atlantic 10),11.60,,,
Jacksonville (ASUN),11.59,,,
Alabama St. (SWAC),11.59,,,
Saint Mary's (CA) (WCC),11.58,,,
Coppin St. (MEAC),11.54,,,
Sam Houston (WAC),11.53,,,
Notre Dame (ACC),11.52,,,
Presbyterian (Big South),11.51,,,
Niagara (MAAC),11.48,,,
Idaho St. (Big Sky),11.48,,,
Portland (WCC),11.47,,,
UNC Greensboro (SoCon),11.45,,,
Maryland (Big Ten),11.45,,,
California (Pac-12),11.44,,,
Northern Ariz. (Big Sky),11.42,,,
Duquesne (Atlantic 10),11.40,,,
Nevada (Mountain West),11.39,,,
CSUN (Big West),11.39,,,
Indiana St. (MVC),11.31,,,
New Orleans (Southland),11.31,,,
Columbia (Ivy League),11.29,,,
Miami (OH) (MAC),11.29,,,
Eastern Mich. (MAC),11.27,,,
Cleveland St. (Horizon),11.26,,,
ULM (Sun Belt),11.25,,,
N.C. A&T (CAA),11.21,,,
Lehigh (Patriot),11.21,,,
Northwestern St. (Southland),11.19,,,
Louisiana Tech (C-USA),11.17,,,
CSU Bakersfield (Big West),11.15,,,
UC Riverside (Big West),11.14,,,
West Virginia (Big 12),11.09,,,
UMES (MEAC),11.09,,,
Harvard (Ivy League),11.06,,,
North Ala. (ASUN),11.06,,,
Robert Morris (Horizon),11.04,,,
Idaho (Big Sky),11.04,,,
Penn (Ivy League),11.01,,,
NJIT (America East),10.99,,,
USC Upstate (Big South),10.96,,,
Seattle U (WAC),10.94,,,
UNCW (CAA),10.82,,,
Ark.-Pine Bluff (SWAC),10.78,,,
Little Rock (OVC),10.77,,,
Rutgers (Big Ten),10.76,,,
Prairie View (SWAC),10.67,,,
Western Ill. (Summit League),10.36,,,
Georgetown (Big East),10.28,,,
UNC Asheville (Big South),10.25,,,
Hampton (CAA),10.22,,,
Norfolk St. (MEAC),10.17,,,
Rhode Island (Atlantic 10),10.12,,,
Bethune-Cookman (SWAC),10.02,,,
Gonzaga (WCC),9.85,,,
Holy Cross (Patriot),9.76,,,
N.C. Central (MEAC),9.52,,,
Alabama A&M (SWAC),9.36,,,
Texas Southern (SWAC),9.24,,,
Morgan St. (MEAC),9.22,,,
Southern U. (SWAC),8.96,,,
Alcorn (SWAC),8.77,,,
Saint Peter's (MAAC),8.66,,,
Hartford (),8.59,,,
Manhattan (MAAC),8.10,,,
Mississippi Val. (SWAC),5.55,,,
South Carolina St. (MEAC),4.92,,,
