Team,hitting_pctg,,,,,
Rutgers (Big Ten),0.164,,,,,
Presbyterian (Big South),0.164,,,,,
UAlbany (America East),0.163,,,,,
IUPUI (Horizon),0.162,,,,,
Gonzaga (WCC),0.161,,,,,
Indiana St. (MVC),0.161,,,,,
Niagara (MAAC),0.161,,,,,
NJIT (America East),0.158,,,,,
Norfolk St. (MEAC),0.158,,,,,
Robert Morris (Horizon),0.156,,,,,
Bethune-Cookman (SWAC),0.156,,,,,
Penn (Ivy League),0.154,,,,,
UNC Greensboro (SoCon),0.154,,,,,
USC Upstate (Big South),0.154,,,,,
Georgetown (Big East),0.153,,,,,
Akron (MAC),0.153,,,,,
UNCW (CAA),0.153,,,,,
Ark.-Pine Bluff (SWAC),0.151,,,,,
N.C. Central (MEAC),0.147,,,,,
Radford (Big South),0.146,,,,,
UC Riverside (Big West),0.146,,,,,
UNC Asheville (Big South),0.143,,,,,
Little Rock (OVC),0.139,,,,,
Prairie View (SWAC),0.134,,,,,
Hampton (CAA),0.133,,,,,
Rhode Island (Atlantic 10),0.132,,,,,
West Virginia (Big 12),0.127,,,,,
Alabama A&M (SWAC),0.123,,,,,
Western Ill. (Summit League),0.123,,,,,
Holy Cross (Patriot),0.111,,,,,
Texas Southern (SWAC),0.109,,,,,
Morgan St. (MEAC),0.106,,,,,
Saint Peter's (MAAC),0.102,,,,,
Southern U. (SWAC),0.098,,,,,
Alcorn (SWAC),0.096,,,,,
Manhattan (MAAC),0.085,,,,,
Hartford (),0.079,,,,,
