Team,assists_per_set,,,
UTEP (C-USA),11.46,,,
South Carolina (SEC),11.46,,,
SIUE (OVC),11.46,,,
Kansas City (Summit League),11.45,,,
Delaware St. (MEAC),11.45,,,
South Fla. (AAC),11.44,,,
Kansas St. (Big 12),11.44,,,
Wichita St. (AAC),11.43,,,
Auburn (SEC),11.42,,,
Binghamton (America East),11.41,,,
Quinnipiac (MAAC),11.41,,,
Northeastern (CAA),11.40,,,
Bryant (America East),11.36,,,
Chicago St. (DI Independent),11.33,,,
Syracuse (ACC),11.33,,,
Missouri St. (MVC),11.32,,,
Weber St. (Big Sky),11.32,,,
Central Conn. St. (NEC),11.32,,,
Nicholls (Southland),11.31,,,
Missouri (SEC),11.30,,,
Canisius (MAAC),11.30,,,
Tennessee St. (OVC),11.29,,,
The Citadel (SoCon),11.29,,,
Ga. Southern (Sun Belt),11.28,,,
Alabama (SEC),11.28,,,
New Mexico (Mountain West),11.26,,,
Arizona (Pac-12),11.26,,,
Bradley (MVC),11.26,,,
Eastern Ky. (ASUN),11.26,,,
North Florida (ASUN),11.25,,,
McNeese (Southland),11.24,,,
App State (Sun Belt),11.24,,,
Air Force (Mountain West),11.23,,,
Siena (MAAC),11.22,,,
UIW (Southland),11.21,,,
Michigan St. (Big Ten),11.19,,,
Middle Tenn. (C-USA),11.19,,,
Marshall (Sun Belt),11.18,,,
Bucknell (Patriot),11.16,,,
Tulane (AAC),11.15,,,
Wyoming (Mountain West),11.14,,,
Iowa (Big Ten),11.14,,,
Lamar University (Southland),11.12,,,
VCU (Atlantic 10),11.11,,,
Montana St. (Big Sky),11.11,,,
Arizona St. (Pac-12),11.10,,,
Old Dominion (Sun Belt),11.10,,,
Memphis (AAC),11.10,,,
George Washington (Atlantic 10),11.09,,,
Eastern Wash. (Big Sky),11.08,,,
Virginia (ACC),11.07,,,
Arkansas St. (Sun Belt),11.07,,,
Oakland (Horizon),11.05,,,
Elon (CAA),11.05,,,
UT Arlington (WAC),11.04,,,
Lafayette (Patriot),11.01,,,
Akron (MAC),11.01,,,
FIU (C-USA),11.01,,,
Indiana (Big Ten),11.01,,,
Temple (AAC),10.99,,,
Rider (MAAC),10.98,,,
Butler (Big East),10.97,,,
Belmont (MVC),10.97,,,
Seton Hall (Big East),10.96,,,
Grambling (SWAC),10.93,,,
Virginia Tech (ACC),10.93,,,
Furman (SoCon),10.92,,,
Radford (Big South),10.91,,,
George Mason (Atlantic 10),10.90,,,
Saint Mary's (CA) (WCC),10.89,,,
Georgia St. (Sun Belt),10.89,,,
UTSA (C-USA),10.89,,,
Jacksonville (ASUN),10.88,,,
Cornell (Ivy League),10.87,,,
California (Pac-12),10.87,,,
Gardner-Webb (Big South),10.86,,,
Chattanooga (SoCon),10.85,,,
Sacramento St. (Big Sky),10.82,,,
LIU (NEC),10.82,,,
FDU (NEC),10.81,,,
American (Patriot),10.80,,,
IUPUI (Horizon),10.80,,,
Oral Roberts (Summit League),10.80,,,
Providence (Big East),10.78,,,
North Dakota (Summit League),10.76,,,
Fresno St. (Mountain West),10.74,,,
Duquesne (Atlantic 10),10.73,,,
Niagara (MAAC),10.72,,,
Mercer (SoCon),10.71,,,
Sam Houston (WAC),10.71,,,
St. Francis Brooklyn (NEC),10.70,,,
Alabama St. (SWAC),10.69,,,
East Carolina (AAC),10.69,,,
Idaho St. (Big Sky),10.68,,,
Notre Dame (ACC),10.68,,,
San Francisco (WCC),10.65,,,
Columbia (Ivy League),10.64,,,
CSUN (Big West),10.63,,,
UC Davis (Big West),10.61,,,
Presbyterian (Big South),10.59,,,
Cal St. Fullerton (Big West),10.56,,,
Coppin St. (MEAC),10.56,,,
Miami (OH) (MAC),10.55,,,
Northern Ariz. (Big Sky),10.54,,,
Southern Utah (WAC),10.54,,,
New Orleans (Southland),10.53,,,
Portland (WCC),10.51,,,
Nevada (Mountain West),10.51,,,
Villanova (Big East),10.49,,,
N.C. A&T (CAA),10.49,,,
UNC Greensboro (SoCon),10.47,,,
North Ala. (ASUN),10.46,,,
New Hampshire (America East),10.45,,,
ULM (Sun Belt),10.45,,,
Penn (Ivy League),10.40,,,
Eastern Mich. (MAC),10.40,,,
Indiana St. (MVC),10.37,,,
Maryland (Big Ten),10.34,,,
NJIT (America East),10.27,,,
CSU Bakersfield (Big West),10.25,,,
Harvard (Ivy League),10.25,,,
Idaho (Big Sky),10.22,,,
Robert Morris (Horizon),10.22,,,
West Virginia (Big 12),10.20,,,
Louisiana Tech (C-USA),10.17,,,
UC Riverside (Big West),10.13,,,
Northwestern St. (Southland),10.11,,,
Cleveland St. (Horizon),10.10,,,
Lehigh (Patriot),10.09,,,
UMES (MEAC),10.09,,,
Little Rock (OVC),10.08,,,
USC Upstate (Big South),10.03,,,
Rutgers (Big Ten),10.00,,,
UNCW (CAA),9.99,,,
Seattle U (WAC),9.87,,,
Prairie View (SWAC),9.81,,,
Ark.-Pine Bluff (SWAC),9.79,,,
Western Ill. (Summit League),9.60,,,
Georgetown (Big East),9.56,,,
UNC Asheville (Big South),9.45,,,
Norfolk St. (MEAC),9.37,,,
Rhode Island (Atlantic 10),9.36,,,
Bethune-Cookman (SWAC),9.12,,,
Hampton (CAA),9.04,,,
Gonzaga (WCC),8.93,,,
Holy Cross (Patriot),8.87,,,
N.C. Central (MEAC),8.73,,,
Alabama A&M (SWAC),8.59,,,
Morgan St. (MEAC),8.37,,,
Texas Southern (SWAC),8.28,,,
Alcorn (SWAC),8.01,,,
Southern U. (SWAC),7.96,,,
Saint Peter's (MAAC),7.85,,,
Hartford (),7.62,,,
Manhattan (MAAC),7.52,,,
Mississippi Val. (SWAC),4.95,,,
South Carolina St. (MEAC),4.44,,,
