Team,opp_hitting_pctg,,,,
Texas Tech (Big 12),0.206,,,,
Chicago St. (DI Independent),0.206,,,,
N.C. A&T (CAA),0.206,,,,
James Madison (Sun Belt),0.207,,,,
LSU (SEC),0.207,,,,
Norfolk St. (MEAC),0.207,,,,
Eastern Ill. (OVC),0.207,,,,
UNCW (CAA),0.207,,,,
UC Davis (Big West),0.207,,,,
SIUE (OVC),0.208,,,,
Jacksonville (ASUN),0.208,,,,
North Texas (C-USA),0.208,,,,
William & Mary (CAA),0.208,,,,
St. Francis Brooklyn (NEC),0.209,,,,
USC Upstate (Big South),0.209,,,,
Northwestern (Big Ten),0.209,,,,
North Carolina (ACC),0.209,,,,
Michigan St. (Big Ten),0.21,,,,
The Citadel (SoCon),0.21,,,,
Washington St. (Pac-12),0.21,,,,
UConn (Big East),0.21,,,,
Kentucky (SEC),0.21,,,,
Prairie View (SWAC),0.21,,,,
San Jose St. (Mountain West),0.21,,,,
Morehead St. (OVC),0.21,,,,
Georgia St. (Sun Belt),0.21,,,,
UNC Greensboro (SoCon),0.21,,,,
Seton Hall (Big East),0.21,,,,
Charleston So. (Big South),0.211,,,,
Pacific (WCC),0.211,,,,
Oklahoma (Big 12),0.211,,,,
Fordham (Atlantic 10),0.211,,,,
North Dakota St. (Summit League),0.211,,,,
Sacred Heart (NEC),0.211,,,,
Wyoming (Mountain West),0.212,,,,
UAB (C-USA),0.212,,,,
Illinois (Big Ten),0.212,,,,
Kent St. (MAC),0.213,,,,
Chattanooga (SoCon),0.213,,,,
Fla. Atlantic (C-USA),0.213,,,,
Troy (Sun Belt),0.214,,,,
Providence (Big East),0.214,,,,
Mississippi St. (SEC),0.214,,,,
Youngstown St. (Horizon),0.215,,,,
TCU (Big 12),0.215,,,,
Texas St. (Sun Belt),0.215,,,,
North Dakota (Summit League),0.216,,,,
Louisiana Tech (C-USA),0.216,,,,
Central Ark. (ASUN),0.216,,,,
Lamar University (Southland),0.217,,,,
Kennesaw St. (ASUN),0.217,,,,
Rider (MAAC),0.217,,,,
Purdue Fort Wayne (Horizon),0.217,,,,
Gardner-Webb (Big South),0.217,,,,
Wake Forest (ACC),0.217,,,,
St. John's (NY) (Big East),0.218,,,,
Notre Dame (ACC),0.218,,,,
Illinois St. (MVC),0.219,,,,
Furman (SoCon),0.219,,,,
Virginia Tech (ACC),0.22,,,,
South Carolina (SEC),0.22,,,,
Western Mich. (MAC),0.221,,,,
Missouri St. (MVC),0.221,,,,
George Mason (Atlantic 10),0.221,,,,
Alabama (SEC),0.222,,,,
Oral Roberts (Summit League),0.222,,,,
