Rank,Rikishi,Heya,Shusshin,Birth Date,Height/Weight,Result
Y1e,Terunofuji,Isegahama,Mongolia,29.11.1991,191 cm 173 kg,0-0-15
O1e,Takakeisho,Tokiwayama,Hyogo,05.08.1996,175 cm 183 kg,12-3 D
O1w,Shodai,Tokitsukaze,Kumamoto,05.11.1991,184 cm 170 kg,6-9
S1e,Wakatakakage,Arashio,Fukushima,06.12.1994,180 cm 129 kg,8-7
S1w,Hoshoryu,Tatsunami,Mongolia,22.05.1999,186 cm 131 kg,11-4 G
S2w,Mitakeumi,Dewanoumi,Nagano,25.12.1992,179 cm 172 kg,6-9
K1e,Tamawashi,Kataonami,Mongolia,16.11.1984,189 cm 168 kg,6-9
K1w,Kiribayama,Michinoku,Mongolia,24.04.1996,187 cm 138 kg,8-7
K2e,Tobizaru,Oitekaze,Tokyo,24.04.1992,175 cm 131 kg,7-8
K2w,Daieisho,Oitekaze,Saitama,10.11.1993,182 cm 161 kg,7-8
M1e,Takayasu,Tagonoura,Ibaraki,28.02.1990,187 cm 175 kg,12-3 DS
M1w,Kotonowaka,Sadogatake,Chiba,19.11.1997,188 cm 166 kg,9-6
M2e,Meisei,Tatsunami,Kagoshima,24.07.1995,180 cm 151 kg,9-6
M2w,Ichinojo,Minato,Mongolia,07.04.1993,192 cm 198 kg,4-11
M3e,Ura,Kise,Osaka,22.06.1992,175 cm 136 kg,4-11
M3w,Midorifuji,Isegahama,Shizuoka,30.08.1996,171 cm 114 kg,8-7
M4e,Wakamotoharu,Arashio,Fukushima,05.10.1993,187 cm 143 kg,10-5
M4w,Sadanoumi,Sakaigawa,Kumamoto,11.05.1987,182 cm 139 kg,8-7
M5e,Hokutofuji,Hakkaku,Saitama,15.07.1992,185 cm 162 kg,7-8
M5w,Nishikifuji,Isegahama,Aomori,22.07.1996,183 cm 143 kg,9-6
M6e,Nishikigi,Isenoumi,Iwate,25.08.1990,184 cm 169 kg,8-7
M6w,Ryuden,Takadagawa,Yamanashi,10.11.1990,190 cm 148 kg,9-6
M7e,Endo,Oitekaze,Ishikawa,19.10.1990,184 cm 148 kg,6-9
M7w,Myogiryu,Sakaigawa,Hyogo,22.10.1986,187 cm 155 kg,8-7
M8e,Takarafuji,Isegahama,Aomori,18.02.1987,185 cm 166 kg,3-12
M8w,Tochinoshin,Kasugano,Georgia,13.10.1987,192 cm 176 kg,6-9
M9e,Takanosho,Tokiwayama,Chiba,14.11.1994,184 cm 163 kg,7-8
M9w,Abi,Shikoroyama,Saitama,04.05.1994,188 cm 149 kg,12-3 YK
M10e,Aoiyama,Kasugano,Bulgaria,19.06.1986,191 cm 188 kg,7-8
M10w,Chiyoshoma,Kokonoe,Mongolia,20.07.1991,184 cm 137 kg,7-8
M11e,Onosho,Onomatsu,Aomori,04.07.1996,177 cm 157 kg,9-6
M11w,Kotoshoho,Sadogatake,Chiba,26.08.1999,191 cm 156 kg,7-8
M12e,Kotoeko,Sadogatake,Miyazaki,20.11.1991,177 cm 131 kg,7-8
M12w,Chiyotairyu,Kokonoe,Tokyo,14.11.1988,181 cm 171 kg,2-6
M13e,Okinoumi,Hakkaku,Shimane,29.07.1985,191 cm 160 kg,8-7
M13w,Oho,Otake,Tokyo,14.02.2000,191 cm 170 kg,10-5
M14e,Ichiyamamoto,Hanaregoma,Hokkaido,01.10.1993,187 cm 133 kg,7-8
M14w,Azumaryu,Tamanoi,Mongolia,12.05.1987,191 cm 156 kg,7-8
M15e,Kagayaki,Takadagawa,Ishikawa,01.06.1994,193 cm 160 kg,9-6
M15w,Atamifuji,Isegahama,Shizuoka,03.09.2002,185 cm 166 kg,4-11
M16e,Terutsuyoshi,Isegahama,Hyogo,17.01.1995,169 cm 114 kg,0-15
M16w,Hiradoumi,Sakaigawa,Nagasaki,20.04.2000,177 cm 129 kg,10-5
Y1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177 cm 132 kg,12-3 J
Y1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179 cm 143 kg,11-4
Y2eHD,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174 cm 162 kg,0-0-15
Y2wHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190 cm 122 kg,0-0-15
O1e,Wakanohana,Hanakago,Aomori,16.03.1928,179 cm 105 kg,12-3 J
O1w,Asashio,Takasago,Hyogo,13.11.1929,189 cm 145 kg,10-5
O2eHD,Matsunobori,Oyama,Chiba,20.07.1924,172 cm 154 kg,9-6
S1e,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177 cm 117 kg,10-5
S1w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180 cm 120 kg,5-9-1
S2eHD,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182 cm 137 kg,9-6
S2wHD,Annenyama,Tatsunami,Hokkaido,23.02.1934,181 cm 111 kg,6-9
K1e,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176 cm 150 kg,9-6 S
K1w,Araiwa,Hanakago,Akita,02.02.1931,169 cm 114 kg,5-10
M1e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177 cm 109 kg,3-3-9
M1w,Wakasegawa,Araiso,Hyogo,20.02.1920,176 cm 110 kg,4-11
M2e,Tochihikari,Kasugano,Kumamoto,29.08.1933,176 cm 128 kg,4-11
M2w,Hajimayama,Dewanoumi,Gifu,23.04.1922,176 cm 120 kg,6-9
M3e,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176 cm 115 kg,10-5
M3w,Mitsuneyama,Takashima,Tokyo,07.02.1922,176 cm 150 kg,5-10
M4e,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202 cm 152 kg,2-6-7
M4w,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193 cm 117 kg,6-9
M5e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185 cm 108 kg,6-9
M5w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176 cm 118 kg,5-10
M6e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177 cm 114 kg,9-6
M6w,Osegawa,Araiso,Aomori,01.02.1927,179 cm 115 kg,6-9
M7e,Wakamaeda,Takasago,Aichi,24.11.1930,174 cm 129 kg,11-4
M7w,Naruyama,Onogawa,Hyogo,27.11.1931,176 cm 110 kg,3-12
M8e,Kaizan,Nishonoseki,Saga,13.10.1928,181 cm 102 kg,7-8
M8w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183 cm 110 kg,9-6
M9e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181 cm 115 kg,9-6
M9w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181 cm 143 kg,7-8
M10e,Narutoumi,Kasugano,Hyogo,01.01.1926,183 cm 90 kg,7-8
M10w,Hoshikabuto,Izutsu,Chiba,20.02.1926,171 cm 107 kg,8-7
M11e,Shimanishiki,Takasago,Osaka,26.09.1928,174 cm 135 kg,9-6
M11w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174 cm 117 kg,10-5
M12e,Takanishiki,Takasago,Kumamoto,12.02.1934,168 cm 152 kg,0-0-15
M12w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173 cm 94 kg,7-8
M13e,Kuninobori,Takasago,Tokyo,18.04.1925,174 cm 126 kg,6-7-2
M13w,Oikawa,Takasago,Iwate,11.01.1936,176 cm 120 kg,7-8
M14e,Tamanoumi,Nishonoseki,Oita,02.01.1923,181 cm 120 kg,15-0 YK
M14w,Fukunoumi,Asahiyama,Fukui,28.04.1930,175 cm 108 kg,9-6
M15e,Otachi,Dewanoumi,Fukuoka,06.10.1923,194 cm 180 kg,8-7
M15w,Atagoyama,Takasago,Ehime,11.01.1936,177 cm 117 kg,8-7
M16e,Ononishiki,Onogawa,Osaka,20.03.1922,176 cm 98 kg,5-10
M16w,Hirosegawa,Araiso,Miyagi,28.02.1919,180 cm 105 kg,8-7
M17e,Miyanishiki,Takasago,Iwate,30.05.1927,171 cm 119 kg,6-9
M17w,Koinose,Asahiyama,Ehime,21.01.1930,170 cm 105 kg,9-6
M18e,Oginohana,Dewanoumi,Saga,29.11.1935,174 cm 124 kg,7-8
M18w,Maenoyama,Takasago,Ehime,02.07.1931,176 cm 102 kg,8-7
M19e,Dewaminato,Dewanoumi,Aomori,14.04.1923,177 cm 98 kg,8-7
M19w,Hakuryuyama,Araiso,Akita,10.03.1926,176 cm 109 kg,6-9
M20e,Izuminada,Tokitsukaze,Osaka,30.09.1928,176 cm 103 kg,7-8
M20w,Yasome,Kasugano,Tochigi,01.07.1929,172 cm 93 kg,9-6
M21e,Onoura,Hanakago,Akita,21.10.1925,171 cm 99 kg,5-10
M21w,Kaminishiki,Takashima,Aomori,28.08.1925,180 cm 96 kg,5-4-6
M22e,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175 cm 118 kg,2-7-6
M22w,Azumaumi,Araiso,Tokyo,14.03.1924,174 cm 166 kg,3-12
M23e,Otayama,Takasago,Tokyo,03.05.1924,177 cm 120 kg,4-11
