"","Round","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","rank_diff_cat","higher_rank_won","rank_diff"
"60","Quarterfinals","Federer R.","Murray A.",6,4,"SUI",1998,85,185,"Right-Handed","GBR",2005,84,191,"Right-Handed","Low Difference","No",2
"61","Semifinals","Wawrinka S.","Berdych T.",8,7,"SUI",2002,81,183,"Right-Handed","CZE",2002,91,196,"Right-Handed","Low Difference","No",1
"62","Semifinals","Nadal R.","Federer R.",1,6,"ESP",2001,85,185,"Left-Handed","SUI",1998,85,185,"Right-Handed","Low Difference","Yes",-5
"63","The Final","Wawrinka S.","Nadal R.",8,1,"SUI",2002,81,183,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","No",7
"64","Quarterfinals","Ferrer D.","Almagro N.",5,11,"ESP",2000,73,175,"Right-Handed","ESP",2003,86,183,"Right-Handed","Low Difference","Yes",-6
"65","Quarterfinals","Djokovic N.","Berdych T.",1,6,"SRB",2003,77,188,"Right-Handed","CZE",2002,91,196,"Right-Handed","Low Difference","Yes",-5
"66","Quarterfinals","Murray A.","Chardy J.",3,36,"GBR",2005,84,191,"Right-Handed","FRA",2005,75,188,"Right-Handed","Medium Difference","Yes",-33
"67","Quarterfinals","Federer R.","Tsonga J.W.",2,8,"SUI",1998,85,185,"Right-Handed","FRA",2004,91,188,"Right-Handed","Low Difference","Yes",-6
"68","Semifinals","Djokovic N.","Ferrer D.",1,5,"SRB",2003,77,188,"Right-Handed","ESP",2000,73,175,"Right-Handed","Low Difference","Yes",-4
"69","Semifinals","Murray A.","Federer R.",3,2,"GBR",2005,84,191,"Right-Handed","SUI",1998,85,185,"Right-Handed","Low Difference","No",1
"70","The Final","Djokovic N.","Murray A.",1,3,"SRB",2003,77,188,"Right-Handed","GBR",2005,84,191,"Right-Handed","Low Difference","Yes",-2
"71","Quarterfinals","Federer R.","Del Potro J.M.",3,11,"SUI",1998,85,185,"Right-Handed","ARG",2005,97,198,"Right-Handed","Low Difference","Yes",-8
"72","Quarterfinals","Nadal R.","Berdych T.",2,7,"ESP",2001,85,185,"Left-Handed","CZE",2002,91,196,"Right-Handed","Low Difference","Yes",-5
"73","Quarterfinals","Murray A.","Nishikori K.",4,26,"GBR",2005,84,191,"Right-Handed","JPN",2007,75,178,"Right-Handed","Low Difference","Yes",-22
"74","Quarterfinals","Djokovic N.","Ferrer D.",1,5,"SRB",2003,77,188,"Right-Handed","ESP",2000,73,175,"Right-Handed","Low Difference","Yes",-4
"75","Semifinals","Nadal R.","Federer R.",2,3,"ESP",2001,85,185,"Left-Handed","SUI",1998,85,185,"Right-Handed","Low Difference","Yes",-1
"76","Semifinals","Djokovic N.","Murray A.",1,4,"SRB",2003,77,188,"Right-Handed","GBR",2005,84,191,"Right-Handed","Low Difference","Yes",-3
"77","The Final","Djokovic N.","Nadal R.",1,2,"SRB",2003,77,188,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","Yes",-1
"78","Quarterfinals","Federer R.","Wawrinka S.",2,19,"SUI",1998,85,185,"Right-Handed","SUI",2002,81,183,"Right-Handed","Low Difference","Yes",-17
"79","Quarterfinals","Djokovic N.","Berdych T.",3,6,"SRB",2003,77,188,"Right-Handed","CZE",2002,91,196,"Right-Handed","Low Difference","Yes",-3
"80","Quarterfinals","Murray A.","Dolgopolov O.",5,46,"GBR",2005,84,191,"Right-Handed","UKR",2006,71,180,"Right-Handed","Medium Difference","Yes",-41
"81","Quarterfinals","Ferrer D.","Nadal R.",7,1,"ESP",2000,73,175,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","No",6
"82","Semifinals","Djokovic N.","Federer R.",3,2,"SRB",2003,77,188,"Right-Handed","SUI",1998,85,185,"Right-Handed","Low Difference","No",1
"83","Semifinals","Murray A.","Ferrer D.",5,7,"GBR",2005,84,191,"Right-Handed","ESP",2000,73,175,"Right-Handed","Low Difference","Yes",-2
"84","The Final","Djokovic N.","Murray A.",3,5,"SRB",2003,77,188,"Right-Handed","GBR",2005,84,191,"Right-Handed","Low Difference","Yes",-2
"85","Quarterfinals","Cilic M.","Roddick A.",14,7,"CRO",2005,89,198,"Right-Handed","USA",2000,88,188,"Right-Handed","Low Difference","No",7
"86","Quarterfinals","Murray A.","Nadal R.",4,2,"GBR",2005,84,191,"Right-Handed","ESP",2001,85,185,"Left-Handed","Low Difference","No",2
"87","Quarterfinals","Federer R.","Davydenko N.",1,6,"SUI",1998,85,185,"Right-Handed","RUS",1999,70,178,"Right-Handed","Low Difference","Yes",-5
"88","Quarterfinals","Tsonga J.W.","Djokovic N.",10,3,"FRA",2004,91,188,"Right-Handed","SRB",2003,77,188,"Right-Handed","Low Difference","No",7
"89","Semifinals","Murray A.","Cilic M.",4,14,"GBR",2005,84,191,"Right-Handed","CRO",2005,89,198,"Right-Handed","Low Difference","Yes",-10
"90","Semifinals","Federer R.","Tsonga J.W.",1,10,"SUI",1998,85,185,"Right-Handed","FRA",2004,91,188,"Right-Handed","Low Difference","Yes",-9
"91","The Final","Federer R.","Murray A.",1,4,"SUI",1998,85,185,"Right-Handed","GBR",2005,84,191,"Right-Handed","Low Difference","Yes",-3
"92","Quarterfinals","Roddick A.","Djokovic N.",9,3,"USA",2000,88,188,"Right-Handed","SRB",2003,77,188,"Right-Handed","Low Difference","No",6
"93","Quarterfinals","Federer R.","Del Potro J.M.",2,6,"SUI",1998,85,185,"Right-Handed","ARG",2005,97,198,"Right-Handed","Low Difference","Yes",-4
"94","Quarterfinals","Verdasco F.","Tsonga J.W.",15,7,"ESP",2001,87,185,"Left-Handed","FRA",2004,91,188,"Right-Handed","Low Difference","No",8
"95","Quarterfinals","Nadal R.","Simon G.",1,8,"ESP",2001,85,185,"Left-Handed","FRA",2002,70,183,"Right-Handed","Low Difference","Yes",-7
"96","Semifinals","Federer R.","Roddick A.",2,9,"SUI",1998,85,185,"Right-Handed","USA",2000,88,188,"Right-Handed","Low Difference","Yes",-7
"97","Semifinals","Nadal R.","Verdasco F.",1,15,"ESP",2001,85,185,"Left-Handed","ESP",2001,87,185,"Left-Handed","Low Difference","Yes",-14
"98","The Final","Nadal R.","Federer R.",1,2,"ESP",2001,85,185,"Left-Handed","SUI",1998,85,185,"Right-Handed","Low Difference","Yes",-1
"99","Quarterfinals","Nadal R.","Nieminen J.",2,26,"ESP",2001,85,185,"Left-Handed","FIN",2000,78,185,"Left-Handed","Low Difference","Yes",-24
"100","Quarterfinals","Tsonga J.W.","Youzhny M.",38,14,"FRA",2004,91,188,"Right-Handed","RUS",1999,73,183,"Right-Handed","Low Difference","No",24
"101","Quarterfinals","Djokovic N.","Ferrer D.",3,5,"SRB",2003,77,188,"Right-Handed","ESP",2000,73,175,"Right-Handed","Low Difference","Yes",-2
"102","Quarterfinals","Federer R.","Blake J.",1,15,"SUI",1998,85,185,"Right-Handed","USA",1999,83,185,"Right-Handed","Low Difference","Yes",-14
"103","Semifinals","Tsonga J.W.","Nadal R.",38,2,"FRA",2004,91,188,"Right-Handed","ESP",2001,85,185,"Left-Handed","Medium Difference","No",36
"104","Semifinals","Djokovic N.","Federer R.",3,1,"SRB",2003,77,188,"Right-Handed","SUI",1998,85,185,"Right-Handed","Low Difference","No",2
"105","The Final","Djokovic N.","Tsonga J.W.",3,38,"SRB",2003,77,188,"Right-Handed","FRA",2004,91,188,"Right-Handed","Medium Difference","Yes",-35
