"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"1650","Federer R.","Tsonga J.W.",1,10,"SUI",1998,85,185,"Right-Handed","FRA",2004,91,188,"Right-Handed","Yes",-9,"Low Difference","Yes"
"1651","Federer R.","Murray A.",1,4,"SUI",1998,85,185,"Right-Handed","GBR",2005,84,191,"Right-Handed","Yes",-3,"Low Difference","Yes"
"1652","Ferrer D.","Gremelmayr D.",12,80,"ESP",2000,73,175,"Right-Handed","GER",2000,73,183,"Left-Handed","Yes",-68,"Medium Difference","No"
"1653","Berdych T.","Ginepri R.",21,47,"CZE",2002,91,196,"Right-Handed","USA",2001,79,183,"Right-Handed","Yes",-26,"Low Difference","Yes"
"1654","Mayer F.","Ouahab L.",450,193,"GER",2001,82,191,"Right-Handed","MAR",2012,83,185,"Right-Handed","No",257,"High Difference","Yes"
"1655","Hrbaty D.","Isner J.",251,139,"SVK",1996,79,183,"Right-Handed","USA",2007,108,208,"Right-Handed","No",112,"High Difference","Yes"
"1656","Soderling R.","Kendrick R.",17,96,"SWE",2001,87,193,"Right-Handed","USA",2000,86,191,"Right-Handed","Yes",-79,"High Difference","Yes"
"1657","Dabul B.","Petzschner P.",100,63,"ARG",2001,70,170,"Left-Handed","GER",2001,77,185,"Right-Handed","No",37,"Medium Difference","No"
"1658","Roddick A.","Rehnquist B.",9,191,"USA",2000,88,188,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-182,"High Difference",NA
"1659","Malisse X.","Llodra M.",195,56,"BEL",1998,83,185,"Right-Handed","FRA",1999,80,191,"Left-Handed","No",139,"High Difference","No"
"1660","Muller G.","Lopez F.",87,28,"LUX",2001,89,193,"Left-Handed","ESP",1997,73,185,"Left-Handed","No",59,"Medium Difference","Yes"
"1661","Tomic B.","Starace P.",768,73,"AUS",2008,91,196,"Right-Handed","ITA",2001,84,188,"Right-Handed","No",695,"High Difference","Yes"
"1662","Robredo T.","Reynolds B.",22,69,"ESP",1998,75,180,"Right-Handed","USA",2003,77,183,"Right-Handed","Yes",-47,"Medium Difference","Yes"
"1663","Baghdatis M.","Benneteau J.",97,48,"CYP",2003,82,178,"Right-Handed","FRA",2000,79,185,"Right-Handed","No",49,"Medium Difference","Yes"
"1664","Wawrinka S.","Minar I.",16,102,"SUI",2002,81,183,"Right-Handed","CZE",2002,85,183,"Right-Handed","Yes",-86,"High Difference","Yes"
"1665","Del Potro J.M.","Zverev M.",6,81,"ARG",2005,97,198,"Right-Handed","GER",2005,88,191,"Left-Handed","Yes",-75,"Medium Difference","No"
"1666","Troicki V.","Martin A.",53,99,"SRB",2006,86,193,"Right-Handed","ESP",1995,73,175,"Right-Handed","Yes",-46,"Medium Difference","Yes"
"1667","Klein B.","Phau B.",249,110,"GBR",2007,83,188,"Right-Handed","GER",1999,70,175,"Right-Handed","No",139,"High Difference","Yes"
"1668","Chardy J.","Daniel M.",68,101,"FRA",2005,75,188,"Right-Handed","BRA",1997,79,180,"Right-Handed","Yes",-33,"Medium Difference","Yes"
"1669","Djokovic N.","Stoppini A.",3,220,"SRB",2003,77,188,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-217,"High Difference",NA
"1670","Fish M.","Groth S.",24,279,"USA",2000,82,188,"Right-Handed","AUS",2006,100,193,"Right-Handed","Yes",-255,"High Difference","Yes"
"1671","Delic A.","Dent T.",127,728,"BIH",2003,93,196,"Right-Handed","USA",1998,88,188,"Right-Handed","Yes",-601,"High Difference","Yes"
