"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"1","Shapovalov D.","Djere L.",14,51,"CAN",2016,76,183,"Left-Handed","SRB",2013,80,185,"Right-Handed","Yes",-37,"Medium Difference","No"
"2","Kwon S.W.","Rune H.",54,99,"KOR",2015,72,180,"Right-Handed","DEN",2020,77,188,"Right-Handed","Yes",-45,"Medium Difference","Yes"
"3","Lajovic D.","Fucsovics M.",39,35,"SRB",2007,78,183,"Right-Handed","HUN",2010,82,188,"Right-Handed","No",4,"Low Difference","Yes"
"4","Vukic A.","Harris L.",144,33,"AUS",2018,85,188,"Right-Handed","RSA",2015,80,193,"Right-Handed","No",111,"High Difference","Yes"
"5","Garin C.","Bagnis F.",19,72,"CHI",2013,85,185,"Right-Handed","ARG",2008,82,183,"Left-Handed","Yes",-53,"Medium Difference","No"
"6","Martinez P.","Delbonis F.",61,38,"ESP",2016,76,185,"Right-Handed","ARG",2007,88,191,"Left-Handed","No",23,"Low Difference","No"
"7","Bonzi B.","Gojowczyk P.",63,82,"FRA",2015,82,183,"Right-Handed","GER",2006,83,188,"Right-Handed","Yes",-19,"Low Difference","Yes"
"8","Albot R.","Nishioka Y.",124,119,"MDA",2008,69,175,"Right-Handed","JPN",2014,64,170,"Left-Handed","No",5,"Low Difference","No"
"9","Alcaraz C.","Tabilo A.",31,135,"ESP",2018,72,185,"Right-Handed","CHI",2015,75,188,"Right-Handed","Yes",-104,"High Difference","Yes"
"10","Kozlov S.","Vesely J.",169,78,"USA",2013,79,183,"Right-Handed","CZE",2009,92,198,"Left-Handed","No",91,"High Difference","No"
"11","Monfils G.","Coria F.",20,64,"FRA",2004,80,193,"Right-Handed","ARG",2010,73,180,"Right-Handed","Yes",-44,"Medium Difference","Yes"
"12","Berrettini M.","Nakashima B.",7,68,"ITA",2015,95,196,"Right-Handed","USA",2019,84,185,"Right-Handed","Yes",-61,"Medium Difference","Yes"
"13","Khachanov K.","Kudla D.",30,105,"RUS",2013,88,198,"Right-Handed","USA",2010,75,180,"Right-Handed","Yes",-75,"Medium Difference","Yes"
"14","Mannarino A.","Duckworth J.",69,49,"FRA",2004,70,180,"Left-Handed","AUS",2010,82,183,"Right-Handed","No",20,"Low Difference","No"
"15","Carreno Busta P.","Etcheverry T.",21,131,"ESP",2009,78,188,"Right-Handed","ARG",2015,82,196,"Right-Handed","Yes",-110,"High Difference","Yes"
"16","Bublik A.","Escobedo E.",37,141,"KAZ",2014,76,196,"Right-Handed","USA",2014,82,185,"Right-Handed","Yes",-104,"High Difference","Yes"
"17","Nadal R.","Giron M.",5,66,"ESP",2001,85,185,"Left-Handed","USA",2014,77,180,"Right-Handed","Yes",-61,"Medium Difference","No"
"18","Korda S.","Norrie C.",43,12,"USA",2018,77,196,"Right-Handed","GBR",2017,80,188,"Left-Handed","No",31,"Medium Difference","No"
"19","Hurkacz H.","Gerasimov E.",11,106,"ITA",2013,77,188,"Right-Handed","BLR",2010,84,183,"Right-Handed","Yes",-95,"High Difference","Yes"
"20","Koepfer D.","Taberner C.",53,108,"GER",2016,79,180,"Left-Handed","ESP",2015,78,183,"Right-Handed","Yes",-55,"Medium Difference","No"
"21","Moutet C.","Pouille L.",100,160,"FRA",2016,71,175,"Left-Handed","FRA",2012,81,185,"Right-Handed","Yes",-60,"Medium Difference","No"
"22","Griekspoor T.","Fognini F.",62,32,"NED",2015,85,188,"Right-Handed","ITA",2004,74,178,"Right-Handed","No",30,"Low Difference","Yes"
"23","Mcdonald M.","Milojevic N.",55,139,"USA",2016,73,178,"Right-Handed","SRB",2013,76,188,"Right-Handed","Yes",-84,"High Difference","Yes"
"24","Kecmanovic M.","Caruso S.",77,146,"SRB",2017,75,183,"Right-Handed","ITA",2010,80,185,"Right-Handed","Yes",-69,"Medium Difference","Yes"
"25","Sonego L.","Querrey S.",26,110,"ITA",2013,76,191,"Right-Handed","USA",2006,95,198,"Right-Handed","Yes",-84,"High Difference","Yes"
"26","Hanfmann Y.","Kokkinakis T.",126,103,"GER",2015,84,193,"Right-Handed","AUS",2013,82,196,"Right-Handed","No",23,"Low Difference","Yes"
"27","Opelka R.","Anderson K.",29,97,"USA",2015,100,211,"Right-Handed","RSA",2007,93,203,"Right-Handed","Yes",-68,"Medium Difference","Yes"
"28","Millman J.","Lopez F.",89,109,"AUS",2006,79,183,"Right-Handed","ESP",1997,73,185,"Left-Handed","Yes",-20,"Low Difference","No"
"29","Otte O.","Tseng C.H.",96,190,"GER",2011,79,183,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-94,"High Difference",NA
"30","Karatsev A.","Munar J.",15,71,"RUS",2011,85,185,"Right-Handed","ESP",2014,78,183,"Right-Handed","Yes",-56,"Medium Difference","Yes"
"31","Paul T.","Kukushkin M.",41,180,"USA",2015,78,185,"Right-Handed","KAZ",2006,72,183,"Right-Handed","Yes",-139,"High Difference","Yes"
"32","Zverev A.","Altmaier D.",3,87,"GER",2013,86,198,"Right-Handed","GER",2014,80,188,"Right-Handed","Yes",-84,"High Difference","Yes"
"33","Schwartzman D.","Krajinovic F.",13,36,"ARG",2010,64,170,"Right-Handed","SRB",2008,75,185,"Right-Handed","Yes",-23,"Low Difference","Yes"
"34","Van De Zandschulp B.","Struff J.L.",57,52,"NED",2018,83,188,"Right-Handed","GER",2009,87,196,"Right-Handed","No",5,"Low Difference","Yes"
"35","Gasquet R.","Humbert U.",81,40,"FRA",2002,75,185,"Right-Handed","FRA",2016,73,188,"Left-Handed","No",41,"Medium Difference","No"
"36","O Connell C.","Gaston H.",175,67,"AUS",2011,78,183,"Right-Handed","FRA",2018,68,173,"Left-Handed","No",108,"High Difference","No"
"37","Gombos N.","Skatov T.",117,253,"SVK",2009,85,196,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-136,"High Difference",NA
"38","Cilic M.","Gomez E.",27,153,"CRO",2005,89,198,"Right-Handed","ECU",2013,81,185,"Right-Handed","Yes",-126,"High Difference","Yes"
"39","Kohlschreiber P.","Cecchinato M.",134,95,"GER",2001,70,178,"Right-Handed","ITA",2010,78,185,"Right-Handed","No",39,"Medium Difference","Yes"
"40","Bautista Agut R.","Travaglia S.",18,98,"ESP",2005,76,183,"Right-Handed","ITA",2008,80,185,"Right-Handed","Yes",-80,"High Difference","Yes"
"41","Berankis R.","Carballes Baena R.",93,75,"LTU",2007,70,175,"Right-Handed","ESP",2011,76,180,"Right-Handed","No",18,"Low Difference","Yes"
"42","Rublev A.","Mager G.",6,65,"RUS",2014,68,188,"Right-Handed","POL",2015,81,96,"Right-Handed","Yes",-59,"Medium Difference","Yes"
"43","Dimitrov G.","Lehecka J.",28,142,"BUL",2008,80,191,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-114,"High Difference",NA
"44","Johnson S.","Thompson J.",104,73,"USA",2012,86,188,"Right-Handed","AUS",2013,73,183,"Right-Handed","No",31,"Medium Difference","Yes"
"45","Sinner J.","Sousa J.",10,140,"ITA",2018,76,188,"Right-Handed","POR",2008,74,185,"Right-Handed","Yes",-130,"High Difference","Yes"
"46","Paire B.","Monteiro T.",56,79,"FRA",2007,80,196,"Right-Handed","BRA",2011,78,183,"Left-Handed","Yes",-23,"Low Difference","No"
"47","Cressy M.","Isner J.",70,25,"USA",2019,91,198,"Right-Handed","USA",2007,108,208,"Right-Handed","No",45,"Medium Difference","Yes"
"48","Medvedev D.","Laaksonen H.",2,91,"RUS",2014,81,198,"Right-Handed","SUI",2009,78,185,"Right-Handed","Yes",-89,"High Difference","Yes"
"49","Murray A.","Basilashvili N.",113,23,"GBR",2005,84,191,"Right-Handed","GEO",2008,79,185,"Right-Handed","No",90,"High Difference","Yes"
"50","Auger-Aliassime F.","Ruusuvuori E.",9,90,"CAN",2016,84,188,"Right-Handed","FIN",2018,79,188,"Right-Handed","Yes",-81,"High Difference","Yes"
"51","Machac T.","Cerundolo J.M.",132,80,"CZE",2017,74,183,"Right-Handed","ARG",2018,71,183,"Left-Handed","No",52,"Medium Difference","No"
"52","Daniel T.","Barrios M.",120,147,"JPN",2010,76,191,"Right-Handed","CHI",2019,88,191,"Right-Handed","Yes",-27,"Low Difference","Yes"
"53","Molcan A.","Safiullin R.",74,149,"SVK",2018,73,178,"Right-Handed","RUS",2015,75,185,"Right-Handed","Yes",-75,"Medium Difference","Yes"
"54","Andujar P.","Dzumhur D.",83,161,"ESP",2003,76,180,"Right-Handed","BIH",2011,70,175,"Right-Handed","Yes",-78,"High Difference","Yes"
"55","Evans D.","Goffin D.",24,45,"GBR",2006,75,175,"Right-Handed","BEL",2009,68,180,"Right-Handed","Yes",-21,"Low Difference","Yes"
"56","Fritz T.","Marterer M.",22,228,"USA",2015,84,193,"Right-Handed","GER",2015,84,191,"Left-Handed","Yes",-206,"High Difference","No"
"57","Davidovich Fokina A.","Bolt A.",50,152,"ESP",2017,80,183,"Right-Handed","AUS",2011,84,183,"Left-Handed","Yes",-102,"High Difference","No"
"58","Baez S.","Ramos-Vinolas A.",88,44,"ARG",2018,70,70,"Right-Handed","ESP",2007,80,188,"Left-Handed","No",44,"Medium Difference","No"
"59","Tiafoe F.","Trungelliti M.",34,198,"USA",2015,77,188,"Right-Handed","ARG",2008,78,180,"Right-Handed","Yes",-164,"High Difference","Yes"
"60","Rinderknech A.","Popyrin A.",48,59,"FRA",2018,86,196,"Right-Handed","AUS",2017,78,196,"Right-Handed","Yes",-11,"Low Difference","Yes"
"61","Majchrzak K.","Seppi A.",107,101,"POL",2013,78,180,"Right-Handed","ITA",2002,75,191,"Right-Handed","No",6,"Low Difference","Yes"
"62","De Minaur A.","Musetti L.",42,60,"AUS",2015,69,180,"Right-Handed","ITA",2019,78,185,"Right-Handed","Yes",-18,"Low Difference","Yes"
"63","Kyrgios N.","Broady L.",115,128,"AUS",2013,85,193,"Right-Handed","GBR",2014,78,183,"Left-Handed","Yes",-13,"Low Difference","No"
"64","Tsitsipas S.","Ymer M.",4,86,"GRE",2016,83,193,"Right-Handed","SWE",2015,75,183,"Right-Handed","Yes",-82,"High Difference","Yes"
"65","Sonego L.","Otte O.",26,96,"ITA",2013,76,191,"Right-Handed","GER",2011,79,183,"Right-Handed","Yes",-70,"Medium Difference","Yes"
"66","Kecmanovic M.","Paul T.",77,41,"SRB",2017,75,183,"Right-Handed","USA",2015,78,185,"Right-Handed","No",36,"Medium Difference","Yes"
"67","Carreno Busta P.","Griekspoor T.",21,62,"ESP",2009,78,188,"Right-Handed","NED",2015,85,188,"Right-Handed","Yes",-41,"Medium Difference","Yes"
"68","Opelka R.","Koepfer D.",29,53,"USA",2015,100,211,"Right-Handed","GER",2016,79,180,"Left-Handed","Yes",-24,"Low Difference","No"
"69","Korda S.","Moutet C.",43,100,"USA",2018,77,196,"Right-Handed","FRA",2016,71,175,"Left-Handed","Yes",-57,"Medium Difference","No"
"70","Shapovalov D.","Kwon S.W.",14,54,"CAN",2016,76,183,"Left-Handed","KOR",2015,72,180,"Right-Handed","Yes",-40,"Medium Difference","No"
"71","Nadal R.","Hanfmann Y.",5,126,"ESP",2001,85,185,"Left-Handed","GER",2015,84,193,"Right-Handed","Yes",-121,"High Difference","No"
"72","Alcaraz C.","Lajovic D.",31,39,"ESP",2018,72,185,"Right-Handed","SRB",2007,78,183,"Right-Handed","Yes",-8,"Low Difference","Yes"
"73","Berrettini M.","Kozlov S.",7,169,"ITA",2015,95,196,"Right-Handed","USA",2013,79,183,"Right-Handed","Yes",-162,"High Difference","Yes"
"74","Garin C.","Martinez P.",19,61,"CHI",2013,85,185,"Right-Handed","ESP",2016,76,185,"Right-Handed","Yes",-42,"Medium Difference","Yes"
"75","Albot R.","Vukic A.",124,144,"MDA",2008,69,175,"Right-Handed","AUS",2018,85,188,"Right-Handed","Yes",-20,"Low Difference","Yes"
"76","Mannarino A.","Hurkacz H.",69,11,"FRA",2004,70,180,"Left-Handed","ITA",2013,77,188,"Right-Handed","No",58,"Medium Difference","No"
"77","Khachanov K.","Bonzi B.",30,63,"RUS",2013,88,198,"Right-Handed","FRA",2015,82,183,"Right-Handed","Yes",-33,"Medium Difference","Yes"
"78","Karatsev A.","Mcdonald M.",15,55,"RUS",2011,85,185,"Right-Handed","USA",2016,73,178,"Right-Handed","Yes",-40,"Medium Difference","Yes"
"79","Zverev A.","Millman J.",3,89,"GER",2013,86,198,"Right-Handed","AUS",2006,79,183,"Right-Handed","Yes",-86,"High Difference","Yes"
"80","Monfils G.","Bublik A.",20,37,"FRA",2004,80,193,"Right-Handed","KAZ",2014,76,196,"Right-Handed","Yes",-17,"Low Difference","Yes"
"81","Cilic M.","Gombos N.",27,117,"CRO",2005,89,198,"Right-Handed","SVK",2009,85,196,"Right-Handed","Yes",-90,"High Difference","Yes"
"82","O Connell C.","Schwartzman D.",175,13,"AUS",2011,78,183,"Right-Handed","ARG",2010,64,170,"Right-Handed","No",162,"High Difference","Yes"
"83","Cressy M.","Machac T.",70,132,"USA",2019,91,198,"Right-Handed","CZE",2017,74,183,"Right-Handed","Yes",-62,"Medium Difference","Yes"
"84","Rublev A.","Berankis R.",6,93,"RUS",2014,68,188,"Right-Handed","LTU",2007,70,175,"Right-Handed","Yes",-87,"High Difference","Yes"
"85","Evans D.","Rinderknech A.",24,48,"GBR",2006,75,175,"Right-Handed","FRA",2018,86,196,"Right-Handed","Yes",-24,"Low Difference","Yes"
"86","Andujar P.","Molcan A.",83,74,"ESP",2003,76,180,"Right-Handed","SVK",2018,73,178,"Right-Handed","No",9,"Low Difference","Yes"
"87","Fritz T.","Tiafoe F.",22,34,"USA",2015,84,193,"Right-Handed","USA",2015,77,188,"Right-Handed","Yes",-12,"Low Difference","Yes"
"88","Bautista Agut R.","Kohlschreiber P.",18,134,"ESP",2005,76,183,"Right-Handed","GER",2001,70,178,"Right-Handed","Yes",-116,"High Difference","Yes"
"89","Auger-Aliassime F.","Davidovich Fokina A.",9,50,"CAN",2016,84,188,"Right-Handed","ESP",2017,80,183,"Right-Handed","Yes",-41,"Medium Difference","Yes"
"90","De Minaur A.","Majchrzak K.",42,107,"AUS",2015,69,180,"Right-Handed","POL",2013,78,180,"Right-Handed","Yes",-65,"Medium Difference","Yes"
"91","Tsitsipas S.","Baez S.",4,88,"GRE",2016,83,193,"Right-Handed","ARG",2018,70,70,"Right-Handed","Yes",-84,"High Difference","Yes"
"92","Paire B.","Dimitrov G.",56,28,"FRA",2007,80,196,"Right-Handed","BUL",2008,80,191,"Right-Handed","No",28,"Low Difference","Yes"
"93","Daniel T.","Murray A.",120,113,"JPN",2010,76,191,"Right-Handed","GBR",2005,84,191,"Right-Handed","No",7,"Low Difference","Yes"
"94","Van De Zandschulp B.","Gasquet R.",57,81,"NED",2018,83,188,"Right-Handed","FRA",2002,75,185,"Right-Handed","Yes",-24,"Low Difference","Yes"
"95","Medvedev D.","Kyrgios N.",2,115,"RUS",2014,81,198,"Right-Handed","AUS",2013,85,193,"Right-Handed","Yes",-113,"High Difference","Yes"
"96","Sinner J.","Johnson S.",10,104,"ITA",2018,76,188,"Right-Handed","USA",2012,86,188,"Right-Handed","Yes",-94,"High Difference","Yes"
"97","Kecmanovic M.","Sonego L.",77,26,"SRB",2017,75,183,"Right-Handed","ITA",2013,76,191,"Right-Handed","No",51,"Medium Difference","Yes"
"98","Monfils G.","Garin C.",20,19,"FRA",2004,80,193,"Right-Handed","CHI",2013,85,185,"Right-Handed","No",1,"Low Difference","Yes"
"99","Berrettini M.","Alcaraz C.",7,31,"ITA",2015,95,196,"Right-Handed","ESP",2018,72,185,"Right-Handed","Yes",-24,"Low Difference","Yes"
"100","Shapovalov D.","Opelka R.",14,29,"CAN",2016,76,183,"Left-Handed","USA",2015,100,211,"Right-Handed","Yes",-15,"Low Difference","No"
"101","Carreno Busta P.","Korda S.",21,43,"ESP",2009,78,188,"Right-Handed","USA",2018,77,196,"Right-Handed","Yes",-22,"Low Difference","Yes"
"102","Zverev A.","Albot R.",3,124,"GER",2013,86,198,"Right-Handed","MDA",2008,69,175,"Right-Handed","Yes",-121,"High Difference","Yes"
"103","Nadal R.","Khachanov K.",5,30,"ESP",2001,85,185,"Left-Handed","RUS",2013,88,198,"Right-Handed","Yes",-25,"Low Difference","No"
"104","Mannarino A.","Karatsev A.",69,15,"FRA",2004,70,180,"Left-Handed","RUS",2011,85,185,"Right-Handed","No",54,"Medium Difference","No"
"105","Fritz T.","Bautista Agut R.",22,18,"USA",2015,84,193,"Right-Handed","ESP",2005,76,183,"Right-Handed","No",4,"Low Difference","Yes"
"106","Tsitsipas S.","Paire B.",4,56,"GRE",2016,83,193,"Right-Handed","FRA",2007,80,196,"Right-Handed","Yes",-52,"Medium Difference","Yes"
"107","Cressy M.","O Connell C.",70,175,"USA",2019,91,198,"Right-Handed","AUS",2011,78,183,"Right-Handed","Yes",-105,"High Difference","Yes"
"108","Medvedev D.","Van De Zandschulp B.",2,57,"RUS",2014,81,198,"Right-Handed","NED",2018,83,188,"Right-Handed","Yes",-55,"Medium Difference","Yes"
"109","Auger-Aliassime F.","Evans D.",9,24,"CAN",2016,84,188,"Right-Handed","GBR",2006,75,175,"Right-Handed","Yes",-15,"Low Difference","Yes"
"110","Sinner J.","Daniel T.",10,120,"ITA",2018,76,188,"Right-Handed","JPN",2010,76,191,"Right-Handed","Yes",-110,"High Difference","Yes"
"111","De Minaur A.","Andujar P.",42,83,"AUS",2015,69,180,"Right-Handed","ESP",2003,76,180,"Right-Handed","Yes",-41,"Medium Difference","Yes"
"112","Cilic M.","Rublev A.",27,6,"CRO",2005,89,198,"Right-Handed","RUS",2014,68,188,"Right-Handed","No",21,"Low Difference","Yes"
"113","Nadal R.","Mannarino A.",5,69,"ESP",2001,85,185,"Left-Handed","FRA",2004,70,180,"Left-Handed","Yes",-64,"Medium Difference","Yes"
"114","Shapovalov D.","Zverev A.",14,3,"CAN",2016,76,183,"Left-Handed","GER",2013,86,198,"Right-Handed","No",11,"Low Difference","No"
"115","Monfils G.","Kecmanovic M.",20,77,"FRA",2004,80,193,"Right-Handed","SRB",2017,75,183,"Right-Handed","Yes",-57,"Medium Difference","Yes"
"116","Berrettini M.","Carreno Busta P.",7,21,"ITA",2015,95,196,"Right-Handed","ESP",2009,78,188,"Right-Handed","Yes",-14,"Low Difference","Yes"
"117","Auger-Aliassime F.","Cilic M.",9,27,"CAN",2016,84,188,"Right-Handed","CRO",2005,89,198,"Right-Handed","Yes",-18,"Low Difference","Yes"
"118","Medvedev D.","Cressy M.",2,70,"RUS",2014,81,198,"Right-Handed","USA",2019,91,198,"Right-Handed","Yes",-68,"Medium Difference","Yes"
"119","Sinner J.","De Minaur A.",10,42,"ITA",2018,76,188,"Right-Handed","AUS",2015,69,180,"Right-Handed","Yes",-32,"Medium Difference","Yes"
"120","Tsitsipas S.","Fritz T.",4,22,"GRE",2016,83,193,"Right-Handed","USA",2015,84,193,"Right-Handed","Yes",-18,"Low Difference","Yes"
"121","Nadal R.","Shapovalov D.",5,14,"ESP",2001,85,185,"Left-Handed","CAN",2016,76,183,"Left-Handed","Yes",-9,"Low Difference","Yes"
"122","Berrettini M.","Monfils G.",7,20,"ITA",2015,95,196,"Right-Handed","FRA",2004,80,193,"Right-Handed","Yes",-13,"Low Difference","Yes"
"123","Tsitsipas S.","Sinner J.",4,10,"GRE",2016,83,193,"Right-Handed","ITA",2018,76,188,"Right-Handed","Yes",-6,"Low Difference","Yes"
"124","Medvedev D.","Auger-Aliassime F.",2,9,"RUS",2014,81,198,"Right-Handed","CAN",2016,84,188,"Right-Handed","Yes",-7,"Low Difference","Yes"
"125","Nadal R.","Berrettini M.",5,7,"ESP",2001,85,185,"Left-Handed","ITA",2015,95,196,"Right-Handed","Yes",-2,"Low Difference","No"
"126","Medvedev D.","Tsitsipas S.",2,4,"RUS",2014,81,198,"Right-Handed","GRE",2016,83,193,"Right-Handed","Yes",-2,"Low Difference","Yes"
"127","Nadal R.","Medvedev D.",5,2,"ESP",2001,85,185,"Left-Handed","RUS",2014,81,198,"Right-Handed","No",3,"Low Difference","No"
"128","Raonic M.","Coria F.",14,92,"CAN",2008,98,196,"Right-Handed","ARG",2010,73,180,"Right-Handed","Yes",-78,"High Difference","Yes"
"129","Mannarino A.","Novak D.",36,98,"FRA",2004,70,180,"Left-Handed","AUT",2011,80,183,"Right-Handed","Yes",-62,"Medium Difference","No"
"130","Ruusuvuori E.","Monfils G.",86,11,"FIN",2018,79,188,"Right-Handed","FRA",2004,80,193,"Right-Handed","No",75,"Medium Difference","Yes"
"131","Moutet C.","Millman J.",71,39,"FRA",2016,71,175,"Left-Handed","AUS",2006,79,183,"Right-Handed","No",32,"Medium Difference","No"
"132","Opelka R.","Lu Y.",38,1009,"USA",2015,100,211,"Right-Handed","TPE",2001,74,180,"Right-Handed","Yes",-971,"High Difference","Yes"
"133","Wawrinka S.","Sousa P.",18,107,"SUI",2002,81,183,"Right-Handed","POR",2007,70,178,"Right-Handed","Yes",-89,"High Difference","Yes"
"134","Bolt A.","Gombos N.",166,89,"AUS",2011,84,183,"Left-Handed","SVK",2009,85,196,"Right-Handed","No",77,"High Difference","No"
"135","Martinez P.","Nishioka Y.",87,58,"ESP",2016,76,185,"Right-Handed","JPN",2014,64,170,"Left-Handed","No",29,"Low Difference","No"
"136","Fritz T.","Ramos-Vinolas A.",31,46,"USA",2015,84,193,"Right-Handed","ESP",2007,80,188,"Left-Handed","Yes",-15,"Low Difference","No"
"137","Fucsovics M.","Polmans M.",55,126,"HUN",2010,82,188,"Right-Handed","AUS",2015,77,188,"Right-Handed","Yes",-71,"Medium Difference","Yes"
"138","Thiem D.","Kukushkin M.",3,90,"AUT",2011,82,185,"Right-Handed","KAZ",2006,72,183,"Right-Handed","Yes",-87,"High Difference","Yes"
"139","Karatsev A.","Mager G.",114,96,"RUS",2011,85,185,"Right-Handed","POL",2015,81,96,"Right-Handed","No",18,"Low Difference","Yes"
"140","Kecmanovic M.","Majchrzak K.",41,109,"SRB",2017,75,183,"Right-Handed","POL",2013,78,180,"Right-Handed","Yes",-68,"Medium Difference","Yes"
"141","Zverev A.","Giron M.",7,75,"GER",2013,86,198,"Right-Handed","USA",2014,77,180,"Right-Handed","Yes",-68,"Medium Difference","Yes"
"142","Bublik A.","Bedene A.",45,57,"KAZ",2014,76,196,"Right-Handed","GBR",2008,72,183,"Right-Handed","Yes",-12,"Low Difference","Yes"
"143","Gerasimov E.","Paire B.",79,29,"BLR",2010,84,183,"Right-Handed","FRA",2007,80,196,"Right-Handed","No",50,"Medium Difference","Yes"
"144","Duckworth J.","Dzumhur D.",105,120,"AUS",2010,82,183,"Right-Handed","BIH",2011,70,175,"Right-Handed","Yes",-15,"Low Difference","Yes"
"145","Vesely J.","Coppejans K.",68,178,"CZE",2009,92,198,"Left-Handed",NA,NA,NA,NA,NA,"Yes",-110,"High Difference",NA
"146","Humbert U.","Uchiyama Y.",34,106,"FRA",2016,73,188,"Left-Handed","JPN",2011,78,183,"Right-Handed","Yes",-72,"Medium Difference","No"
"147","Muller A.","Londero J.I.",210,83,"FRA",2014,75,183,"Right-Handed","ARG",2010,70,180,"Right-Handed","No",127,"High Difference","Yes"
"148","Carreno Busta P.","Nishikori K.",16,42,"ESP",2009,78,188,"Right-Handed","JPN",2007,75,178,"Right-Handed","Yes",-26,"Low Difference","Yes"
"149","Tiafoe F.","Travaglia S.",64,60,"USA",2015,77,188,"Right-Handed","ITA",2008,80,185,"Right-Handed","No",4,"Low Difference","Yes"
"150","Dimitrov G.","Cilic M.",21,43,"BUL",2008,80,191,"Right-Handed","CRO",2005,89,198,"Right-Handed","Yes",-22,"Low Difference","Yes"
"151","Koepfer D.","Dellien H.",70,112,"GER",2016,79,180,"Left-Handed","BOL",2009,75,180,"Right-Handed","Yes",-42,"Medium Difference","No"
"152","Lajovic D.","Stakhovsky S.",27,200,"SRB",2007,78,183,"Right-Handed","UKR",2003,80,193,"Right-Handed","Yes",-173,"High Difference","Yes"
"153","Auger-Aliassime F.","Stebe C.M.",19,129,"CAN",2016,84,188,"Right-Handed","GER",2010,70,183,"Left-Handed","Yes",-110,"High Difference","No"
"154","Schwartzman D.","Ymer E.",9,205,"ARG",2010,64,170,"Right-Handed","SWE",2014,78,183,"Right-Handed","Yes",-196,"High Difference","Yes"
"155","Tomic B.","Sugita Y.",233,104,"AUS",2008,91,196,"Right-Handed","JPN",2006,70,175,"Right-Handed","No",129,"High Difference","Yes"
"156","Kyrgios N.","Ferreira Silva F.",47,185,"AUS",2013,85,193,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-138,"High Difference",NA
"157","Cressy M.","Daniel T.",172,118,"USA",2019,91,198,"Right-Handed","JPN",2010,76,191,"Right-Handed","No",54,"Medium Difference","Yes"
"158","Djokovic N.","Chardy J.",1,61,"SRB",2003,77,188,"Right-Handed","FRA",2005,75,188,"Right-Handed","Yes",-60,"Medium Difference","Yes"
"159","Shapovalov D.","Sinner J.",12,32,"CAN",2016,76,183,"Left-Handed","ITA",2018,76,188,"Right-Handed","Yes",-20,"Low Difference","No"
"160","Harris L.","Torpegaard M.",91,188,"RSA",2015,80,193,"Right-Handed","DEN",2018,84,193,"Right-Handed","Yes",-97,"High Difference","Yes"
"161","Mcdonald M.","Cecchinato M.",192,82,"USA",2016,73,178,"Right-Handed","ITA",2010,78,185,"Right-Handed","No",110,"High Difference","Yes"
"162","Monteiro T.","Martin A.",74,103,"BRA",2011,78,183,"Left-Handed","ESP",1995,73,175,"Right-Handed","Yes",-29,"Low Difference","No"
"163","O Connell C.","Struff J.L.",121,37,"AUS",2011,78,183,"Right-Handed","GER",2009,87,196,"Right-Handed","No",84,"High Difference","Yes"
"164","Coric B.","Pella G.",25,44,"CRO",2013,79,185,"Right-Handed","ARG",2007,83,185,"Left-Handed","Yes",-19,"Low Difference","No"
"165","Alcaraz C.","Van De Zandschulp B.",141,151,"ESP",2018,72,185,"Right-Handed","NED",2018,83,188,"Right-Handed","Yes",-10,"Low Difference","Yes"
"166","Ymer M.","Hurkacz H.",95,30,"SWE",2015,75,183,"Right-Handed","ITA",2013,77,188,"Right-Handed","No",65,"Medium Difference","Yes"
"167","Rublev A.","Hanfmann Y.",8,102,"RUS",2014,68,188,"Right-Handed","GER",2015,84,193,"Right-Handed","Yes",-94,"High Difference","Yes"
"168","Popyrin A.","Goffin D.",113,15,"AUS",2017,78,196,"Right-Handed","BEL",2009,68,180,"Right-Handed","No",98,"High Difference","Yes"
"169","Khachanov K.","Vukic A.",20,196,"RUS",2013,88,198,"Right-Handed","AUS",2018,85,188,"Right-Handed","Yes",-176,"High Difference","Yes"
"170","Albot R.","Bautista Agut R.",85,13,"MDA",2008,69,175,"Right-Handed","ESP",2005,76,183,"Right-Handed","No",72,"Medium Difference","Yes"
"171","Cuevas P.","Seppi A.",72,108,"URU",2004,80,180,"Right-Handed","ITA",2002,75,191,"Right-Handed","Yes",-36,"Medium Difference","Yes"
"172","Krajinovic F.","Haase R.",33,197,"SRB",2008,75,185,"Right-Handed","NED",2005,71,191,"Right-Handed","Yes",-164,"High Difference","Yes"
"173","Andujar P.","Halys Q.",59,207,"ESP",2003,76,180,"Right-Handed","FRA",2012,78,191,"Right-Handed","Yes",-148,"High Difference","Yes"
"174","Berankis R.","Nagal S.",73,144,"LTU",2007,70,175,"Right-Handed","IND",2015,69,178,"Right-Handed","Yes",-71,"Medium Difference","Yes"
"175","Medvedev D.","Pospisil V.",4,63,"RUS",2014,81,198,"Right-Handed","CAN",2007,84,193,"Right-Handed","Yes",-59,"Medium Difference","Yes"
