Rikishi,total_wins,total_losses,total_ties,avg_height_cm,avg_weight_kg,total_matches,win_percentage
Shimotori,230,272,38,188.41666666666666,146.53333333333333,540,0.42592592592592593
Shinkawa,6,9,0,178,98,15,0.4
Shinko,50,70,0,188,133.625,120,0.4166666666666667
Shinoburyu,21,24,0,172,120,45,0.4666666666666667
Shinobuyama,136,153,11,177,109,300,0.4533333333333333
Shionishiki,183,222,0,183,110,405,0.45185185185185184
Shiratayama,88,122,0,184.71428571428572,100,210,0.41904761904761906
Shishiho,62,94,9,189.1818181818182,120.45454545454545,165,0.37575757575757573
Shodai,335,300,10,182.65116279069767,156.51162790697674,645,0.5193798449612403
Shohozan,343,407,0,177,134.762,750,0.4573333333333333
Shotenro,164,196,15,188.76,152.96,375,0.43733333333333335
Shunketsu,10,20,0,177,121,30,0.3333333333333333
Sokokurai,170,190,15,185,131.16,375,0.4533333333333333
Sotairyu,4,11,0,179,119,15,0.26666666666666666
Tachihikari,7,8,0,195,152,15,0.4666666666666667
Tachikaze,4,11,0,175,90,15,0.26666666666666666
Tagaryu,321,407,7,177,136.30612244897958,735,0.43673469387755104
Taiga,64,71,0,178,140,135,0.4740740740740741
Taiho,746,144,136,187,131.2608695652174,1026,0.7270955165692008
Taiko,24,36,0,174.375,126,60,0.4
Takagenji,16,29,0,186,126.2,45,0.35555555555555557
Takahanada,135,90,0,185.46666666666667,125.86666666666666,225,0.6
Takakeisho,309,180,66,173.75675675675674,161.86486486486487,555,0.5567567567567567
Takamisakari,408,446,16,188.18620689655174,136.71724137931034,870,0.4689655172413793
Takamisugi,472,567,26,178.77464788732394,150.91549295774647,1065,0.4431924882629108
Takamiyama,683,750,22,191.34742268041236,173.50515463917526,1455,0.46941580756013745
Takanishiki,65,70,15,168,152,150,0.43333333333333335
Takanofuji,212,281,2,191.6060606060606,138,495,0.42828282828282827
Takanohama,71,79,0,188.2,182.9,150,0.47333333333333333
Takanohana,1129,510,252,184.03937007874015,127.02362204724409,1891,0.5970386039132733
Takanoiwa,130,152,18,181,145.5,300,0.43333333333333335
Takanomine,4,11,0,184,102,15,0.26666666666666666
Takanonami,647,473,8,196.12894736842105,164.1184210526316,1128,0.5735815602836879
Takanosato,464,313,80,180.9051724137931,135.18965517241378,857,0.5414235705950992
Takanosho,166,156,8,183.0909090909091,150.45454545454547,330,0.503030303030303
Takanotsuru,26,45,4,188,169.48000000000002,75,0.3466666666666667
Takanowaka,229,242,39,190.19117647058823,145.6764705882353,510,0.44901960784313727
Takanoyama,26,49,0,185.4,98.72,75,0.3466666666666667
Takarafuji,469,536,0,185.61194029850745,161.86865671641792,1005,0.4666666666666667
Takatoriki,505,500,0,180.67164179104478,144.13432835820896,1005,0.5024875621890548
Takayasu,515,406,129,186.77142857142857,164.37714285714284,1050,0.49047619047619045
Takekaze,596,678,31,170.7183908045977,143.10689655172413,1305,0.4567049808429119
Tamaarashi,79,93,8,173,116,180,0.4388888888888889
Tamaasuka,54,109,17,184.29166666666666,147.975,180,0.3
Tamahibiki,101,106,3,178,98,210,0.48095238095238096
Tamakairiki,43,75,2,183,140.75,120,0.35833333333333334
Tamakasuga,444,537,24,182.65970149253732,150.8223880597015,1005,0.4417910447761194
Tamakiyama,153,195,12,181.45833333333334,132.20833333333334,360,0.425
Tamanofuji,289,326,0,184.78048780487805,124.48780487804878,615,0.46991869918699186
Tamanonada,7,8,0,187,148.5,15,0.4666666666666667
Tamanoshima,727,634,4,183.45604395604394,144.36043956043957,1365,0.5326007326007326
Tamanoumi,300,184,26,179.8235294117647,123.3529411764706,510,0.5882352941176471
Tamarikido,65,93,7,184.63636363636363,137.6818181818182,165,0.3939393939393939
Tamaryu,195,255,0,191.05,119.6,450,0.43333333333333335
Tamawashi,586,627,2,189.46913580246914,161.0493827160494,1215,0.4823045267489712
Taniarashi,46,59,0,180.85714285714286,124.57142857142857,105,0.4380952380952381
Tatsuhikari,45,75,0,192,188.375,120,0.375
Tenkaiho,38,63,4,183.42857142857142,189.71428571428572,105,0.3619047619047619
Tenryu,108,132,0,183.75,111.75,240,0.45
Tensuiyama,23,37,0,176,123.5,60,0.38333333333333336
Terao,626,753,16,185.18279569892474,113.11290322580645,1395,0.44874551971326165
Terunofuji,336,189,105,191.66666666666666,163.33333333333334,630,0.5333333333333333
Terunoyama,59,76,0,180.5,138.11111111111111,135,0.43703703703703706
Terutsuyoshi,154,191,0,169,112.95652173913044,345,0.4463768115942029
Teruzakura,34,41,0,183.5,112.4,75,0.4533333333333333
Tobizaru,132,136,2,174.77777777777777,126.33333333333333,270,0.4888888888888889
Tochiakagi,234,252,39,180.31428571428572,133.42857142857142,525,0.44571428571428573
Tochiazuma,887,744,189,178.13333333333333,129.32845528455286,1820,0.48736263736263735
Tochifuji,64,101,0,185.36363636363637,139.0909090909091,165,0.3878787878787879
Tochihikari,655,639,11,179.08045977011494,133,1305,0.5019157088122606
Tochiisami,64,85,16,176,115.27272727272727,165,0.3878787878787879
Tochimatoi,7,23,0,178.7,171,30,0.23333333333333334
Tochinishiki,218,51,31,177,132,300,0.7266666666666667
Tochinofuji,12,18,0,177.5,181.25,30,0.4
Tochinohana,155,194,11,184.4375,144.42083333333332,360,0.4305555555555556
Tochinonada,556,628,31,187.1358024691358,162.02469135802468,1215,0.4576131687242798
Tochinoshin,550,567,68,191.81012658227849,161.93291139240506,1185,0.4641350210970464
Tochinoumi,303,163,104,177,109.92105263157895,570,0.531578947368421
Tochinowaka,631,747,32,191.11702127659575,157.43617021276594,1410,0.4475177304964539
Tochioyama,223,273,29,174.0142857142857,109.65714285714286,525,0.4247619047619048
Tochiozan,565,556,19,188.75,151.16315789473686,1140,0.4956140350877193
Tochisakae,149,188,53,184.03846153846155,153.6769230769231,390,0.382051282051282
Tochitsukasa,206,249,25,180,145.90625,480,0.42916666666666664
Tochitsurugi,186,234,0,170.25,112.53571428571429,420,0.44285714285714284
Toda,166,179,0,177,127.47826086956522,345,0.4811594202898551
Togashi,25,20,0,188,139,45,0.5555555555555556
Toki,249,303,18,189.43421052631578,170.2736842105263,570,0.4368421052631579
Tokibayama,237,301,2,178.0027777777778,123.75,540,0.4388888888888889
Tokinishiki,105,120,15,193,117,240,0.4375
Tokitenku,431,494,20,186.20634920634922,143.36825396825398,945,0.4560846560846561
Tokitsunada,127,155,3,187.8421052631579,175.42105263157896,285,0.4456140350877193
Tokitsuumi,322,385,43,184.22,132.122,750,0.42933333333333334
Tokitsuyama,169,176,15,182,137,360,0.46944444444444444
Tokusegawa,48,42,0,189.57142857142858,155.94285714285715,90,0.5333333333333333
Tokushoryu,222,273,0,182,171.25454545454545,495,0.4484848484848485
Tomoefuji,112,117,26,191.47058823529412,147.11764705882354,255,0.4392156862745098
Tomokaze,35,28,12,183,168,75,0.4666666666666667
Tomonohana,104,121,15,173.625,113.3125,240,0.43333333333333335
Toryu,330,402,18,179.32,149.72,750,0.44
Tosanoumi,569,615,16,186.15,153.825,1200,0.4741666666666667
Tosayutaka,90,111,24,178.73333333333332,140.20000000000002,225,0.4
Towanoyama,0,1,14,192,202,15,0
Toyohibiki,347,403,30,184.75,176.29038461538462,780,0.44487179487179485
Toyokuni,249,293,13,176.09459459459458,130.05405405405406,555,0.4486486486486487
Toyonoshima,493,524,48,169.61971830985917,141.7718309859155,1065,0.4629107981220657
Toyonoumi,150,180,0,188.5,186.4090909090909,330,0.45454545454545453
Toyozakura,97,158,0,182.5,137.14117647058825,255,0.3803921568627451
Tsunenishiki,166,223,1,174,108,390,0.42564102564102563
Tsunenoyama,29,46,0,182,116,75,0.38666666666666666
Tsurugamine,440,483,22,177,113.92063492063492,945,0.4656084656084656
Tsurugidake,4,11,0,180,161.5,15,0.26666666666666666
Tsurugisho,96,117,12,182.66666666666666,178.66666666666666,225,0.4266666666666667
Udagawa,207,258,0,179,110,465,0.44516129032258067
Ura,117,110,28,174.11764705882354,129.23529411764707,255,0.4588235294117647
Ushiomaru,68,92,20,176.29166666666666,167.08333333333334,180,0.37777777777777777
Wajima,620,213,85,184.48548387096776,122.66129032258064,918,0.6753812636165577
Wakabayama,114,134,7,173,94,255,0.4470588235294118
Wakachichibu,367,398,0,175,149.05882352941177,765,0.4797385620915033
Wakafutase,238,302,0,176.07222222222222,143.41666666666666,540,0.44074074074074077
Wakahaguro,363,336,36,176,150,735,0.49387755102040815
Wakahanada,129,104,7,179.5,118.125,240,0.5375
Wakajishi,200,262,3,174.24193548387098,122.51612903225806,465,0.43010752688172044
Wakakirin,20,25,0,185.83333333333334,127.8,45,0.4444444444444444
Wakakoma,18,27,0,170,83,45,0.4
Wakakosho,13,17,0,184.5,176,30,0.43333333333333335
