Qual.,Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
0,Alexis Matheney,Buffalo,CF,0.218,0.365,0.25,0.615,45,156,124,20,27,2,1,0,10,5,25,30,5,0
0,Alexis Phillips,Albany,CF,0.257,0.409,0.339,0.748,39,137,109,34,28,3,3,0,10,5,23,25,14,2
0,Alexis Roberson,Delaware State,DP,0.2,0.304,0.267,0.571,30,69,60,5,12,1,0,1,7,1,8,8,0,1
0,Alexis Strother,Morehead State,1B,0.241,0.333,0.333,0.667,43,126,108,4,26,7,0,1,10,3,13,30,1,1
0,Alexis Wayland,Longwood,C,0.312,0.338,0.538,0.876,58,198,186,26,58,12,3,8,38,1,8,22,0,0
0,Ali Weekley,Dayton,2B,0.333,0.41,0.368,0.778,37,111,87,12,29,0,0,1,10,8,4,11,0,0
0,Alia Logoleo,Clemson,SS,0.287,0.352,0.585,0.937,59,183,164,31,47,4,0,15,46,3,14,28,2,2
0,Alicia Peters,Green Bay,3B,0.383,0.507,0.783,1.29,48,146,115,29,44,10,0,12,26,4,25,24,5,0
0,Alicia Veltri,Belmont,DP,0.277,0.438,0.455,0.894,42,130,101,15,28,3,0,5,18,3,26,35,0,0
0,Alise Hale,Fort Wayne,2B,0.214,0.348,0.375,0.723,46,137,112,24,24,7,1,3,8,6,17,33,6,4
0,Alison Guckin,Norfolk State,LF,0.268,0.368,0.349,0.717,54,177,149,30,40,7,1,1,15,2,22,24,38,5
0,Alison Seng,Boise State,1B,0.303,0.37,0.62,0.99,50,164,142,30,43,12,0,11,44,6,11,20,0,0
0,Aliya Catanzarita,Hofstra,DP,0.227,0.309,0.299,0.608,41,110,97,9,22,4,0,1,7,0,12,19,0,0
0,Aliya Ewell,Morgan State,RF,0.302,0.381,0.497,0.878,46,169,149,33,45,8,6,3,25,2,17,21,15,3
0,Aliyah Huerta-Leipner,Boston University,2B,0.244,0.329,0.386,0.714,51,147,127,15,31,8,2,2,20,3,13,22,5,3
0,Aliyah Binford,Baylor,SS,0.316,0.383,0.51,0.893,54,175,155,25,49,15,0,5,26,0,18,26,10,2
0,Allee Bunker,Oregon,2B,0.361,0.391,0.594,0.985,52,192,180,36,65,10,1,10,41,0,10,7,12,3
0,Alli Richmond,Binghamton,2B,0.297,0.316,0.534,0.85,46,158,148,21,44,15,1,6,27,2,4,27,3,0
0,Allie Cummins,Miami (OH),C,0.33,0.433,0.644,1.077,58,224,188,54,62,14,0,15,43,1,34,27,3,0
0,Allie Englant,Ohio,CF,0.366,0.438,0.523,0.96,44,177,153,35,56,12,3,2,18,3,18,12,27,4
0,Allie Herron,Saint Louis,RF,0.171,0.2,0.291,0.491,50,166,158,16,27,9,2,2,17,1,5,39,7,0
0,Allie Taylor,Iona,LF,0.238,0.319,0.349,0.668,40,145,126,18,30,4,2,2,14,3,12,23,7,1
0,Allison Heffley,Harvard,C,0.293,0.393,0.48,0.873,41,147,123,16,36,5,3,4,19,2,19,24,3,1
0,Allison Yoder,South Dakota State,C,0.33,0.421,0.532,0.953,42,127,109,17,36,9,2,3,22,1,16,19,1,3
0,Ally Jones,Villanova,C,0.226,0.281,0.458,0.74,54,167,155,18,35,9,0,9,28,1,11,24,1,0
0,Ally Kurland,Penn State,DP,0.303,0.361,0.674,1.035,54,194,178,29,54,18,0,16,44,0,16,33,0,0
0,Ally Miklesh,Wisconsin,CF,0.325,0.424,0.407,0.83,49,145,123,26,40,4,0,2,20,1,20,26,11,2
0,Ally Nodohara,UC Santa Barbara,RF,0.252,0.287,0.363,0.65,48,143,135,18,34,10,1,1,17,2,5,17,2,0
0,Ally Shipman,Alabama,C,0.35,0.429,0.571,0.999,56,190,163,40,57,12,0,8,46,10,14,12,5,0
0,Ally Vonfeldt,Kansas City,SS,0.27,0.331,0.447,0.778,46,157,141,26,38,9,2,4,16,0,14,22,1,0
0,Allyson Ferreira,Santa Clara,SS,0.271,0.319,0.403,0.722,42,146,129,19,35,8,3,1,16,1,8,18,4,0
0,Alondra Mejia,Sacramento State,1B,0.286,0.36,0.401,0.761,49,164,147,19,42,6,1,3,24,2,15,17,0,0
0,Aly Harrell,Marshall,1B,0.437,0.606,0.789,1.395,53,203,142,41,62,11,0,13,38,17,44,11,1,0
0,Aly Packish,Cleveland State,LF,0.16,0.217,0.237,0.453,45,155,131,12,21,4,0,2,10,2,8,26,1,0
0,Alycia Flores,Boise State,RF,0.375,0.413,0.596,1.008,47,155,136,34,51,9,0,7,34,5,8,9,2,0
0,Alynah Torres,Arizona State,SS,0.339,0.409,0.707,1.116,54,199,174,40,59,14,1,16,40,5,17,12,0,0
0,Alyssa Barela,Evansville,C,0.212,0.317,0.346,0.663,43,121,104,9,22,5,0,3,13,0,16,23,0,0
0,Alyssa Cacini,Dayton,1B,0.291,0.354,0.489,0.843,46,163,141,26,41,5,1,7,28,1,15,37,3,1
0,Alyssa Dean,Memphis,2B,0.262,0.35,0.333,0.683,50,151,126,14,33,6,0,1,11,5,12,12,3,0
0,Alyssa Gonzalez,Sacred Heart,C,0.255,0.379,0.552,0.93,55,177,145,18,37,5,1,12,28,1,29,35,0,1
0,Alyssa Graham,San Jose State,3B,0.337,0.429,0.562,0.991,51,196,169,36,57,11,3,7,26,0,27,20,6,0
0,Alyssa Hernandez,Cal State Fullerton,LF,0.258,0.283,0.355,0.638,47,100,93,9,24,4,1,1,14,3,1,17,0,0
0,Alyssa Kramer,Western Michigan,3B,0.273,0.304,0.448,0.752,53,162,154,23,42,6,0,7,22,3,4,34,1,0
0,Alyssa Podhurcak,BYU,2B,0.324,0.435,0.546,0.981,44,138,108,26,35,11,2,3,25,2,23,5,4,1
0,Alyssa Wenzel,Northern Colorado,RF,0.314,0.344,0.407,0.751,43,131,118,19,37,7,2,0,22,2,5,18,6,0
0,Alyssa Wesley,Arkansas-Pine Bluff,LF,0.276,0.317,0.328,0.645,42,128,116,16,32,4,1,0,2,1,7,19,8,1
