Name,G,ST,MIN,T,TA,GLS,GK%,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
75S. Cobbo(BRI),15,15,"1,200",14,0,0,-,0,56,222,"2,125",11,66,8,5,48,69,24,22,5,0,0
75L. Collins(SYD),15,15,819,1,0,0,-,0,4,180,"1,621",1,17,7,3,22,453,33,2,2,0,0
75L. Croker(MAN),15,15,"1,028",4,1,0,-,0,16,42,363,4,11,9,20,658,503,46,7,4,0,0
75M. Fotuaika(GLD),15,13,912,0,0,0,-,0,0,222,"2,115",0,23,12,0,0,445,22,5,5,0,0
75B. Garlick(MEL),15,1,365,1,0,0,-,0,4,63,473,1,8,4,0,0,232,16,5,1,0,0
75R. Garrick(MAN),15,15,"1,159",9,5,49,81,0,134,222,"1,916",17,55,11,7,85,73,26,11,3,0,0
75C. Graham(SOU),15,15,"1,202",14,5,0,-,0,56,200,"1,895",17,49,7,3,28,235,41,13,3,0,0
75H. Grant(MEL),15,15,"1,179",5,7,0,-,0,20,88,793,4,28,13,48,"1,080",619,57,21,12,0,0
75P. Haas(BRI),15,15,888,1,0,0,-,0,4,266,"2,466",2,67,33,0,0,356,5,2,3,0,0
75P. Hiku(NQL),15,15,"1,191",0,4,0,-,0,0,221,"1,866",4,31,9,4,54,213,38,11,9,0,0
75V. Holmes(NQL),15,15,"1,205",8,5,59,81,1,152,229,"2,299",12,64,3,7,50,103,28,25,4,0,0
75A. Hopoate(CBR),15,15,"1,204",8,0,0,-,0,32,262,"2,189",7,43,2,1,15,60,23,8,3,0,0
75B. Hunt(STI),15,15,"1,200",6,14,0,-,0,24,75,649,5,36,20,180,"5,173",244,49,17,7,0,0
75C. Jensen(BRI),15,4,523,0,0,0,-,0,0,156,"1,385",0,8,0,0,0,293,12,2,3,0,0
75A. Johnston(SOU),15,16,"1,276",14,0,0,-,0,56,180,"1,615",23,49,7,5,29,62,11,13,2,0,0
75I. Katoa(DOL),15,15,"1,129",1,7,0,-,0,4,50,331,1,10,3,126,"3,969",245,52,9,1,0,0
75M. King(CBY),15,13,797,0,0,0,-,0,0,166,"1,452",1,11,6,0,0,508,33,6,3,0,0
75B. Lawrie(STI),15,14,773,2,0,0,-,0,8,205,"1,542",2,26,5,0,0,400,32,0,7,0,0
75M. Leota(PEN),15,15,617,1,0,0,-,0,4,174,"1,501",1,24,11,0,0,314,23,6,7,0,0
75J. Liddle(STI),15,9,786,3,4,0,-,0,12,56,613,6,22,5,1,37,424,35,3,4,0,0
75I. Liu(GLD),15,15,779,1,2,0,-,0,4,109,988,1,11,0,0,0,341,21,10,5,0,0
75Z. Lomax(STI),15,15,"1,200",5,3,46,66,0,112,221,"1,778",3,27,3,8,111,221,31,18,6,0,0
75J. McLean(NQL),15,15,690,1,0,0,-,0,4,162,"1,397",1,8,1,1,2,346,11,2,4,0,0
75N. Meaney(MEL),15,15,"1,182",8,7,55,79,0,142,189,"1,869",6,44,10,3,68,66,11,10,0,0,0
75I. Papali'i(WST),15,15,"1,160",1,0,0,-,0,4,184,"1,584",2,40,12,1,19,432,28,10,5,0,0
75F. Pole(WST),15,11,757,2,0,0,-,0,8,142,"1,231",1,15,4,1,0,318,14,7,6,0,0
75D. Saifiti(NEW),15,14,764,0,1,0,-,0,0,188,"1,786",0,9,7,0,0,310,26,2,2,0,0
75S. Sorensen(PEN),15,12,947,3,4,0,-,0,12,178,"1,443",7,20,23,2,22,408,23,4,3,0,0
75J. Stimson(GLD),15,15,987,1,0,0,-,0,4,88,615,2,14,0,0,0,430,51,5,6,0,0
75J. Taunoa-Brown(NQL),15,1,426,0,0,0,-,0,0,96,849,0,5,0,0,0,259,10,1,3,0,0
75A. Twal(WST),15,2,669,1,0,0,-,0,4,163,"1,376",0,18,10,0,0,429,7,3,5,1,0
75S. Utoikamanu(WST),15,14,700,2,0,0,-,0,8,166,"1,457",2,27,5,0,0,343,21,7,8,0,0
75C. Waddell(CBY),15,8,833,2,0,0,-,0,8,176,"1,341",1,15,4,2,12,376,49,9,5,1,0
75C. Walker(SOU),15,16,"1,282",8,20,0,-,0,32,71,585,9,31,12,118,"3,260",297,42,17,5,0,0
75C. Welch(MEL),15,15,754,0,0,0,-,0,0,183,"1,448",0,13,22,0,0,446,43,5,8,1,0
75E. Whitehead(CBR),15,15,"1,101",2,0,0,-,0,8,119,888,2,12,14,0,0,474,50,8,6,0,0
75J. Wighton(CBR),15,15,"1,194",6,7,0,-,0,24,92,773,5,30,10,86,"2,709",245,42,26,9,1,0
75J. Williams(CRO),15,0,414,1,0,0,-,0,4,123,"1,161",3,25,3,0,0,268,12,5,5,0,0
75D. Young(NEW),15,15,"1,201",16,2,0,-,0,64,193,"1,860",18,52,6,4,76,31,20,22,1,1,0
119J. Aloiai(MAN),14,10,573,0,0,0,-,0,0,147,"1,252",0,15,0,0,0,283,6,7,4,0,0
119J. Bromwich(DOL),14,14,651,1,0,0,-,0,4,136,"1,200",1,8,7,0,0,344,31,3,5,0,0
119E. Butcher(SYD),14,14,"1,011",1,1,0,-,0,4,122,876,2,14,4,2,17,497,34,12,5,1,0
119N. Butcher(SYD),14,13,"1,085",2,2,0,-,0,8,123,981,2,12,5,0,0,623,23,9,9,1,0
119D. Cherry-Evans(MAN),14,14,"1,127",7,16,7,87,1,43,88,817,2,32,9,210,"6,357",252,24,15,4,0,0
119E. Clark(GLD),14,1,488,0,0,0,-,0,0,82,809,1,12,4,0,0,244,18,1,3,0,0
119X. Coates(MEL),14,14,"1,100",9,2,0,-,0,36,162,"1,478",9,28,2,11,106,43,18,13,3,0,0
119S. Crichton(PEN),14,14,"1,114",8,3,20,83,0,72,157,"1,500",5,42,3,7,63,196,25,11,7,1,0
