Name,G,ST,MIN,T,TA,GLS,GK%,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
233K. Koloamatangi(SOU),11,12,915,4,1,0,-,0,16,162,"1,425",4,29,9,0,0,328,34,6,3,0,0
233T. Koula(MAN),11,11,869,2,0,0,-,0,8,140,"1,311",2,32,4,2,19,126,33,10,2,1,0
233L. Miller(NEW),11,11,891,2,6,23,69,0,54,201,"1,666",4,58,6,6,60,37,14,19,6,0,0
233G. Neame(NQL),11,2,545,0,0,0,-,0,0,126,"1,133",0,11,1,0,0,272,29,3,3,0,0
233D. Nofoaluma(WST),11,11,852,4,0,0,-,0,16,163,"1,301",5,44,19,2,9,59,16,9,1,0,0
233J. Paulo(SYD),11,11,880,6,1,0,-,0,24,164,"1,463",8,20,2,5,67,34,14,8,2,0,0
233K. Ponga(NEW),11,10,753,4,11,11,100,0,38,105,"1,064",9,50,9,30,849,77,24,10,4,0,0
233J. Saab(MAN),11,11,880,6,2,0,-,0,24,105,"1,138",9,17,3,2,41,59,19,13,3,0,0
233J. Saifiti(NEW),11,3,463,0,0,0,-,0,0,129,"1,145",0,4,1,0,0,236,15,4,3,0,1
233A. Schoupp(GLD),11,11,880,2,0,0,0,0,8,137,"1,188",1,28,7,0,0,127,23,7,4,0,0
233B. Smith(SYD),11,8,608,2,2,0,-,0,8,48,475,3,22,5,13,481,287,41,8,4,1,0
233T. Tatola(SOU),11,11,515,0,0,0,-,0,0,146,"1,346",0,7,0,0,0,274,16,3,1,0,0
233T. Trbojevic(MAN),11,11,879,10,7,0,-,0,40,180,"1,762",8,40,14,3,41,36,14,17,2,0,0
233D. Tupou(SYD),11,11,849,4,1,0,-,0,16,199,"1,902",3,19,7,0,0,51,12,9,0,0,0
233J. Wallace(DOL),11,3,425,2,1,0,-,0,8,108,889,2,9,23,0,0,212,22,7,5,0,0
256J. Addo-Carr(CBY),10,10,735,8,1,0,-,0,32,98,"1,075",8,33,5,9,153,45,13,5,1,0,0
256J. Bula(WST),10,10,800,3,4,0,-,0,12,175,"1,553",5,38,13,2,22,50,9,10,1,0,0
256M. Doorey(PAR),10,4,421,1,0,0,-,0,4,65,534,1,12,1,0,0,143,11,0,1,0,0
256T. Hazelton(CRO),10,0,183,2,0,0,-,0,8,72,683,4,11,1,0,0,120,8,1,1,0,0
256E. Kosi(WAR),10,10,750,5,0,0,-,0,20,124,"1,070",4,12,2,0,0,33,16,6,1,0,0
256K. Lawton(MAN),10,1,272,0,0,0,-,0,0,28,234,0,5,3,2,9,152,2,5,3,0,0
256K. Mann(NEW),10,4,433,2,1,0,-,0,8,59,490,2,11,4,0,0,259,20,1,0,0,0
256R. Matterson(PAR),10,6,650,0,3,0,-,0,0,140,"1,268",1,16,10,3,15,313,16,3,3,0,0
256D. Moale(SOU),10,2,317,0,0,0,-,0,0,98,791,0,5,0,0,0,163,4,0,2,0,0
256J. Nanai(NQL),10,9,740,5,0,0,-,0,20,104,934,4,24,11,0,0,249,32,5,5,2,0
256T. Niu(DOL),10,10,800,5,0,0,-,0,20,159,"1,278",7,25,6,2,35,23,16,11,1,0,0
256K. Palasia(BRI),10,3,318,0,0,0,-,0,0,80,661,0,8,1,0,0,162,9,6,0,0,0
256T. Pangai Jnr(CBY),10,10,464,1,0,0,-,0,4,127,"1,074",0,10,20,0,0,204,31,8,3,0,0
256D. Suluka-Fifita(SOU),10,1,246,0,0,0,-,0,0,90,799,0,4,0,0,0,145,15,0,3,0,0
256R. Sutton(CBY),10,7,401,0,0,0,-,0,0,81,616,0,5,0,0,0,277,21,4,7,0,0
256T. Talau(WST),10,8,605,1,1,0,-,0,4,84,670,2,17,1,0,0,79,23,8,0,0,0
256J. Trbojevic(MAN),10,10,770,0,0,0,-,0,0,108,779,0,4,0,1,6,381,15,3,5,0,0
256K. Tuilagi(MAN),10,10,630,1,1,0,-,0,4,81,659,1,11,9,0,0,200,29,5,4,0,0
256D. Watene-Zelezniak(WAR),10,10,787,12,1,0,-,0,48,155,"1,470",13,43,6,3,27,28,18,9,1,0,0
275C. Allan(SYD),9,8,672,1,1,0,-,0,4,96,781,7,18,2,2,52,77,13,7,0,0,0
275S. Blore(WST),9,4,445,1,0,0,-,0,4,65,593,3,12,20,1,8,193,9,3,1,0,0
275A. Brimson(GLD),9,9,619,2,9,0,-,0,8,93,"1,002",5,32,1,9,56,39,6,10,0,0,0
275A. Crichton(SYD),9,3,428,1,0,0,-,0,4,89,641,1,14,5,0,0,203,16,8,3,0,0
275J. Fifita(GLD),9,9,720,2,0,0,-,0,8,103,929,4,20,4,0,0,103,18,4,0,0,0
275K. Flanagan(CBY),9,9,715,1,1,7,87,0,18,53,305,1,7,6,37,988,196,14,5,3,1,0
275C. Harawira-Naera(CBR),9,6,502,0,1,2,100,0,4,55,465,0,7,13,1,0,213,18,1,3,0,0
275F. Kaufusi(DOL),9,9,641,0,0,0,-,0,0,90,684,0,6,0,0,0,194,14,6,7,2,0
275M. Lodge(SYD),9,4,297,0,0,0,-,0,0,91,724,0,26,13,0,0,148,9,9,1,0,0
275H. Luki(NQL),9,7,464,2,2,0,-,0,8,78,637,2,18,9,0,0,197,19,3,2,0,0
275S. Russell(PAR),9,9,720,5,0,0,-,0,20,119,978,7,24,0,2,38,87,22,6,1,0,0
275J. Schuster(MAN),9,9,718,1,10,0,-,0,4,31,174,0,8,7,39,870,135,20,8,1,0,0
275T. Sims(MEL),9,3,272,1,0,0,-,0,4,65,535,1,6,1,0,0,122,5,3,1,0,0
275J. Taumalolo(NQL),9,7,463,0,0,0,-,0,0,116,"1,269",1,16,1,0,0,180,17,2,0,0,0
275C. Tuipulotu(MAN),9,9,718,2,0,0,-,0,8,135,"1,080",5,16,2,0,0,30,15,8,0,0,0
275K. Weekes(MAN),9,4,406,1,2,0,-,0,4,45,426,1,7,1,2,22,91,13,3,2,1,0
275T. Wishart(MEL),9,1,226,1,0,0,-,0,4,37,312,0,5,2,1,14,61,18,2,1,0,0
292J. Arrow(SOU),8,4,406,0,0,0,-,0,0,92,793,0,16,5,1,0,213,13,6,2,0,0
292A. Davey(PAR),8,6,410,2,0,0,-,0,8,67,546,1,10,3,0,0,170,8,3,3,0,0
292T. Eisenhuth(MEL),8,1,298,0,0,0,-,0,0,59,503,1,10,8,1,3,176,2,3,5,0,0
292A. Elliott(NEW),8,5,408,0,0,0,-,0,0,84,562,0,10,7,0,0,224,30,2,3,0,0
292I. Fa'asuamaleaui(GLD),8,1,242,1,0,0,-,0,4,53,402,1,3,1,0,0,134,10,0,3,0,0
292C. Johns(MAN),8,7,564,0,0,0,-,0,0,14,82,0,2,2,19,297,122,20,4,3,0,0
292A. MacDonald(MEL),8,0,265,0,0,0,-,0,0,58,481,0,2,0,0,0,175,11,2,1,0,0
292A. Mariota(CBR),8,2,246,1,0,0,-,0,4,51,463,1,7,2,0,0,112,6,3,2,0,0
292L. Martin(PEN),8,5,439,1,2,0,-,0,4,82,718,3,25,10,0,0,182,23,10,0,0,0
292T. May(SYD),8,0,235,0,0,0,-,0,0,65,557,0,3,3,0,0,138,1,2,0,0,0
292T. Milne(SOU),8,9,719,2,1,0,-,0,8,139,"1,186",7,20,7,0,0,40,12,6,1,0,0
292K. Morrin(CBY),8,2,295,1,0,0,-,0,4,54,436,1,9,1,0,0,169,25,5,0,0,0
292B. Naden(WST),8,8,608,2,1,0,-,0,8,84,764,3,10,7,0,0,84,24,11,3,1,0
292T. Peachey(PEN),8,6,518,6,1,0,-,0,24,108,847,4,29,9,6,87,83,19,4,6,0,0
292T. Sipley(MAN),8,5,306,0,0,0,-,0,0,95,819,1,16,8,1,29,156,3,0,6,1,0
292B. Trbojevic(MAN),8,1,159,2,1,0,-,0,8,41,315,3,9,2,0,0,40,6,2,0,0,0
292S. Tupouniua(SYD),8,4,359,1,1,0,-,0,4,56,477,1,8,0,0,0,188,13,5,4,0,0
292J. Vuna(GLD),8,0,169,1,0,0,-,0,4,32,277,0,2,0,0,0,82,7,1,1,0,0
310F. Baker(SYD),7,2,196,0,0,0,-,0,0,43,361,0,5,2,0,0,110,10,1,2,0,0
310N. Cotric(CBR),7,4,372,1,0,0,-,0,4,55,369,2,13,1,2,17,13,4,2,1,1,0
310K. Donoghoe(DOL),7,1,175,0,0,0,-,0,0,17,174,0,2,0,0,0,68,9,2,1,0,0
310M. Dunn(NQL),7,2,153,0,0,0,-,0,0,25,214,0,2,0,0,0,94,6,2,2,0,0
310H. Edwards(CBY),7,4,405,1,0,0,-,0,4,51,366,1,3,3,0,0,231,20,0,1,0,0
310M. Eisenhuth(PEN),7,6,237,0,0,0,-,0,0,50,377,0,1,4,0,0,141,10,0,0,0,0
310K. Finefeuiaki(NQL),7,0,161,2,0,0,-,0,8,31,300,2,9,0,0,0,68,3,0,0,0,0
310J. Gosiewski(NQL),7,6,486,2,0,0,-,0,8,65,467,1,5,0,1,11,190,21,4,3,0,0
310J. Hunt(STI),7,2,170,1,0,0,-,0,4,26,195,0,6,1,0,0,103,11,0,0,0,0
310B. Jones(NEW),7,1,225,0,0,0,-,0,0,32,248,0,4,0,0,0,129,5,3,0,0,0
310C. Oates(BRI),7,7,524,0,2,0,-,0,0,114,"1,236",7,29,1,4,66,17,11,6,1,0,0
310K. Oloapu(CBY),7,4,440,0,1,0,-,0,0,27,176,1,13,3,21,638,147,19,2,2,0,0
310A. Pene(MEL),7,0,191,0,0,0,-,0,0,58,501,0,3,1,0,0,111,9,1,1,1,0
310J. Reynolds(CBY),7,3,243,0,1,0,-,0,0,9,71,0,2,4,9,249,89,17,2,10,0,0
310A. Seyfarth(WST),7,0,158,0,1,0,-,0,0,33,262,0,2,3,0,0,127,4,0,0,0,0
310C. Staines(WST),7,7,560,2,1,0,-,0,8,109,932,1,8,9,1,5,14,7,3,0,0,0
310M. Teague(DOL),7,1,205,0,0,0,-,0,0,35,278,0,1,1,0,0,135,7,4,0,0,0
310N. Whyte(SYD),7,2,259,0,0,0,-,0,0,62,593,0,11,3,0,0,132,6,1,1,0,0
310A. Woods(MAN),7,1,251,0,0,0,-,0,0,65,458,0,1,4,0,0,149,4,3,1,0,0
329M. Barnett(WAR),6,4,348,0,0,0,-,0,0,78,645,2,5,1,0,0,172,13,5,4,1,0
329N. Brown(SYD),6,1,241,0,0,0,-,0,0,44,369,0,3,7,0,0,116,10,2,1,0,0
329T. Chester(NQL),6,3,296,3,0,0,-,0,12,62,496,2,12,4,1,5,31,7,1,1,0,0
329A. Doueihi(WST),6,6,472,1,1,12,75,0,28,63,626,2,20,6,51,"1,420",65,14,9,3,0,0
329K. Haas(GLD),6,2,278,2,0,0,-,0,8,20,171,1,5,3,0,0,101,11,0,2,0,0
329M. Harper(MAN),6,6,490,0,1,0,-,0,0,80,601,3,14,10,2,12,109,17,4,1,0,0
329S. Lane(PAR),6,6,419,0,0,0,-,0,0,81,630,0,6,12,0,0,124,8,6,0,0,0
329K. Leeming(GLD),6,0,142,1,0,0,-,0,4,10,127,1,5,1,0,0,65,9,1,0,0,0
329L. Leilua(NQL),6,5,400,2,0,0,-,0,8,65,602,0,7,5,0,0,119,7,4,0,0,0
329F. Lussick(WAR),6,6,327,0,0,0,-,0,0,19,158,0,3,2,4,50,188,15,4,2,0,0
329A. Milford(DOL),6,4,318,1,3,0,-,0,4,23,189,1,10,4,59,"1,726",55,12,6,1,1,0
329S. Mitchell(SOU),6,0,228,0,0,0,-,0,0,67,605,0,5,1,0,0,135,9,1,1,0,0
329Z. Musgrove(STI),6,2,175,1,0,0,-,0,4,54,445,1,4,3,0,0,79,8,2,0,0,0
329O. Ogden(PAR),6,2,198,1,0,0,-,0,4,72,710,1,7,2,0,0,86,6,2,1,1,0
329S. O'Sullivan(DOL),6,6,455,0,5,0,-,0,0,25,159,0,2,3,63,"1,795",140,10,7,4,1,0
329F. Pele(CBY),6,0,110,0,0,0,-,0,0,38,363,0,11,0,0,0,38,3,2,0,0,0
329J. Pezet(MEL),6,6,480,2,6,2,66,0,12,13,128,1,4,3,40,963,99,20,9,2,0,0
329T. Rudolf(CRO),6,6,316,0,0,0,-,0,0,75,639,0,10,4,0,0,147,9,2,0,0,0
329B. Smith(SYD),6,6,480,0,1,0,-,0,0,77,617,2,20,8,0,0,111,14,8,7,0,0
329H. Smith-Shields(CBR),6,6,475,0,0,0,-,0,0,67,560,1,6,1,2,11,59,14,8,3,0,0
329B. Taaffe(SOU),6,5,414,1,2,18,66,0,40,58,481,1,9,2,1,9,25,6,4,0,0,0
329V. Te Whare(DOL),6,4,377,4,1,0,-,0,16,55,507,4,19,0,0,0,60,10,3,0,0,0
329J. Tevaga(WAR),6,4,310,1,0,0,-,0,4,76,603,1,8,4,0,0,186,11,2,3,0,0
329I. Tu'itupou Thompson(SOU),6,6,465,1,1,0,-,0,4,80,775,3,23,2,0,0,24,5,14,0,0,0
329S. Verrills(GLD),6,5,402,1,3,0,-,0,4,15,146,1,2,0,2,22,203,17,2,2,0,0
329S. Walker(SYD),6,6,480,1,2,17,73,0,38,32,275,3,10,1,67,"2,136",121,9,10,7,0,0
355R. Berry(WAR),5,5,334,1,0,0,-,0,4,32,274,0,5,1,0,0,74,4,2,2,0,0
355W. Blake(PAR),5,5,407,0,0,0,-,0,0,56,402,0,7,2,0,0,44,15,5,1,0,0
355J. Brailey(NEW),5,5,326,0,0,0,-,0,0,17,157,0,0,1,2,43,181,3,3,1,0,0
355J. Cogger(PEN),5,4,392,0,5,5,55,1,11,23,179,0,5,5,77,"2,271",98,8,3,4,0,0
355H. Dunster(PAR),5,5,400,0,0,0,-,0,0,53,418,1,2,1,0,0,20,9,5,0,0,0
355S. Fainu(MAN),5,1,267,0,1,0,-,0,0,43,311,0,4,2,0,0,90,10,1,2,0,0
355L. Garner(PEN),5,3,200,0,0,0,-,0,0,33,267,0,11,1,0,0,104,4,1,1,0,0
355J. Johns(NEW),5,3,209,1,0,0,-,0,4,27,204,1,6,2,1,10,122,6,2,1,0,0
355T. Martin(WAR),5,5,362,0,2,0,-,0,0,19,180,1,2,3,7,147,88,8,3,1,0,0
355L. Metcalf(WAR),5,5,400,2,1,0,-,0,8,39,433,3,11,1,11,180,96,9,3,1,0,0
355J. Murchie(PAR),5,0,138,0,0,0,-,0,0,37,292,0,1,0,0,0,75,2,2,2,0,0
355J. Pauga(SYD),5,5,400,2,0,0,-,0,8,81,691,1,29,1,1,23,21,2,6,1,0,0
355B. Piakura(BRI),5,2,291,1,0,0,-,0,4,33,292,2,12,0,0,0,92,18,2,2,0,0
355S. Smith(SYD),5,3,282,0,3,6,75,0,12,13,83,1,3,2,33,934,87,13,4,2,0,0
355B. Trindall(CRO),5,3,256,1,4,10,90,0,24,6,22,0,1,1,38,"1,249",48,10,3,1,0,0
355V. Vailea(WAR),5,5,400,1,1,0,-,0,4,74,556,1,10,2,0,0,47,14,3,0,0,0
371F. Brown(CBY),4,1,138,0,0,0,-,0,0,30,220,0,2,1,0,0,64,5,0,0,0,0
371B. Condon(MAN),4,0,81,1,0,0,-,0,4,23,163,1,3,1,0,0,39,9,0,1,0,0
371P. Faamausili(DOL),4,3,117,0,0,0,-,0,0,18,156,0,2,1,0,0,69,5,2,0,0,0
371M. Frawley(CBR),4,3,245,1,2,0,-,1,6,9,78,1,5,3,25,548,43,12,3,0,0,0
371S. Hughes(CBY),4,1,56,0,0,0,-,0,0,14,140,0,2,0,0,0,37,1,0,2,0,0
371H. Hunt(NEW),4,4,320,1,0,0,-,0,4,58,420,1,5,2,0,0,11,3,5,0,0,0
371J. Jolliffe(GLD),4,2,138,0,0,0,-,0,0,46,439,0,4,0,0,0,69,9,1,1,0,0
371V. Kikau(CBY),4,4,309,0,1,0,-,0,0,32,258,0,4,6,1,0,101,12,3,3,1,0
371L. Knight(SOU),4,1,104,0,0,0,-,0,0,30,243,0,2,2,1,8,57,2,0,1,0,0
371D. Laurie(WST),4,3,248,1,0,0,-,0,4,49,428,1,12,2,4,64,30,2,7,0,0,0
371D. Levi(CBR),4,4,125,0,1,0,-,0,0,8,76,0,2,2,1,2,71,6,1,2,0,0
371D. Lucas(NEW),4,3,260,0,0,0,-,0,0,23,169,0,2,1,0,0,138,9,1,2,0,0
371K. Rajab(CBY),4,1,146,0,0,0,-,0,0,11,98,1,4,2,4,126,40,6,1,2,0,0
371S. Valemei(NQL),4,4,329,5,1,0,-,0,20,69,605,5,16,2,0,0,16,7,1,1,0,0
385G. Anderson(MEL),3,1,123,0,0,0,-,0,0,18,147,0,0,0,0,0,16,8,1,0,0,0
385J. Arthur(MAN),3,2,186,0,0,0,-,0,0,9,64,0,1,0,20,661,46,4,3,1,0,0
385D. Asi(PAR),3,3,240,0,4,0,-,0,0,16,150,2,4,2,25,585,55,6,4,0,0,0
385B. Burns(STI),3,3,221,0,0,0,-,0,0,33,298,1,8,1,0,0,86,11,4,2,0,0
385B. Burns(CBY),3,3,240,1,2,0,-,0,4,56,421,1,14,13,1,9,9,6,3,2,0,0
385D. Casey(CBY),3,3,240,1,0,0,-,0,4,22,163,2,2,0,0,0,18,5,7,1,0,0
385T. Da Silva(WST),3,0,65,0,0,0,-,0,0,5,60,0,1,0,0,0,58,10,0,0,0,0
385Max Feagai(STI),3,3,240,1,0,0,-,0,4,38,292,1,9,0,0,0,30,5,3,1,0,0
385R. Jennings(DOL),3,3,244,2,0,0,-,0,8,49,380,1,2,0,1,13,7,3,6,0,0,0
385R. Kennar(SOU),3,4,320,2,1,0,-,0,8,56,485,4,8,2,0,0,13,6,5,4,0,0
385S. McIntyre(NQL),3,0,88,1,0,0,-,0,4,15,121,0,1,0,0,0,53,3,0,0,0,0
385T. Moga(STI),3,3,226,6,0,0,-,0,24,44,452,6,5,1,0,0,10,3,3,2,0,0
385J. Momoisea(PAR),3,0,64,0,1,0,-,0,0,10,67,0,3,1,0,0,25,0,0,3,0,0
385L. Moretti(PAR),3,0,50,0,0,0,-,0,0,19,175,0,4,1,0,0,26,0,1,1,0,0
385D. Sifakula(WAR),3,0,54,0,0,0,-,0,0,9,67,0,3,1,0,0,36,3,1,2,1,0
385T. Smoothy(BRI),3,0,78,0,0,0,-,0,0,3,25,0,0,0,1,0,57,1,3,1,0,0
385J. Topine(CBY),3,0,180,0,0,0,-,0,0,25,202,0,3,0,0,0,40,4,0,0,0,0
385E. Tuala(NEW),3,3,240,1,0,0,-,0,4,29,235,2,6,0,1,17,24,2,1,0,0,0
385B. Wilson(CBY),3,2,164,0,0,0,-,0,0,32,276,1,7,0,0,0,10,0,0,1,0,0
404K. Bradley(MEL),2,0,31,1,0,0,-,0,4,7,73,0,0,0,0,0,9,0,0,0,0,0
404B. Elliot(NQL),2,2,160,0,0,0,-,0,0,32,266,1,6,0,1,9,2,7,3,2,1,0
404J. Grant(MEL),2,0,46,0,0,0,-,0,0,6,38,0,0,0,0,0,35,1,0,0,0,0
404L. Henry(PEN),2,0,45,0,0,0,-,0,0,8,62,0,3,1,0,0,37,0,0,0,0,0
404T. Jenkins(PEN),2,2,169,1,0,0,-,0,4,24,200,1,4,1,0,0,10,1,2,0,0,0
404K. Kini(GLD),2,1,93,0,0,0,-,0,0,20,152,0,1,2,0,0,11,1,0,0,0,0
404Z. Laybutt(NQL),2,2,169,0,0,0,-,0,0,26,222,0,0,1,0,0,15,2,3,0,0,0
404J. Madden(BRI),2,2,160,0,0,0,-,0,0,9,66,0,0,0,15,513,56,5,1,0,0,0
404P. Momirovski(SYD),2,2,139,0,0,0,-,0,0,9,67,0,1,0,1,17,25,7,2,0,0,0
404T. Mooney(CBR),2,0,9,0,0,0,-,0,0,10,120,1,3,0,0,0,20,2,0,1,0,0
404C. Patolo(CBY),2,2,54,0,0,0,-,0,0,10,79,0,0,0,0,0,31,3,0,0,0,0
404R. Price(NQL),2,0,48,0,0,0,-,0,0,7,38,0,2,0,0,0,29,2,1,1,0,0
404T. Sailor(BRI),2,2,160,0,2,0,-,0,0,23,181,0,4,0,6,94,12,2,1,0,0,0
404J. Schiller(CBR),2,2,160,0,0,0,-,0,0,18,143,1,3,0,1,14,10,5,1,0,0,0
404M. Seve(MEL),2,2,141,0,0,0,-,0,0,27,249,0,4,4,0,0,28,1,0,0,0,0
404G. Shibasaki(NQL),2,2,149,0,0,0,-,0,0,33,273,0,5,1,0,0,15,3,3,3,0,0
404J. Tamou(NQL),2,0,35,1,0,0,-,0,4,12,113,1,2,0,0,0,26,2,0,1,0,0
404J. Tanner(CBY),2,0,24,0,0,0,-,0,0,6,49,0,0,0,0,0,22,1,0,0,0,0
404Y. Tonumaipea(MEL),2,2,142,1,0,0,-,0,4,20,192,2,6,1,0,0,10,4,0,1,1,0
404C. Tracey(CRO),2,2,160,1,0,0,-,0,4,30,301,1,8,1,0,0,27,3,5,1,0,0
404R. Tuaimalo Vaega(MAN),2,2,150,0,0,0,-,0,0,22,187,0,7,0,0,0,18,4,1,2,1,0
404T. Tuaupiki(WAR),2,1,97,0,0,0,-,0,0,19,140,0,7,0,0,0,7,3,0,0,0,0
404R. Volkman(WAR),2,2,131,1,1,0,-,0,4,9,47,0,2,3,7,123,25,6,1,0,0,0
404B. Wiliame(WAR),2,2,160,0,1,0,-,0,0,26,184,1,3,0,0,0,18,4,4,1,0,0
404X. Willison(BRI),2,0,34,0,0,0,-,0,0,9,68,0,2,1,0,0,19,1,0,3,0,0
429J. Bostock(DOL),1,1,80,0,0,0,-,0,0,16,102,0,1,0,0,0,7,3,3,0,0,0
429T. Cant(NEW),1,0,34,0,0,0,-,0,0,5,34,0,1,0,0,0,29,2,0,0,0,0
429J. Collins(DOL),1,0,17,0,0,0,-,0,0,1,11,0,0,0,0,0,15,3,0,0,0,0
429J. Colquhoun(CRO),1,0,0,0,0,0,-,0,0,4,50,0,0,0,0,0,9,0,0,0,0,0
429R. Derby(NQL),1,1,80,0,0,0,-,0,0,25,199,0,3,0,0,0,1,4,0,0,0,0
429T. Duncan(SOU),1,0,18,0,0,0,-,0,0,4,38,0,2,0,0,0,9,1,0,0,0,0
429H. Graham(DOL),1,0,45,0,0,0,-,0,0,0,0,0,0,0,0,0,29,3,1,0,0,0
429B. Hampton(NQL),1,1,80,0,0,0,-,0,0,3,27,0,0,0,0,0,14,2,0,0,0,0
429S. Havili(SOU),1,1,57,0,0,0,-,0,0,10,78,0,2,3,0,0,36,1,1,2,0,0
429D. Hawkins(SOU),1,1,80,0,1,0,-,0,0,2,7,0,0,0,6,172,21,2,1,0,0,0
429P. Hola(CBR),1,0,0,0,0,0,-,0,0,1,8,0,0,0,0,0,9,0,0,0,0,0
429A. James(WST),1,0,0,0,0,0,-,0,0,7,55,0,0,0,0,0,12,1,0,0,0,0
429G. Jennings(MEL),1,1,80,0,0,0,-,0,0,19,192,0,4,1,0,0,3,0,1,0,0,0
429E. Lee(DOL),1,1,80,0,0,0,-,0,0,11,72,0,0,1,0,0,2,3,0,0,0,0
429A. Leiataua(WAR),1,1,69,0,0,0,-,0,0,9,69,1,2,0,0,0,17,0,0,0,0,0
429B. Lovett(SOU),1,0,19,0,0,0,-,0,0,3,18,0,0,0,0,0,15,1,0,0,0,0
429I. Lumelume(PAR),1,1,72,0,0,0,-,0,0,9,61,0,3,0,0,0,7,2,2,0,0,0
429P. Mamouzelos(SOU),1,0,26,0,0,0,-,0,0,2,13,0,0,1,0,0,18,1,0,0,0,0
429D. Mariner(BRI),1,1,80,2,0,0,-,0,8,10,154,0,5,0,1,21,1,1,1,0,0,0
429J. Matamua(WST),1,0,30,0,0,0,-,0,0,4,43,0,1,0,0,0,9,2,0,0,0,0
429B. McGrady(DOL),1,1,80,1,0,0,-,0,4,12,100,1,4,0,0,0,3,4,1,0,0,0
429T. Mikaele(GLD),1,0,11,0,0,0,-,0,0,5,41,0,1,2,0,0,5,0,0,0,0,0
429M. Plath(DOL),1,0,46,0,0,0,-,0,0,2,10,0,0,0,0,0,32,2,1,0,0,0
429R. Rivett(NEW),1,0,18,0,0,0,-,0,0,1,6,0,0,0,1,38,6,0,1,0,0,0
429D. Russell(STI),1,0,0,0,0,0,-,0,0,9,59,0,0,0,0,0,18,1,0,1,0,0
429X. Savage(CBR),1,1,80,1,0,0,-,0,4,8,87,1,1,0,1,6,5,1,2,0,0,0
429B. Schneider(CBR),1,1,80,0,0,0,-,0,0,5,56,0,1,0,4,101,22,1,2,0,0,0
429T. Sexton(CBY),1,1,80,1,1,0,-,0,4,6,44,1,2,2,10,423,22,3,0,0,0,0
429W. Smith(WST),1,1,80,0,1,0,-,0,0,3,18,0,0,0,4,156,11,4,1,0,0,0
429B. Thomas(SYD),1,0,27,0,0,0,-,0,0,9,74,0,0,0,0,0,18,1,1,0,0,0
429B. Tumeth(WST),1,0,34,0,0,0,-,0,0,3,14,0,0,0,0,0,14,0,1,0,0,0
429P. Turner(STI),1,1,80,0,0,0,-,0,0,5,51,0,2,0,0,0,1,2,2,0,0,0
429S. Wong(SYD),1,0,26,0,0,0,-,0,0,5,52,0,0,0,0,0,16,2,0,0,0,0
462D. Atkinson(CRO),0,0,2,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
462T. Munro(SOU),0,1,80,1,1,0,-,0,4,13,97,2,2,0,2,39,1,1,2,0,0,0
