X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List
,,,,In last 12 Months,In last 12 Months,In last 12 Months,Overall,Overall,Overall
Dive,Height,Description,DD,AvgScore,HighScore,# of Times,AvgScore,HighScore,# of Times
,,,,,,,,,
202C,7M,Back  1 Somersault Tuck,1.60,0.00,0.00,0,32.98,43.20,9
202C,10M,Back  1 Somersault Tuck,1.70,24.37,29.75,6,30.03,40.80,37
202C,60M,Back  1 Somersault Tuck,2.50,0.00,0.00,0,0.00,0.00,0
202C,75M,Back  1 Somersault Tuck,3.00,0.00,0.00,0,0.00,0.00,0
202C,90M,Back  1 Somersault Tuck,3.50,0.00,0.00,0,0.00,0.00,0
202E,60M,Back 1 Somersault Pos,2.60,0.00,0.00,0,0.00,0.00,0
202E,75M,Back 1 Somersault Pos,3.10,0.00,0.00,0,0.00,0.00,0
203A,1M,Back  1 1/2 Somersault Straight,2.50,37.70,48.75,19,37.31,61.88,686
203A,3M,Back  1 1/2 Somersault Straight,2.40,36.29,57.60,1504,36.10,63.60,18769
203A,5M,Back  1 1/2 Somersault Straight,2.50,40.63,47.50,2,34.31,55.00,83
203A,7M,Back  1 1/2 Somersault Straight,2.40,0.00,0.00,0,38.34,55.20,152
203A,10M,Back  1 1/2 Somersault Straight,2.40,0.00,0.00,0,40.90,54.00,12
203B,1M,Back  1 1/2 Somersault Pike,2.30,39.10,64.40,11719,38.73,66.70,127008
203B,3M,Back  1 1/2 Somersault Pike,2.20,33.67,53.90,2024,32.89,56.10,18509
203B,5M,Back  1 1/2 Somersault Pike,2.30,37.78,57.50,822,37.08,62.10,10967
203B,7M,Back  1 1/2 Somersault Pike,2.20,0.00,0.00,0,18.61,39.60,5
203B,10M,Back  1 1/2 Somersault Pike,2.20,0.00,0.00,0,33.55,46.20,4
203C,1M,Back  1 1/2 Somersault Tuck,2.00,29.21,55.00,4768,28.70,55.00,66300
203C,3M,Back  1 1/2 Somersault Tuck,1.90,28.19,49.88,1641,27.65,51.30,16199
203C,5M,Back  1 1/2 Somersault Tuck,2.00,31.02,47.00,323,31.08,54.00,2991
203C,7M,Back  1 1/2 Somersault Tuck,1.90,37.05,47.50,5,31.72,47.50,36
203C,10M,Back  1 1/2 Somersault Tuck,1.90,0.00,0.00,0,31.59,41.80,8
204A,3M,Back  2 Somersault Straight,2.50,34.58,41.25,6,37.42,52.50,30
204A,7M,Back  2 Somersault Straight,2.50,0.00,0.00,0,0.00,0.00,0
204A,10M,Back  2 Somersault Straight,2.60,0.00,0.00,0,31.20,31.20,1
204A,60M,Back  2 Somersault Straight,3.30,0.00,0.00,0,0.00,0.00,0
204B,1M,Back  2 Somersault Pike,2.50,33.48,50.00,77,35.31,58.13,584
204B,3M,Back  2 Somersault Pike,2.30,33.78,43.70,23,35.89,56.35,182
204B,5M,Back  2 Somersault Pike,2.50,42.71,50.00,6,35.71,53.75,34
204B,7M,Back  2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0
204B,10M,Back  2 Somersault Pike,2.40,46.80,46.80,1,30.48,46.80,3
204B,60M,Back  2 Somersault Pike,3.10,0.00,0.00,0,0.00,0.00,0
204B,75M,Back  2 Somersault Pike,3.60,0.00,0.00,0,0.00,0.00,0
204B,90M,Back  2 Somersault Pike,4.20,0.00,0.00,0,0.00,0.00,0
204C,1M,Back  2 Somersault Tuck,2.20,27.81,47.30,499,28.16,66.00,5432
204C,3M,Back  2 Somersault Tuck,2.00,28.66,37.00,70,27.82,48.00,774
204C,5M,Back  2 Somersault Tuck,2.20,29.15,29.70,2,31.88,49.50,61
204C,7M,Back  2 Somersault Tuck,2.00,0.00,0.00,0,36.00,45.00,4
204C,10M,Back  2 Somersault Tuck,2.10,45.39,81.20,6,37.98,81.20,14
204C,60M,Back  2 Somersault Tuck,2.80,0.00,0.00,0,0.00,0.00,0
204C,75M,Back  2 Somersault Tuck,3.30,0.00,0.00,0,0.00,0.00,0
204C,90M,Back  2 Somersault Tuck,3.80,0.00,0.00,0,0.00,0.00,0
205A,10M,Back  2 1/2 Somersault Straight,3.30,0.00,0.00,0,0.00,0.00,0
205B,1M,Back  2 1/2 Somersault Pike,3.20,56.77,75.20,30,49.98,76.80,100
205B,3M,Back  2 1/2 Somersault Pike,3.00,50.02,78.00,3643,51.27,90.00,44647
205B,5M,Back  2 1/2 Somersault Pike,3.20,55.44,81.60,20,52.97,86.40,195
205B,7M,Back  2 1/2 Somersault Pike,3.00,50.78,82.50,48,48.34,82.50,542
205B,10M,Back  2 1/2 Somersault Pike,2.90,48.76,79.75,397,49.12,87.00,6456
205C,1M,Back  2 1/2 Somersault Tuck,3.00,47.99,76.50,1745,47.84,87.75,17424
205C,3M,Back  2 1/2 Somersault Tuck,2.80,43.61,79.80,6960,42.83,81.20,82178
205C,5M,Back  2 1/2 Somersault Tuck,3.00,47.73,76.50,850,47.11,87.00,10409
205C,7M,Back  2 1/2 Somersault Tuck,2.80,45.63,70.00,449,44.93,78.40,3664
205C,10M,Back  2 1/2 Somersault Tuck,2.70,56.03,58.05,2,45.42,60.75,38
206B,1M,Back  3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0
206B,3M,Back  3 Somersault Pike,2.80,0.00,0.00,0,40.95,46.20,2
206B,5M,Back  3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0
206B,7M,Back  3 Somersault Pike,2.80,0.00,0.00,0,56.91,69.72,4
206B,10M,Back  3 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0
206B,60M,Back  3 Somersault Pike,4.00,0.00,0.00,0,0.00,0.00,0
206B,75M,Back  3 Somersault Pike,4.50,0.00,0.00,0,0.00,0.00,0
206B,90M,Back  3 Somersault Pike,5.10,0.00,0.00,0,0.00,0.00,0
206C,1M,Back  3 Somersault Tuck,2.90,0.00,0.00,0,32.63,32.63,1
206C,3M,Back  3 Somersault Tuck,2.50,27.50,40.00,5,30.59,43.13,20
206C,5M,Back  3 Somersault Tuck,2.90,42.05,49.30,2,38.18,49.30,3
206C,7M,Back  3 Somersault Tuck,2.50,0.00,0.00,0,33.75,33.75,1
206C,10M,Back  3 Somersault Tuck,2.70,0.00,0.00,0,48.60,58.05,6
206C,60M,Back  3 Somersault Tuck,3.80,0.00,0.00,0,0.00,0.00,0
206C,75M,Back  3 Somersault Tuck,4.30,0.00,0.00,0,0.00,0.00,0
206C,90M,Back  3 Somersault Tuck,4.80,0.00,0.00,0,0.00,0.00,0
207B,3M,Back  3 1/2 Somersault Pike,3.90,0.00,0.00,0,0.00,0.00,0
207B,10M,Back  3 1/2 Somersault Pike,3.60,60.27,99.00,58,69.01,108.00,962
207C,3M,Back  3 1/2 Somersault Tuck,3.60,54.21,86.40,30,54.70,99.00,522
207C,7M,Back  3 1/2 Somersault Tuck,3.50,0.00,0.00,0,54.70,73.10,4
207C,10M,Back  3 1/2 Somersault Tuck,3.30,55.90,99.00,316,59.06,99.00,7307
208B,3M,Back  4 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0
208B,5M,Back  4 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0
208B,7M,Back  4 Somersault Pike,4.20,0.00,0.00,0,0.00,0.00,0
208B,10M,Back  4 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0
208B,60M,Back  4 Somersault Pike,4.80,0.00,0.00,0,0.00,0.00,0
208B,75M,Back  4 Somersault Pike,5.30,0.00,0.00,0,0.00,0.00,0
208B,90M,Back  4 Somersault Pike,5.90,0.00,0.00,0,0.00,0.00,0
208C,3M,Back 4 Somersault Tuck,3.40,0.00,0.00,0,0.00,0.00,0
208C,5M,Back 4 Somersault Tuck,4.10,0.00,0.00,0,0.00,0.00,0
208C,7M,Back 4 Somersault Tuck,3.90,0.00,0.00,0,0.00,0.00,0
208C,10M,Back 4 Somersault Tuck,3.80,0.00,0.00,0,0.00,0.00,0
208C,60M,Back 4 Somersault Tuck,4.60,0.00,0.00,0,0.00,0.00,0
208C,75M,Back 4 Somersault Tuck,5.10,0.00,0.00,0,0.00,0.00,0
208C,90M,Back 4 Somersault Tuck,5.60,0.00,0.00,0,0.00,0.00,0
209B,3M,Back  4 1/2 Somersault Pike,4.70,0.00,0.00,0,0.00,0.00,0
209B,10M,Back  4 1/2 Somersault Pike,4.50,0.00,0.00,0,0.00,0.00,2
209C,3M,Back  4 1/2 Somersault Tuck,4.40,0.00,0.00,0,0.00,0.00,0
209C,10M,Back  4 1/2 Somersault Tuck,4.20,0.00,0.00,0,0.00,0.00,0
210B,60M,Back Flying Dive Pike,5.70,0.00,0.00,0,0.00,0.00,0
210B,75M,Back Flying Dive Pike,6.20,0.00,0.00,0,0.00,0.00,0
210B,90M,Back Flying Dive Pike,6.80,0.00,0.00,0,0.00,0.00,0
210C,60M,Back Flying Dive Tuck,5.50,0.00,0.00,0,0.00,0.00,0
210C,75M,Back Flying Dive Tuck,6.00,0.00,0.00,0,0.00,0.00,0
210C,90M,Back Flying Dive Tuck,6.50,0.00,0.00,0,0.00,0.00,0
212B,1M,Back Flying 1 Somersault Pike,1.70,0.00,0.00,0,25.84,38.25,20
212B,3M,Back Flying 1 Somersault Pike,1.80,0.00,0.00,0,28.49,44.10,19
212B,5M,Back Flying 1 Somersault Pike,1.70,0.00,0.00,0,26.18,39.10,15
212B,7M,Back Flying 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0
212B,10M,Back Flying 1 Somersault Pike,1.90,45.60,52.25,3,35.10,52.25,26
212B,60M,Back Flying 1 Somersault Pike,2.70,0.00,0.00,0,0.00,0.00,0
212B,75M,Back Flying 1 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0
212B,90M,Back Flying 1 Somersault Pike,3.80,0.00,0.00,0,0.00,0.00,0
212C,1M,Back Flying 1 Somersault Tuck,1.60,0.00,0.00,0,22.58,31.20,19
212C,3M,Back Flying 1 Somersault Tuck,1.70,21.34,27.20,9,22.75,37.40,102
212C,5M,Back Flying 1 Somersault Tuck,1.60,28.80,28.80,1,28.36,33.60,11
212C,7M,Back Flying 1 Somersault Tuck,1.70,0.00,0.00,0,34.00,34.85,2
212C,10M,Back Flying 1 Somersault Tuck,1.80,38.55,45.60,2,36.77,46.80,42
212C,60M,Back Flying 1 Somersault Tuck,2.60,0.00,0.00,0,0.00,0.00,0
212C,75M,Back Flying 1 Somersault Tuck,3.10,0.00,0.00,0,0.00,0.00,0
212C,90M,Back Flying 1 Somersault Tuck,3.60,0.00,0.00,0,0.00,0.00,0
213B,5M,Back Flying 1 1/2 Somersault Pike,2.50,0.00,0.00,0,0.00,0.00,0
213B,7M,Back Flying 1 1/2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0
213B,10M,Back Flying 1 1/2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0
213C,1M,Back Flying 1 1/2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0
213C,3M,Back Flying 1 1/2 Somersault Tuck,2.10,40.95,40.95,1,37.90,48.30,22
213C,5M,Back Flying 1 1/2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0
213C,7M,Back Flying 1 1/2 Somersault Tuck,2.10,0.00,0.00,0,0.00,0.00,0
213C,10M,Back Flying 1 1/2 Somersault Tuck,2.10,0.00,0.00,0,0.00,0.00,1
214B,60M,Back Flying 2 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0
214B,75M,Back Flying 2 Somersault Pike,3.80,0.00,0.00,0,0.00,0.00,0
214B,90M,Back Flying 2 Somersault Pike,4.40,0.00,0.00,0,0.00,0.00,0
214C,1M,Back Flying 2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0
214C,3M,Back Flying 2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0
214C,5M,Back Flying 2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0
214C,7M,Back Flying 2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0
214C,10M,Back Flying 2 Somersault Tuck,2.30,0.00,0.00,0,49.45,49.45,1
214C,60M,Back Flying 2 Somersault Tuck,3.00,0.00,0.00,0,0.00,0.00,0
214C,75M,Back Flying 2 Somersault Tuck,3.50,0.00,0.00,0,0.00,0.00,0
214C,90M,Back Flying 2 Somersault Tuck,4.00,0.00,0.00,0,0.00,0.00,0
215B,3M,Back Flying 2 1/2 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0
215C,3M,Back Flying 2 1/2 Somersault Tuck,3.10,0.00,0.00,0,0.00,0.00,0
216B,60M,Back Flying 3 Somersault Pike,4.30,0.00,0.00,0,0.00,0.00,0
216B,75M,Back Flying 3 Somersault Pike,4.80,0.00,0.00,0,0.00,0.00,0
216B,90M,Back Flying 3 Somersault Pike,5.40,0.00,0.00,0,0.00,0.00,0
216C,60M,Back Flying 3 Somersault Tuck,4.10,0.00,0.00,0,0.00,0.00,0
216C,75M,Back Flying 3 Somersault Tuck,4.60,0.00,0.00,0,0.00,0.00,0
216C,90M,Back Flying 3 Somersault Tuck,5.10,0.00,0.00,0,0.00,0.00,0
300A,1M,Reverse Jump Straight,1.00,15.53,22.00,17,15.70,22.00,119
300A,3M,Reverse Jump Straight,1.00,16.26,23.00,42,15.97,23.50,283
300A,5M,Reverse Jump Straight,1.00,0.00,0.00,0,16.70,20.00,5
300A,7M,Reverse Jump Straight,1.00,0.00,0.00,0,0.00,0.00,0
300A,10M,Reverse Jump Straight,1.00,0.00,0.00,0,0.00,0.00,0
300B,1M,Reverse Jump Pike,1.00,0.00,0.00,0,16.34,21.50,16
300B,3M,Reverse Jump Pike,1.00,14.50,18.00,5,15.92,22.00,48
300B,5M,Reverse Jump Pike,1.00,0.00,0.00,0,12.00,12.00,1
300B,7M,Reverse Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0
300B,10M,Reverse Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0
300C,1M,Reverse Jump Tuck,1.00,15.12,22.00,13,16.39,23.50,160
300C,3M,Reverse Jump Tuck,1.00,14.46,19.50,34,15.83,25.00,286
300C,5M,Reverse Jump Tuck,1.00,0.00,0.00,0,14.60,18.50,10
300C,7M,Reverse Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0
300C,10M,Reverse Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0
300D,1M,Reverse Jump Free,1.00,0.00,0.00,0,17.00,17.00,1
300D,3M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0
300D,5M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0
300D,7M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0
300D,10M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0
301A,1M,Reverse Dive Straight,1.80,27.31,49.50,439,28.73,54.00,7487
301A,3M,Reverse Dive Straight,2.00,33.42,54.00,296,34.84,60.00,4831
301A,5M,Reverse Dive Straight,1.80,22.50,22.50,1,33.06,48.60,98
301A,7M,Reverse Dive Straight,2.00,48.33,54.00,3,39.63,57.00,102
301A,10M,Reverse Dive Straight,2.00,42.00,50.00,7,39.69,55.00,77
301B,1M,Reverse Dive Pike,1.70,29.68,49.30,5153,29.69,52.80,80729
301B,3M,Reverse Dive Pike,1.90,32.73,51.30,4762,33.39,56.05,75098
301B,5M,Reverse Dive Pike,1.70,29.62,40.80,334,29.37,50.00,5961
301B,7M,Reverse Dive Pike,1.90,35.05,55.10,289,35.14,57.00,5110
301B,10M,Reverse Dive Pike,1.90,38.48,51.30,201,40.04,57.60,5341
301C,1M,Reverse Dive Tuck,1.60,24.39,46.20,5440,24.23,51.60,81264
301C,3M,Reverse Dive Tuck,1.80,27.74,49.40,3477,27.66,62.10,55218
301C,5M,Reverse Dive Tuck,1.60,25.44,43.00,724,25.64,53.00,13100
301C,7M,Reverse Dive Tuck,1.80,31.18,45.90,82,31.46,49.50,1128
301C,10M,Reverse Dive Tuck,1.80,36.90,36.90,1,35.60,54.00,132
302A,1M,Reverse  1 Somersault Straight,1.80,23.40,32.40,16,23.12,43.74,212
302A,3M,Reverse  1 Somersault Straight,1.90,26.44,42.75,15,24.35,42.75,149
302A,5M,Reverse  1 Somersault Straight,1.80,0.00,0.00,0,0.00,0.00,0
302A,7M,Reverse  1 Somersault Straight,1.90,0.00,0.00,0,0.00,0.00,0
302A,10M,Reverse  1 Somersault Straight,2.00,0.00,0.00,0,38.94,48.00,17
302A,60M,Reverse  1 Somersault Straight,2.80,0.00,0.00,0,0.00,0.00,0
302A,75M,Reverse  1 Somersault Straight,3.30,0.00,0.00,0,0.00,0.00,0
302B,1M,Reverse  1 Somersault Pike,1.70,25.52,37.40,186,25.43,49.20,1754
302B,3M,Reverse  1 Somersault Pike,1.80,26.05,37.80,64,25.65,40.50,642
302B,5M,Reverse  1 Somersault Pike,1.70,20.40,20.40,1,18.88,28.05,14
302B,7M,Reverse  1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0
302B,10M,Reverse  1 Somersault Pike,1.90,0.00,0.00,0,34.09,46.55,9
302B,60M,Reverse  1 Somersault Pike,2.70,0.00,0.00,0,0.00,0.00,0
302B,75M,Reverse  1 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0
302B,90M,Reverse  1 Somersault Pike,3.80,0.00,0.00,0,0.00,0.00,0
302C,1M,Reverse  1 Somersault Tuck,1.60,22.55,39.10,2918,22.66,41.60,36961
302C,3M,Reverse  1 Somersault Tuck,1.70,24.11,42.50,1047,23.96,47.40,16311
302C,5M,Reverse  1 Somersault Tuck,1.60,24.36,35.20,67,23.22,39.60,1262
302C,7M,Reverse  1 Somersault Tuck,1.70,0.00,0.00,0,34.14,48.45,29
302C,10M,Reverse  1 Somersault Tuck,1.80,33.56,39.60,7,34.62,49.50,94
302C,60M,Reverse  1 Somersault Tuck,2.60,0.00,0.00,0,0.00,0.00,0
302C,75M,Reverse  1 Somersault Tuck,3.10,0.00,0.00,0,0.00,0.00,0
302C,90M,Reverse  1 Somersault Tuck,3.60,0.00,0.00,0,0.00,0.00,0
302E,60M,Reverse 1 Somersault Pos,2.70,0.00,0.00,0,0.00,0.00,0
302E,75M,Reverse 1 Somersault Pos,3.20,0.00,0.00,0,0.00,0.00,0
303A,1M,Reverse  1 1/2 Somersault Straight,2.70,0.00,0.00,0,41.72,67.50,21
303A,3M,Reverse  1 1/2 Somersault Straight,2.60,36.85,44.20,14,38.37,68.90,235
303A,5M,Reverse  1 1/2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0
303A,7M,Reverse  1 1/2 Somersault Straight,2.60,0.00,0.00,0,0.00,0.00,0
303A,10M,Reverse  1 1/2 Somersault Straight,2.60,0.00,0.00,0,0.00,0.00,0
303B,1M,Reverse  1 1/2 Somersault Pike,2.40,40.18,64.80,5792,39.92,69.60,59433
303B,3M,Reverse  1 1/2 Somersault Pike,2.30,34.62,56.93,1586,33.66,58.65,13601
303B,5M,Reverse  1 1/2 Somersault Pike,2.40,38.15,49.20,24,41.29,64.80,343
303B,7M,Reverse  1 1/2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0
303B,10M,Reverse  1 1/2 Somersault Pike,2.30,0.00,0.00,0,54.05,54.05,1
303C,1M,Reverse  1 1/2 Somersault Tuck,2.10,31.55,58.80,6555,31.09,61.95,72551
303C,3M,Reverse  1 1/2 Somersault Tuck,2.00,29.44,54.00,2858,28.87,59.00,27012
303C,5M,Reverse  1 1/2 Somersault Tuck,2.10,35.08,63.00,903,34.21,63.00,10834
303C,7M,Reverse  1 1/2 Somersault Tuck,2.00,31.45,46.00,11,33.21,52.00,84
303C,10M,Reverse  1 1/2 Somersault Tuck,2.00,0.00,0.00,0,39.55,47.00,11
304A,1M,Reverse  2 Somersault Straight,2.90,0.00,0.00,0,0.00,0.00,0
304A,3M,Reverse  2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0
304A,5M,Reverse  2 Somersault Straight,2.90,0.00,0.00,0,0.00,0.00,0
304A,7M,Reverse  2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0
304A,10M,Reverse  2 Somersault Straight,2.80,0.00,0.00,0,0.00,0.00,0
304B,1M,Reverse  2 Somersault Pike,2.60,6.30,6.30,1,35.06,56.16,44
304B,3M,Reverse  2 Somersault Pike,2.40,31.09,36.00,11,31.90,46.80,58
304B,5M,Reverse  2 Somersault Pike,2.60,0.00,0.00,0,45.50,45.50,1
304B,7M,Reverse  2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0
304B,10M,Reverse  2 Somersault Pike,2.50,0.00,0.00,0,26.50,39.75,3
304B,60M,Reverse  2 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0
304B,75M,Reverse  2 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0
304B,90M,Reverse  2 Somersault Pike,4.30,0.00,0.00,0,0.00,0.00,0
304C,1M,Reverse  2 Somersault Tuck,2.30,29.27,49.45,273,29.35,54.05,3360
304C,3M,Reverse  2 Somersault Tuck,2.10,29.34,43.05,144,29.01,48.30,1653
304C,5M,Reverse  2 Somersault Tuck,2.30,33.64,39.10,4,30.20,51.75,123
304C,7M,Reverse  2 Somersault Tuck,2.10,0.00,0.00,0,35.88,45.15,6
304C,10M,Reverse  2 Somersault Tuck,2.20,39.09,65.10,5,40.49,65.10,17
304C,60M,Reverse  2 Somersault Tuck,2.90,0.00,0.00,0,0.00,0.00,0
304C,75M,Reverse  2 Somersault Tuck,3.40,0.00,0.00,0,0.00,0.00,0
304C,90M,Reverse  2 Somersault Tuck,3.90,0.00,0.00,0,0.00,0.00,0
305A,3M,Reverse  2 1/2 Somersault Straight,3.40,0.00,0.00,0,0.00,0.00,0
305A,7M,Reverse  2 1/2 Somersault Straight,3.50,0.00,0.00,0,0.00,0.00,0
305A,10M,Reverse  2 1/2 Somersault Straight,3.40,0.00,0.00,0,0.00,0.00,0
305B,1M,Reverse  2 1/2 Somersault Pike,3.20,52.12,78.40,60,54.42,86.40,715
305B,3M,Reverse  2 1/2 Somersault Pike,3.00,48.83,84.00,1963,49.37,90.00,25843
305B,5M,Reverse  2 1/2 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0
305B,7M,Reverse  2 1/2 Somersault Pike,3.10,0.00,0.00,0,0.00,0.00,0
305B,10M,Reverse  2 1/2 Somersault Pike,3.00,63.53,82.50,24,53.58,82.50,431
305C,1M,Reverse  2 1/2 Somersault Tuck,3.00,47.17,84.00,3293,46.79,87.00,31599
305C,3M,Reverse  2 1/2 Somersault Tuck,2.80,42.22,79.80,6653,41.87,84.00,74359
305C,5M,Reverse  2 1/2 Somersault Tuck,3.10,48.58,77.50,139,49.35,88.35,1536
305C,7M,Reverse  2 1/2 Somersault Tuck,2.90,50.24,76.85,349,47.37,81.20,2919
305C,10M,Reverse  2 1/2 Somersault Tuck,2.80,51.65,79.80,786,50.15,84.00,9128
306B,1M,Reverse  3 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0
306B,3M,Reverse  3 Somersault Pike,2.90,0.00,0.00,0,0.00,0.00,0
306B,5M,Reverse  3 Somersault Pike,3.40,0.00,0.00,0,0.00,0.00,0
306B,7M,Reverse  3 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0
306B,10M,Reverse  3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0
306B,60M,Reverse  3 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0
306B,75M,Reverse  3 Somersault Pike,4.60,0.00,0.00,0,0.00,0.00,0
306B,90M,Reverse  3 Somersault Pike,5.20,0.00,0.00,0,0.00,0.00,0
306C,1M,Reverse  3 Somersault Tuck,3.00,0.00,0.00,0,41.68,70.50,7
306C,3M,Reverse  3 Somersault Tuck,2.60,32.07,40.30,3,33.35,50.70,13
306C,5M,Reverse  3 Somersault Tuck,3.10,0.00,0.00,0,65.10,65.10,1
306C,7M,Reverse  3 Somersault Tuck,2.70,0.00,0.00,0,47.23,49.40,3
306C,10M,Reverse  3 Somersault Tuck,2.90,0.00,0.00,0,46.88,55.10,6
306C,60M,Reverse  3 Somersault Tuck,3.90,0.00,0.00,0,0.00,0.00,0
306C,75M,Reverse  3 Somersault Tuck,4.40,0.00,0.00,0,0.00,0.00,0
306C,90M,Reverse  3 Somersault Tuck,4.90,0.00,0.00,0,0.00,0.00,0
307B,3M,Reverse  3 1/2 Somersault Pike,3.80,0.00,0.00,0,52.07,93.10,21
307B,10M,Reverse  3 1/2 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0
307C,3M,Reverse  3 1/2 Somersault Tuck,3.50,53.64,94.50,486,58.32,105.00,6080
307C,10M,Reverse  3 1/2 Somersault Tuck,3.40,62.39,93.50,132,64.41,102.00,3829
308B,3M,Reverse  4 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0
308B,7M,Reverse  4 Somersault Pike,4.50,0.00,0.00,0,0.00,0.00,0
308B,10M,Reverse  4 Somersault Pike,4.40,0.00,0.00,0,0.00,0.00,0
308B,60M,Reverse  4 Somersault Pike,4.90,0.00,0.00,0,0.00,0.00,0
308B,75M,Reverse  4 Somersault Pike,5.40,0.00,0.00,0,0.00,0.00,0
308B,90M,Reverse  4 Somersault Pike,6.00,0.00,0.00,0,0.00,0.00,0
308C,3M,Reverse 4 Somersault Tuck,3.40,0.00,0.00,0,0.00,0.00,0
308C,7M,Reverse 4 Somersault Tuck,4.20,0.00,0.00,0,0.00,0.00,0
308C,10M,Reverse 4 Somersault Tuck,4.10,0.00,0.00,0,0.00,0.00,0
308C,60M,Reverse 4 Somersault Tuck,4.70,0.00,0.00,0,0.00,0.00,0
308C,75M,Reverse 4 Somersault Tuck,5.20,0.00,0.00,0,0.00,0.00,0
308C,90M,Reverse 4 Somersault Tuck,5.70,0.00,0.00,0,0.00,0.00,0
309B,3M,Reverse  4 1/2 Somersault Pike,4.70,0.00,0.00,0,0.00,0.00,0
309B,10M,Reverse  4 1/2 Somersault Pike,4.80,0.00,0.00,0,0.00,0.00,0
309C,3M,Reverse  4 1/2 Somersault Tuck,4.40,0.00,0.00,0,0.00,0.00,0
309C,10M,Reverse  4 1/2 Somersault Tuck,4.50,0.00,0.00,0,0.00,0.00,0
310B,60M,Reverse Flying Dive Pike,5.80,0.00,0.00,0,0.00,0.00,0
310B,75M,Reverse Flying Dive Pike,6.30,0.00,0.00,0,0.00,0.00,0
310B,90M,Reverse Flying Dive Pike,6.90,0.00,0.00,0,0.00,0.00,0
310C,60M,Reverse Flying Dive Tuck,5.60,0.00,0.00,0,0.00,0.00,0
310C,75M,Reverse Flying Dive Tuck,6.10,0.00,0.00,0,0.00,0.00,0
310C,90M,Reverse Flying Dive Tuck,6.60,0.00,0.00,0,0.00,0.00,0
312B,1M,Reverse Flying 1 Somersault Pike,1.80,0.00,0.00,0,29.19,41.40,7
312B,3M,Reverse Flying 1 Somersault Pike,1.90,0.00,0.00,0,35.65,46.55,38
312B,5M,Reverse Flying 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0
312B,7M,Reverse Flying 1 Somersault Pike,1.90,0.00,0.00,0,0.00,0.00,0
312B,10M,Reverse Flying 1 Somersault Pike,2.00,0.00,0.00,0,0.00,0.00,0
312B,60M,Reverse Flying 1 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0
312B,75M,Reverse Flying 1 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0
312B,90M,Reverse Flying 1 Somersault Pike,3.90,0.00,0.00,0,0.00,0.00,0
