X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List
,,,,In last 12 Months,In last 12 Months,In last 12 Months,Overall,Overall,Overall
Dive,Height,Description,DD,AvgScore,HighScore,# of Times,AvgScore,HighScore,# of Times
,,,,,,,,,
100C,3M,Forward Jump Tuck,1.00,16.38,23.50,1210,16.55,34.20,12990
100C,5M,Forward Jump Tuck,1.00,16.90,21.50,62,17.09,26.50,1131
100C,7M,Forward Jump Tuck,1.00,17.00,17.00,1,17.31,24.50,48
100C,10M,Forward Jump Tuck,1.00,0.00,0.00,0,20.10,41.40,8
100D,1M,Forward Jump Free,1.00,20.50,20.50,1,17.52,29.00,119
100D,3M,Forward Jump Free,1.00,15.63,20.00,12,17.95,28.50,118
100D,5M,Forward Jump Free,1.00,0.00,0.00,0,15.39,19.50,22
100D,7M,Forward Jump Free,1.00,0.00,0.00,0,15.75,17.00,2
100D,10M,Forward Jump Free,1.00,0.00,0.00,0,0.00,0.00,0
101A,1M,Forward Dive Straight,1.40,20.72,48.60,807,21.80,57.00,8744
101A,3M,Forward Dive Straight,1.60,25.62,48.60,223,26.33,54.60,3026
101A,5M,Forward Dive Straight,1.40,26.94,46.00,33,30.25,52.80,431
101A,7M,Forward Dive Straight,1.60,0.00,0.00,0,32.58,40.80,83
101A,10M,Forward Dive Straight,1.60,0.00,0.00,0,27.20,28.00,3
101B,1M,Forward Dive Pike,1.30,23.89,49.80,2052,22.63,55.80,34627
101B,3M,Forward Dive Pike,1.50,26.93,48.45,1577,26.56,71.00,31876
101B,5M,Forward Dive Pike,1.30,22.71,47.00,238,22.90,56.00,5727
101B,7M,Forward Dive Pike,1.50,27.07,40.50,34,28.24,44.40,1049
101B,10M,Forward Dive Pike,1.50,33.55,48.60,9,38.33,57.60,490
101C,1M,Forward Dive Tuck,1.20,22.06,49.80,4191,19.76,52.00,48856
101C,3M,Forward Dive Tuck,1.40,23.91,50.35,2760,22.30,66.00,32793
101C,5M,Forward Dive Tuck,1.20,19.67,41.40,300,19.63,48.00,3361
101C,7M,Forward Dive Tuck,1.40,22.26,31.50,5,23.66,35.70,58
101C,10M,Forward Dive Tuck,1.40,24.50,24.50,1,22.96,24.50,5
102A,1M,Forward  1 Somersault Straight,1.60,21.55,32.00,97,20.79,36.80,641
102A,3M,Forward  1 Somersault Straight,1.70,21.68,22.10,2,19.33,32.30,19
102A,5M,Forward  1 Somersault Straight,1.60,0.00,0.00,0,0.00,0.00,0
102A,7M,Forward  1 Somersault Straight,1.70,0.00,0.00,0,0.00,0.00,0
102A,10M,Forward  1 Somersault Straight,1.80,0.00,0.00,0,0.00,0.00,0
102A,60M,Forward  1 Somersault Straight,2.80,0.00,0.00,0,0.00,0.00,0
