First,Last,Nickname,Stance,W,L,D,height_inches,weight_lbs,reach_inches
Mike,Altman,NA,Orthodox,1,4,0,70,185,NA
Patricia,Alujas,El Angel,NA,9,2,0,NA,115,NA
Sean,Alvarez,NA,Orthodox,4,3,0,72,235,NA
Eddie,Alvarez,NA,Orthodox,29,6,0,69,155,69
Jaime,Alvarez,NA,Orthodox,6,1,0,68,125,69
Joel,Alvarez,El Fenomeno,Orthodox,19,3,0,75,155,77
Thiago,Alves,Pitbull,Orthodox,23,15,0,69,170,70
Anthony,Alves,NA,NA,1,4,0,NA,NA,NA
Amilcar,Alves,NA,Southpaw,15,12,0,72,170,NA
Warlley,Alves,NA,Orthodox,15,6,0,71,170,72
Rafael,Alves,The Turn,Orthodox,20,12,0,68,155,68
Sam,Alvey,Smile'N,Southpaw,33,18,1,74,185,75
Andre,Amado,Dida,Orthodox,6,4,1,72,154,NA
Adlan,Amagov,Borz,Orthodox,14,2,1,74,170,76
Maiara,Amanajas dos Santos,NA,Southpaw,7,3,0,65,115,NA
Rayanne,Amanda,NA,Orthodox,11,6,0,62,115,62
Chris,Amarante,NA,NA,2,0,0,NA,185,NA
Jimmy,Ambriz,The Titan,Southpaw,17,21,1,74,315,NA
JJ,Ambrose,NA,Orthodox,28,7,0,70,170,NA
Alen,Amedovski,NA,Orthodox,8,4,0,70,185,74
Hyder,Amil,The Hurricane,NA,7,0,0,NA,145,NA
Makwan,Amirkhani,Mr. Finland,Southpaw,17,9,0,70,145,72
Jaqueline,Amorim,NA,Orthodox,6,1,0,63,115,68
Bertrand,Amoussou,NA,Orthodox,1,1,0,68,190,NA
Karl,Amoussou,The Psycho,Orthodox,27,7,2,71,185,NA
Eryk,Anders,Ya Boi,Southpaw,15,8,0,73,185,75
Matt,Andersen,NA,Southpaw,14,8,1,74,230,NA
Andy,Anderson,The Hammer,NA,0,1,0,66,240,NA
Lowell,Anderson,NA,Orthodox,0,1,0,66,160,NA
Corey,Anderson,Overtime,Orthodox,14,5,0,75,205,79
Derek,Anderson,Barbaric,NA,14,3,0,72,155,NA
Megan,Anderson,NA,Orthodox,11,5,0,72,145,72
Tatsuya,Ando,NA,NA,13,3,1,NA,135,NA
Alex,Andrade,El Toro,Orthodox,10,5,0,71,200,NA
Jessica,Andrade,Bate Estaca,Orthodox,24,11,0,61,115,62
Viscardi,Andrade,NA,Orthodox,19,6,0,71,170,75
Jermaine,Andre,NA,Orthodox,14,4,0,67,200,NA
Juan,Andres Luna,NA,Orthodox,12,1,0,67,125,72
Fellipe,Andrew,NA,NA,0,0,0,NA,NA,NA
Dylan,Andrews,The Villain,Switch,18,7,0,73,185,74
Reese,Andy,Riptide,Orthodox,7,3,0,72,205,NA
NA,Angga,The Hitman,Orthodox,13,3,0,67,145,68
Julius,Anglickas,NA,Orthodox,5,1,0,75,205,NA
Collin,Anglin,NA,Orthodox,8,3,0,69,145,71
Chad,Anheliger,The Monster,Orthodox,12,6,0,66,135,64
Yoji,Anjo,Mr. 200%,Orthodox,0,5,1,71,205,NA
Magomed,Ankalaev,NA,Orthodox,18,1,1,75,205,75
Gadzhimurad,Antigulov,NA,Orthodox,20,8,0,71,205,70
Adam,Antolin,Captain Chaos,Orthodox,12,3,0,65,125,63
Angelo,Antonio,NA,Orthodox,1,4,0,NA,205,NA
Azunna,Anyanwu,Zulu,Orthodox,14,5,0,73,251,NA
Shinsho,Anzai,Animal,Orthodox,10,3,0,67,170,70
Shinya,Aoki,Tobikan Judan,Southpaw,39,7,0,71,154,NA
NA,Aoriqileng,The Mongolian Murderer,Orthodox,24,10,0,67,135,69
Josh,Appelt,NA,Southpaw,15,7,0,70,255,NA
Erik,Apple,NA,Orthodox,10,3,0,72,170,NA
Kenji,Arai,NA,Southpaw,15,15,5,70,145,NA
Romie,Aram,NA,Orthodox,7,1,0,70,170,NA
Felipe,Arantes,Sertanejo,Orthodox,18,10,1,68,135,73
Igor,Araujo,NA,Orthodox,25,9,0,73,170,77
Viviane,Araujo,Vivi,Orthodox,11,5,0,64,125,68
Julio,Arce,NA,Southpaw,18,6,0,67,135,70
Art,Arciniega,King Arthur,NA,15,7,0,68,145,NA
Tristan,Arenal,NA,NA,7,4,0,NA,155,NA
Gabriel,Arges,NA,NA,0,0,0,NA,170,NA
Dan,Argueta,The Determined,Southpaw,9,1,0,67,135,68
Reza,Arianto,The Crazy Lion,NA,5,0,0,NA,155,NA
Hashem,Arkhagha,NA,Orthodox,6,1,0,74,185,75
