Team,Conference,region,aces_per_set,assists_per_set,team_attacks_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,opp_hitting_pctg,service_aces,W,L,win_loss_pctg
Wake Forest,ACC,East,1.51,11.85,33.9,2.05,14.5,0.223,12.72,0.217,174,17,14,0.548
Green Bay,Horizon,Midwest,1.51,12.5,35.93,2.38,16.07,0.244,13.3,0.173,180,23,11,0.676
Troy,Sun Belt,South,1.51,12.24,34.05,1.69,13.51,0.218,13.12,0.214,186,18,13,0.581
Jackson St.,SWAC,South,1.51,11.69,33.67,1.51,14.15,0.211,12.52,0.2,148,13,17,0.433
Fordham,Atlantic 10,East,1.51,11.55,37.15,2.1,15.79,0.201,12.52,0.211,163,13,16,0.448
Rhode Island,Atlantic 10,East,1.51,9.36,32.32,1.67,12.23,0.132,10.12,0.24,169,6,25,0.194
Eastern Ill.,OVC,South,1.51,11.99,35.95,1.58,14.63,0.182,12.91,0.207,181,16,16,0.5
Auburn,SEC,Southeast,1.51,11.42,32.24,2.56,13.02,0.235,12.34,0.2,184,22,9,0.71
Liberty,ASUN,Southeast,1.5,12.81,34.04,2.49,13.83,0.243,13.85,0.171,185,23,9,0.719
New Mexico St.,WAC,West,1.5,11.99,35.26,2.19,14.92,0.211,12.91,0.188,153,16,12,0.571
South Dakota,Summit League,Midwest,1.5,12.38,34.42,2.47,16.15,0.256,13.25,0.174,192,29,4,0.879
Weber St.,Big Sky,West,1.5,11.32,36.84,2.71,16.22,0.205,12.27,0.165,166,17,12,0.586
Columbia,Ivy League,East,1.49,10.64,31.77,2.25,11.14,0.177,11.29,0.243,124,6,17,0.261
Harvard,Ivy League,East,1.49,10.25,30.76,1.94,11.49,0.183,11.06,0.26,124,5,17,0.227
Coastal Carolina,Sun Belt,South,1.49,11.56,33.03,2.19,13.42,0.235,12.54,0.205,170,17,13,0.567
UC Davis,Big West,West,1.49,10.61,34.82,2.16,14.05,0.196,11.76,0.207,177,15,15,0.5
Army West Point,Patriot,East,1.49,12.3,37.51,2.17,16.9,0.197,13.5,0.171,153,18,9,0.667
N.C. A&T,CAA,Southeast,1.49,10.49,32.52,2.02,13.27,0.173,11.21,0.206,153,9,17,0.346
Montana St.,Big Sky,West,1.48,11.11,35.66,2.09,14.47,0.185,12.02,0.201,181,14,16,0.467
Winthrop,Big South,Southeast,1.48,11.63,36.46,2.25,15.83,0.203,12.69,0.175,149,16,12,0.571
CSU Bakersfield,Big West,West,1.47,10.25,32.67,1.94,12.95,0.171,11.15,0.23,174,7,25,0.219
Campbell,Big South,Southeast,1.47,12.18,35.97,2.42,16.02,0.218,13,0.161,171,19,11,0.633
Oklahoma,Big 12,South,1.47,11.85,32.64,2.43,13.36,0.249,12.67,0.211,153,15,13,0.536
UAlbany,America East,East,1.47,11.55,34.39,1.67,13.28,0.163,12.11,0.226,150,7,20,0.259
Pepperdine,WCC,West,1.47,12.45,35.46,2.36,14.32,0.228,13.35,0.194,163,19,11,0.633
Austin Peay,ASUN,South,1.47,11.75,34.56,1.99,15.4,0.209,12.67,0.228,154,12,15,0.444
Chattanooga,SoCon,Southeast,1.47,10.85,36.09,2.15,16.88,0.201,12.07,0.213,189,17,16,0.515
San Francisco,WCC,West,1.46,10.65,33.45,2.05,13.12,0.2,11.86,0.204,164,14,15,0.483
New Orleans,Southland,South,1.46,10.53,36.49,1.93,17.04,0.173,11.31,0.188,174,15,16,0.484
Texas St.,Sun Belt,South,1.46,13.31,33.38,1.98,14.56,0.291,14.13,0.215,174,24,7,0.774
Stanford,Pac-12,West,1.46,13.68,33.91,2.71,13.54,0.297,14.67,0.202,171,27,5,0.844
UCF,AAC,Southeast,1.46,13.7,32.72,2.49,14.33,0.315,14.65,0.163,152,28,2,0.933
Arizona,Pac-12,West,1.45,11.26,33.5,2.52,13.81,0.226,12.45,0.205,176,16,15,0.516
New Mexico,Mountain West,West,1.45,11.26,36.14,2.28,15.64,0.192,12.23,0.187,170,17,12,0.586
Northern Colo.,Big Sky,West,1.45,12.92,34,2.16,14.22,0.269,13.86,0.185,174,22,9,0.71
Oregon,Pac-12,West,1.45,13.43,33.79,2.19,13.98,0.293,14.24,0.203,184,26,6,0.812
Hawaii,Big West,West,1.45,12.79,34.07,2.06,14.29,0.262,13.89,0.201,155,22,7,0.759
Michigan,Big Ten,Midwest,1.45,12.51,33.61,2.54,14.15,0.249,13.49,0.195,155,17,13,0.567
Stetson,ASUN,Southeast,1.45,11.7,35.24,1.87,16.65,0.219,12.52,0.205,155,15,14,0.517
Ball St.,MAC,Midwest,1.44,12.66,37.15,1.79,17.51,0.25,13.69,0.203,182,24,9,0.727
Charleston So.,Big South,Southeast,1.44,11.78,34.86,1.6,15.02,0.209,12.63,0.211,179,15,16,0.484
Bucknell,Patriot,East,1.44,11.16,35.89,1.9,17.32,0.183,11.96,0.157,150,15,11,0.577
BYU,Big 12,West,1.44,12.96,32.59,2.45,NA,NA,14.01,0.181,141,NA,NA,NA
Fairfield,MAAC,East,1.44,11.54,32.96,2.56,14.69,0.245,12.44,0.152,164,25,7,0.781
Murray St.,MVC,South,1.44,12.02,35.94,1.65,15.15,0.193,13.04,0.223,164,12,17,0.414
Syracuse,ACC,East,1.44,11.33,33.38,2.07,12.9,0.208,12.23,0.242,148,11,17,0.393
Colgate,Patriot,East,1.44,11.92,33.91,2.04,14.19,0.257,12.9,0.193,155,24,6,0.8
Eastern Mich.,MAC,Midwest,1.43,10.4,33.64,2.07,13.22,0.166,11.27,0.227,165,5,25,0.167
Western Mich.,MAC,Midwest,1.43,13.05,37.98,1.4,16.24,0.235,13.95,0.221,165,17,13,0.567
George Washington,Atlantic 10,East,1.43,11.09,34.11,2.41,14.23,0.195,11.92,0.194,185,18,15,0.545
High Point,Big South,Southeast,1.43,11.78,35.09,1.81,15.97,0.238,13.32,0.184,166,23,10,0.697
Davidson,Atlantic 10,East,1.43,11.94,36.16,2.5,15.37,0.207,12.83,0.176,173,23,11,0.676
UNC Greensboro,SoCon,Southeast,1.43,10.47,35.05,1.84,15.31,0.154,11.45,0.21,147,10,20,0.333
Cleveland St.,Horizon,Midwest,1.42,10.1,35.38,2.52,16.18,0.187,11.26,0.171,171,14,17,0.452
UT Arlington,WAC,South,1.42,11.04,34.18,2.42,14.9,0.217,12.28,0.19,155,17,10,0.63
Cincinnati,AAC,Southeast,1.42,11.54,33.92,1.94,13.75,0.208,12.13,0.243,159,11,19,0.367
Air Force,Mountain West,West,1.42,11.23,32.4,2.37,12.58,0.211,12.01,0.201,170,15,15,0.5
Idaho St.,Big Sky,West,1.42,10.68,35.4,2.24,14.93,0.173,11.48,0.2,167,13,17,0.433
St. John's,Big East,East,1.41,12.86,32.9,2.26,11.98,0.233,13.65,0.218,181,20,14,0.588
A&M-Corpus Christi,Southland,South,1.41,12.84,36.74,1.46,15.32,0.226,13.98,0.229,171,13,20,0.394
Pittsburgh,ACC,East,1.41,13.02,34.24,2.42,13.39,0.263,14,0.168,178,31,4,0.886
UMES,MEAC,Southeast,1.41,10.09,30.87,1.69,12.58,0.178,11.09,0.191,141,9,18,0.333
Sacred Heart,NEC,East,1.41,12.05,33.91,1.99,13.64,0.23,13.1,0.211,169,21,10,0.677
Manhattan,MAAC,East,1.4,7.52,30.54,0.79,11.71,0.085,8.1,0.304,132,1,28,0.034
California,Pac-12,West,1.4,10.87,33.38,2.09,13.44,0.179,11.44,0.246,157,7,23,0.233
Villanova,Big East,Midwest,1.4,10.49,33.52,1.71,13.86,0.2,11.78,0.239,164,10,20,0.333
American,Patriot,East,1.4,10.8,34.48,2.03,15.46,0.202,11.93,0.199,154,15,15,0.5
Fresno St.,Mountain West,West,1.4,10.74,32.84,2.34,12.4,0.201,11.71,0.24,161,7,23,0.233
UConn,Big East,Midwest,1.4,12.06,34.7,2.23,14.65,0.231,13.05,0.21,161,17,14,0.548
Oral Roberts,Summit League,Midwest,1.4,10.8,37.19,1.95,15.88,0.166,11.79,0.222,158,9,21,0.3
South Dakota St.,Summit League,Midwest,1.4,11.95,36.15,2.09,16.02,0.228,12.98,0.201,183,18,15,0.545
Michigan St.,Big Ten,Midwest,1.39,11.19,31.97,2.14,12.74,0.203,12.15,0.21,163,13,18,0.419
East Carolina,AAC,Southeast,1.39,10.69,33.54,2.2,13.5,0.204,11.61,0.237,171,12,20,0.375
Arkansas St.,Sun Belt,South,1.39,11.07,34.63,1.63,14.31,0.186,11.95,0.225,164,9,22,0.29
Miami,ACC,East,1.39,11.87,33.81,2.54,13,0.229,12.85,0.199,157,19,11,0.633
Georgia Tech,ACC,East,1.39,12.83,34.42,2.31,14.5,0.257,13.78,0.175,143,21,8,0.724
NIU,MAC,Midwest,1.38,12.33,37.9,2.29,17.39,0.235,13.62,0.195,137,17,11,0.607
South Fla.,AAC,Southeast,1.38,11.44,34.34,1.92,13.29,0.197,12.45,0.226,160,10,20,0.333
Purdue,Big Ten,Midwest,1.38,11.77,34.6,2.6,14.2,0.217,12.86,0.194,168,21,11,0.656
Arkansas,SEC,Southeast,1.38,12.74,35.54,2.61,14.94,0.255,13.63,0.175,150,21,9,0.7
Belmont,MVC,South,1.37,10.97,33.83,1.81,13.36,0.191,11.78,0.253,162,8,23,0.258
South Alabama,Sun Belt,South,1.37,12.29,36.28,2.5,15.73,0.238,13.28,0.187,162,18,13,0.581
Nicholls,Southland,South,1.37,11.31,36.41,2.19,15.06,0.186,12.18,0.231,155,7,23,0.233
San Diego St.,Mountain West,West,1.37,11.87,33.34,1.92,12.25,0.192,12.7,0.248,160,11,20,0.355
Tennessee,SEC,Southeast,1.36,12.14,33.35,2.3,13.93,0.261,13.39,0.232,158,17,14,0.548
UTRGV,WAC,West,1.36,12.59,36.01,2.16,15.41,0.238,13.54,0.187,174,27,7,0.794
South Carolina,SEC,Southeast,1.36,11.46,33.72,2.63,12.26,0.193,12.26,0.22,144,13,15,0.464
UNLV,Mountain West,West,1.36,12.66,34.26,2.18,14.3,0.259,13.83,0.192,152,26,5,0.839
Northwestern,Big Ten,Midwest,1.35,12.71,34.33,2.16,14.51,0.235,13.58,0.209,157,18,14,0.562
West Virginia,Big 12,South,1.35,10.2,33.71,2.14,12.92,0.127,11.09,0.204,143,7,22,0.241
Col. of Charleston,CAA,East,1.35,11.6,35.89,2.34,15.06,0.215,12.72,0.225,147,14,16,0.467
Temple,AAC,Southeast,1.34,10.99,35.31,1.86,13.44,0.171,11.7,0.239,168,10,21,0.323
Colorado,Pac-12,West,1.34,11.98,34.47,2.64,14.54,0.247,12.89,0.203,153,20,11,0.645
Utah,Pac-12,West,1.34,12.07,34.28,2.18,14.45,0.23,13.18,0.232,153,15,16,0.484
Baylor,Big 12,South,1.34,12.31,33.09,2.54,13.09,0.258,13.51,0.186,157,25,7,0.781
Tennessee Tech,OVC,South,1.34,11.49,33.86,2.03,13.98,0.194,12.14,0.202,158,17,14,0.548
Iowa,Big Ten,Midwest,1.34,11.14,34.52,1.82,13.72,0.188,12.27,0.242,151,10,21,0.323
UNCW,CAA,East,1.33,9.99,33.62,1.97,13.33,0.153,10.82,0.207,132,6,19,0.24
Virginia,ACC,East,1.33,11.07,31.31,2.09,11.85,0.199,12,0.234,153,12,17,0.414
Gardner-Webb,Big South,Southeast,1.33,10.86,33.93,1.64,14.75,0.186,11.75,0.217,141,9,19,0.321
Tulane,AAC,Southeast,1.33,11.15,35.87,1.39,15.65,0.211,12.36,0.256,158,9,22,0.29
