Team,Conference,region,aces_per_set,assists_per_set,team_attacks_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,opp_hitting_pctg,service_aces,W,L,win_loss_pctg
North Dakota,Summit League,Midwest,1.21,10.76,35.49,1.86,14.68,0.167,11.72,0.216,135,12,18,0.4
North Ala.,ASUN,West,1.2,10.46,35.73,2.16,16.34,0.195,11.06,0.173,124,13,15,0.464
UNC Asheville,Big South,Southeast,1.2,9.45,35.52,1.71,15.11,0.143,10.25,0.231,107,4,22,0.154
Niagara,MAAC,East,1.2,10.72,38.68,1.95,16.58,0.161,11.48,0.196,119,10,20,0.333
Little Rock,OVC,South,1.2,10.08,34.84,2.33,14.25,0.139,10.77,0.203,140,7,24,0.226
UIW,Southland,South,1.2,11.21,35.14,1.75,14.75,0.176,11.74,0.225,128,6,23,0.207
Valparaiso,MVC,Midwest,1.19,12.18,37.69,2.21,17.27,0.206,13.08,0.187,154,22,11,0.667
Rutgers,Big Ten,Midwest,1.19,10,32.49,2.07,12.14,0.164,10.76,0.247,131,8,24,0.25
McNeese,Southland,South,1.19,11.24,38.6,2.3,18.53,0.183,12.28,0.186,156,18,16,0.529
Purdue Fort Wayne,Horizon,Midwest,1.19,11.73,36.12,1.78,15.64,0.177,12.67,0.217,126,9,20,0.31
Georgetown,Big East,Midwest,1.19,9.56,34.17,2,13.98,0.153,10.28,0.253,128,4,25,0.138
Nebraska,Big Ten,Midwest,1.17,12.21,35.47,2.77,15.79,0.244,13.4,0.128,128,26,6,0.812
Penn,Ivy League,East,1.17,10.4,33.48,1.29,13.87,0.154,11.01,0.26,108,2,22,0.083
Bethune-Cookman,SWAC,Southeast,1.17,9.12,30.96,2.28,12.88,0.156,10.02,0.199,122,9,21,0.3
Cal St. Fullerton,Big West,West,1.17,10.56,36.55,1.71,15.37,0.187,11.92,0.231,125,13,15,0.464
Drake,MVC,Midwest,1.16,12.99,36.51,2.36,16.4,0.251,13.84,0.168,163,30,8,0.789
Ole Miss,SEC,Southeast,1.14,12.32,33.5,2.28,12.8,0.247,13.59,0.244,127,11,17,0.393
North Florida,ASUN,Southeast,1.14,11.25,33.04,2.07,13.74,0.22,12.21,0.233,122,12,17,0.414
Xavier,Big East,Midwest,1.13,12,35.92,1.79,16.22,0.242,13.18,0.225,147,21,12,0.636
Mississippi Val.,SWAC,South,1.12,4.95,26.85,0.6,10.3,NA,5.55,0.283,90,1,24,0.04
Missouri,SEC,Southeast,1.12,11.3,33.91,2.11,14.34,0.205,12.42,0.231,120,9,19,0.321
Sam Houston,WAC,South,1.12,10.71,35.6,1.98,14.91,0.165,11.53,0.234,120,8,20,0.286
Southern U.,SWAC,South,1.12,7.96,31.23,2.02,12.23,0.098,8.96,0.203,113,3,25,0.107
Western Ill.,Summit League,Midwest,1.12,9.6,37.61,1.35,15.77,0.123,10.36,0.26,116,4,26,0.133
Butler,Big East,Midwest,1.11,10.97,37.34,2.36,15.92,0.185,12.18,0.197,127,16,15,0.516
Morehead St.,OVC,South,1.11,12.02,36.39,1.92,15.27,0.196,12.96,0.21,119,14,16,0.467
Ohio St.,Big Ten,Midwest,1.11,13.26,36.17,2.2,15.59,0.252,14.15,0.183,131,22,10,0.688
LSU,SEC,Southeast,1.1,11.71,35.26,2.12,15.38,0.219,12.66,0.207,131,16,14,0.533
UC Irvine,Big West,West,1.09,12.52,36.58,2.5,16.01,0.224,13.39,0.167,122,20,10,0.667
Eastern Ky.,ASUN,South,1.08,11.26,37.24,1.81,16.01,0.19,12.32,0.192,122,15,15,0.5
