Team,Draw Controls,Opp DC,draw_pctg,win_pctg,turnovers_per_game,sog_per_game
New Hampshire (America East),183,241,0.432,0.333,12.33,19.73
Quinnipiac (MAAC),195,259,0.43,0.556,15.67,18.72
Winthrop (Big South),191,254,0.429,0.25,18.56,16.25
Ohio St. (Big Ten),186,252,0.425,0.294,16.24,16.94
Louisville (ACC),195,265,0.424,0.294,15.41,17.65
Vanderbilt (AAC),172,234,0.424,0.267,15.93,18.2
UMass Lowell (America East),183,250,0.423,0.375,15.31,18.62
Old Dominion (AAC),171,234,0.422,0.235,19.53,16.29
Pittsburgh (ACC),187,260,0.418,0.235,15.82,15.53
High Point (Big South),220,306,0.418,0.444,15.44,20.56
FDU (NEC),147,220,0.401,0.077,18.69,15.23
Gardner-Webb (Big South),211,320,0.397,0.235,17.53,17.35
St. Bonaventure (Atlantic 10),201,310,0.393,0.333,15.39,19.06
Detroit Mercy (MAC),152,241,0.387,0.214,15.86,19.64
Duquesne (Atlantic 10),188,307,0.38,0.125,17.12,18
La Salle (Atlantic 10),142,248,0.364,0,17.53,14.87
Presbyterian (Big South),145,289,0.334,0.353,14.82,17
